dataset,model,task,ordinary_variance,matched_variance,fraction_removed,maximum_matched_initial_gap
australian_credit_approval,mlp,classification,0.0010433235558490923,3.9250911345839106e-16,0.9999999999996237,5.960464477539063e-08
australian_credit_approval,resnet,classification,0.010401450671576822,3.08112404819985e-15,0.9999999999997038,1.7881393432617188e-07
australian_credit_approval,ft_transformer,classification,0.02006567102119811,3.7552569631603535e-14,0.9999999999981285,1.7881393432617188e-07
australian_credit_approval,tabm,classification,0.001556941496111032,1.2222619076111697e-10,0.9999999214959643,8.940696716308594e-08
bank_marketing_subscription,mlp,classification,0.0002553539586074966,4.444168750124514e-16,0.9999999999982596,1.1920928955078125e-07
bank_marketing_subscription,resnet,classification,0.01410876286752349,1.1991802906216345e-14,0.99999999999915,1.7881393432617188e-07
bank_marketing_subscription,ft_transformer,classification,0.02756035389898563,0.0014844702052946275,0.9461374766544901,1.7881393432617188e-07
bank_marketing_subscription,tabm,classification,0.0004996712573155527,2.3028805269699526e-07,0.9995391208733234,1.1920928955078125e-07
fremtpl_claim_count,mlp,regression,0.0006446150054633077,2.213377029909884e-16,0.9999999999996566,2.9802322387695312e-08
fremtpl_claim_count,resnet,regression,0.07277904560199513,6.292242744906256e-14,0.9999999999991355,3.8743019104003906e-07
fremtpl_claim_count,ft_transformer,regression,0.13568741539925205,0.007638682460234554,0.9437038251649338,4.172325134277344e-07
fremtpl_claim_count,tabm,regression,0.003438085649939459,5.8338303774282035e-06,0.9983031747980069,1.4901161193847656e-08
kdd17_stock_return,mlp,regression,0.008367858009503171,2.528748069070529e-15,0.9999999999996978,9.685754776000977e-08
kdd17_stock_return,resnet,regression,0.09818480957955007,2.5855080221517474e-13,0.9999999999973667,4.917383193969727e-07
kdd17_stock_return,ft_transformer,regression,0.1669645507802185,0.00134009499054814,0.9919737753655735,4.172325134277344e-07
kdd17_stock_return,tabm,regression,0.008377285516328329,1.0708180730797098e-05,0.9987217600844658,2.9802322387695312e-08
