source_group,material_cells,strength2_residual,iid16_residual,four_strength1_residual,four_seed_blocks_residual,beats_all
colic,2,7.541421152492038e-05,0.0004139326961173465,0.00011027927025243395,0.0010323490982365184,True
credit_approval,2,1.1493930766295453e-05,6.216225331008029e-05,1.9523845737913874e-05,0.00014507868133467342,True
hepatitis,2,4.612759241550726e-05,0.0001910374062140662,0.00010641313752023554,0.0003564301212395074,True
kr_vs_kp,1,5.087803520101014e-06,1.3089504112272259e-05,8.93284762210361e-06,9.043258456119196e-06,True
mushroom,1,5.955658175538178e-07,2.6553044864415686e-06,1.91674453587914e-06,2.681784939130549e-06,True
sick,2,2.9469958519084934e-06,1.4375965075809385e-05,9.932147603525516e-06,2.31920032438036e-05,True
tic_tac_toe,2,8.164463117229431e-05,0.0003340933389749218,0.0001454667640910875,0.00047001014428036335,True
vote,2,2.812752490488943e-05,0.00013320033627716522,6.679809951812556e-05,0.00020383446177728022,True
