pair_family,diagnostic,spearman_with_heterobag_gain,two_sided_p
same_representation,prediction_correlation,0.43304347826086953,0.03453637926407846
same_representation,error_correlation,-0.5165217391304348,0.009761613063737264
same_representation,mean_absolute_disagreement,-0.23217391304347823,0.2749652411831776
same_representation,mean_squared_disagreement,-0.2617391304347826,0.21665169795328632
cross_representation,prediction_correlation,0.4904347826086956,0.014969705434406802
cross_representation,error_correlation,-0.6826086956521739,0.00023775848063956932
cross_representation,mean_absolute_disagreement,-0.1226086956521739,0.5681672657020507
cross_representation,mean_squared_disagreement,-0.15217391304347824,0.4777969871903097
coordinate_placebo,prediction_correlation,0.5626086956521739,0.004211057389435814
coordinate_placebo,error_correlation,-0.26347826086956516,0.21350236658523813
coordinate_placebo,mean_absolute_disagreement,-0.23739130434782607,0.26401496121383244
coordinate_placebo,mean_squared_disagreement,-0.25130434782608696,0.23619938811607974
