dataset,model,iid16,strength2,sobol16,lhs16
compustat_kor_direction,onehot_adam_mlp,0.00018161154022900984,0.0001171675138022838,0.000131156795665388,0.00012982895445718637
credit_card_default,onehot_adam_mlp,0.00018447916238384688,7.048944334094665e-05,5.703986497048415e-05,8.311243680325925e-05
credit_card_fraud,native_histgb,4.763115243281053e-06,8.47025766057277e-08,5.030697618899525e-08,1.1695101793738572e-06
credit_card_fraud,catboost_native,8.892408653925052e-07,8.175942473422178e-08,1.7080794901537887e-07,3.9411179924361275e-07
credit_card_fraud,onehot_adam_mlp,4.640790567878003e-06,1.946881175620496e-06,1.4992738459968137e-06,1.7833083718258644e-06
heloc_credit_risk,ordinal_forest,0.00011614202341282261,5.082197683525802e-21,2.8967707491282602e-05,4.6557544411020627e-05
heloc_credit_risk,onehot_adam_mlp,0.000254424550360697,9.602593828254518e-05,6.469731019750585e-05,0.00012117758864006922
kdd17_stock_direction,ordinal_forest,0.00018652072428382063,0.00013276389721734327,0.00013996078273281116,0.0001453791433412587
kdd17_stock_direction,onehot_adam_mlp,0.0010450016521167712,0.0007806028381460947,0.0009122376073185573,0.0008302752943005273
kdd17_stock_return,ordinal_forest,0.000261002561571197,0.00015532984621958025,0.0002342446346177468,0.00017887512279984085
kdd17_stock_return,onehot_adam_mlp,0.0015194691705466552,0.0004826308630860923,0.0012437440038655066,0.0007963143534851598
polish_bankruptcy_1year,ordinal_forest,2.2329685081347892e-05,8.470329472543003e-22,5.996038923566127e-06,8.947710665490068e-06
polish_bankruptcy_1year,catboost_native,1.716165692019728e-05,4.235164736271502e-22,4.875509278861265e-06,7.404971613664711e-06
polish_bankruptcy_1year,onehot_adam_mlp,0.0016165891328591886,0.00015464200790749446,0.00011360151245006118,0.0006401760121708904
polish_bankruptcy_2year,ordinal_forest,2.235607348670702e-05,0.0,5.886109026816801e-06,8.941356591523634e-06
polish_bankruptcy_2year,catboost_native,3.3449671753863314e-05,2.541098841762901e-21,9.361105014565395e-06,1.3638744719745285e-05
polish_bankruptcy_2year,onehot_adam_mlp,0.00017809330185752367,1.384932585265003e-05,2.1330676768357363e-05,6.318871626365457e-05
polish_bankruptcy_3year,ordinal_forest,2.742728254664048e-05,8.470329472543003e-22,7.031506774557742e-06,1.0955564521779745e-05
polish_bankruptcy_3year,catboost_native,4.144173054101001e-05,-8.470329472543003e-22,1.0850258907906554e-05,1.6683286462185444e-05
polish_bankruptcy_3year,onehot_adam_mlp,0.00016811816555808762,1.3119202818296284e-05,1.9932975911880298e-05,5.378761497183061e-05
polish_bankruptcy_4year,ordinal_forest,3.055299360988617e-05,8.470329472543003e-22,8.048476475329935e-06,1.2306630766959122e-05
polish_bankruptcy_4year,catboost_native,5.0952223210673085e-05,1.6940658945086007e-21,1.445206340944593e-05,2.041030593615368e-05
polish_bankruptcy_4year,onehot_adam_mlp,0.00039107402531915,0.00022197162867486508,0.00018972154580443126,0.00016859916914329157
polish_bankruptcy_5year,catboost_native,6.439191427376892e-05,0.0,1.5158049492952306e-05,2.6301980553243898e-05
polish_bankruptcy_5year,onehot_adam_mlp,0.0015968449940842386,0.0002546667577690493,0.0002629702202080863,0.0005837481477528814
