triplet,dataset,task,model,relative_test_gain_pct,win
triplet1,openml-credit-g-31,classification,mlp,0.1283896164211533,True
triplet1,openml-credit-g-31,classification,resnet,0.1989922885412026,True
triplet1,openml-credit-g-31,classification,ft_transformer,0.2693217825985856,True
triplet1,openml-spambase-44,classification,mlp,3.435079357932154,True
triplet1,openml-spambase-44,classification,resnet,-0.3488725819618807,False
triplet1,openml-spambase-44,classification,ft_transformer,-0.7963020219269903,False
triplet1,openml-banknote-1462,classification,mlp,14.19535016429035,True
triplet1,openml-banknote-1462,classification,resnet,31.606086550845884,True
triplet1,openml-banknote-1462,classification,ft_transformer,-0.0127744196037963,False
triplet1,openml-qsar-biodeg-1494,classification,mlp,-1.8373478498717208,False
triplet1,openml-qsar-biodeg-1494,classification,resnet,4.822858937810779,True
triplet1,openml-qsar-biodeg-1494,classification,ft_transformer,0.8854511020056888,True
triplet1,openml-abalone-183,regression,mlp,0.5409369745036982,True
triplet1,openml-abalone-183,regression,resnet,0.8718759885761979,True
triplet1,openml-abalone-183,regression,ft_transformer,-0.4383025940655298,False
triplet1,openml-kin8nm-189,regression,mlp,3.780102538284704,True
triplet1,openml-kin8nm-189,regression,resnet,1.77807060883971,True
triplet1,openml-kin8nm-189,regression,ft_transformer,2.9892466502602537,True
triplet1,openml-pol-201,regression,mlp,7.741197030157186,True
triplet1,openml-pol-201,regression,resnet,4.298789056301822,True
triplet1,openml-pol-201,regression,ft_transformer,7.175376469438308,True
triplet1,openml-puma32h-308,regression,mlp,0.5617784695725794,True
triplet1,openml-puma32h-308,regression,resnet,1.267488623780854,True
triplet1,openml-puma32h-308,regression,ft_transformer,1.3392795517298874,True
triplet2,openml-credit-g-31,classification,mlp,-0.8660785911528586,False
triplet2,openml-credit-g-31,classification,resnet,-0.1485338355779172,False
triplet2,openml-credit-g-31,classification,ft_transformer,0.6877070933918119,True
triplet2,openml-spambase-44,classification,mlp,3.8660204048492233,True
triplet2,openml-spambase-44,classification,resnet,5.667994454400043,True
triplet2,openml-spambase-44,classification,ft_transformer,6.128402025452074,True
triplet2,openml-banknote-1462,classification,mlp,19.624054413026737,True
triplet2,openml-banknote-1462,classification,resnet,5.51662706690527,True
triplet2,openml-banknote-1462,classification,ft_transformer,0.1315691123305216,True
triplet2,openml-qsar-biodeg-1494,classification,mlp,-0.8478728817877355,False
triplet2,openml-qsar-biodeg-1494,classification,resnet,-3.6347451052285416,False
triplet2,openml-qsar-biodeg-1494,classification,ft_transformer,-2.168922394775188,False
triplet2,openml-abalone-183,regression,mlp,0.8714693543828566,True
triplet2,openml-abalone-183,regression,resnet,0.56745570138512,True
triplet2,openml-abalone-183,regression,ft_transformer,0.5731452561964145,True
triplet2,openml-kin8nm-189,regression,mlp,3.9229751747238297,True
triplet2,openml-kin8nm-189,regression,resnet,1.3943589631873845,True
triplet2,openml-kin8nm-189,regression,ft_transformer,-1.5568517193475744,False
triplet2,openml-pol-201,regression,mlp,10.11804877421938,True
triplet2,openml-pol-201,regression,resnet,2.85309830629213,True
triplet2,openml-pol-201,regression,ft_transformer,4.056112535069575,True
triplet2,openml-puma32h-308,regression,mlp,1.752394940961086,True
triplet2,openml-puma32h-308,regression,resnet,2.194221654703933,True
triplet2,openml-puma32h-308,regression,ft_transformer,0.3677608617650445,True
triplet3,openml-credit-g-31,classification,mlp,0.3173208147039531,True
triplet3,openml-credit-g-31,classification,resnet,0.4690295411018652,True
triplet3,openml-credit-g-31,classification,ft_transformer,0.5174517978167791,True
triplet3,openml-spambase-44,classification,mlp,1.914550564843904,True
triplet3,openml-spambase-44,classification,resnet,2.764736565147452,True
triplet3,openml-spambase-44,classification,ft_transformer,0.3989594929972525,True
triplet3,openml-banknote-1462,classification,mlp,7.006812801652056,True
triplet3,openml-banknote-1462,classification,resnet,-13.793728701501738,False
triplet3,openml-banknote-1462,classification,ft_transformer,5.777317969401609,True
triplet3,openml-qsar-biodeg-1494,classification,mlp,-0.5099638609493393,False
triplet3,openml-qsar-biodeg-1494,classification,resnet,-0.8123791023785536,False
triplet3,openml-qsar-biodeg-1494,classification,ft_transformer,-0.4885665728832146,False
triplet3,openml-abalone-183,regression,mlp,0.7592854375641791,True
triplet3,openml-abalone-183,regression,resnet,0.7022182724690609,True
triplet3,openml-abalone-183,regression,ft_transformer,-0.5755414973163566,False
triplet3,openml-kin8nm-189,regression,mlp,2.5302484463964787,True
triplet3,openml-kin8nm-189,regression,resnet,1.978831242010056,True
triplet3,openml-kin8nm-189,regression,ft_transformer,1.645368836995865,True
triplet3,openml-pol-201,regression,mlp,9.328747160246277,True
triplet3,openml-pol-201,regression,resnet,3.8518858685827753,True
triplet3,openml-pol-201,regression,ft_transformer,0.9386866684502422,True
triplet3,openml-puma32h-308,regression,mlp,1.2441496357116977,True
triplet3,openml-puma32h-308,regression,resnet,1.264206773561891,True
triplet3,openml-puma32h-308,regression,ft_transformer,0.4601265972919383,True
