dataset,split_seed,model,method,target_loss,mean_score,bias,rmse,ordinary_bias
australian_credit_approval,2026082801,mlp,iid_cross32,0.257031045070968,0.2571106974866014,7.96524156334022e-05,0.0008697890603070707,0.00011965982792400132
australian_credit_approval,2026082801,resnet,iid_cross32,0.28628782366970706,0.2863794518781276,9.162820842051334e-05,0.001971499770915733,0.0005618958746954617
australian_credit_approval,2026082801,ft_transformer,iid_cross32,0.26573579848432477,0.2656991837863202,-3.661469800458894e-05,0.00377334374835191,0.000977057144677329
australian_credit_approval,2026082801,tabm,iid_cross32,0.24470377520776818,0.2446742111711768,-2.9564036591378517e-05,0.0011884791425211339,4.856496447408487e-05
australian_credit_approval,2026082801,mlp,strength2_cross32,0.257031045070968,0.2570860535703486,5.500849938055996e-05,0.0005611766587405109,7.380129482370545e-05
australian_credit_approval,2026082801,resnet,strength2_cross32,0.28628782366970706,0.28630955047912493,2.1726809417865756e-05,0.001324068202539173,0.00031224558115783285
australian_credit_approval,2026082801,ft_transformer,strength2_cross32,0.26573579848432477,0.26578765787198233,5.185938765756015e-05,0.0031254561314196893,0.0007166291248084655
australian_credit_approval,2026082801,tabm,strength2_cross32,0.24470377520776818,0.2447240556097658,2.0280401997613273e-05,0.0005516705853054201,5.767043252077886e-05
australian_credit_approval,2026082811,mlp,iid_cross32,0.24116776993980993,0.24109134035109453,-7.642958871539873e-05,0.0007111762386488526,-4.251580376057884e-05
australian_credit_approval,2026082811,resnet,iid_cross32,0.24848341724322556,0.2484463033566211,-3.71138866044618e-05,0.0021310525910700037,0.0005268798541681885
australian_credit_approval,2026082811,ft_transformer,iid_cross32,0.23981659927447332,0.23993674588886704,0.00012014661439371799,0.0024968821104245985,0.0009376966059262137
australian_credit_approval,2026082811,tabm,iid_cross32,0.23130042756257763,0.23124064128573615,-5.978627684147253e-05,0.0007218204762901292,-1.5167833031237699e-07
australian_credit_approval,2026082811,mlp,strength2_cross32,0.24116776993980993,0.24112895538989046,-3.88145499194692e-05,0.0006197869077458918,-1.904169233488129e-05
australian_credit_approval,2026082811,resnet,strength2_cross32,0.24848341724322556,0.2485247593262574,4.134208303183118e-05,0.0016811790240684641,0.0004100782446206097
australian_credit_approval,2026082811,ft_transformer,strength2_cross32,0.23981659927447332,0.239994810958363,0.00017821168388967856,0.001990669776953792,0.0007478451924229634
australian_credit_approval,2026082811,tabm,strength2_cross32,0.23130042756257763,0.23129726301716208,-3.164545415546005e-06,0.00059503231533348,2.784668398325696e-05
australian_credit_approval,2026082821,mlp,iid_cross32,0.14956376826279857,0.1494364142082733,-0.00012735405452526938,0.0006520574576890032,-9.773930416329124e-05
australian_credit_approval,2026082821,resnet,iid_cross32,0.19038977344732672,0.19058750703661093,0.00019773358928421025,0.002157876783123654,0.0006872289649282048
australian_credit_approval,2026082821,ft_transformer,iid_cross32,0.18731419356460374,0.18745212514686171,0.00013793158225797186,0.003449914964824289,0.0010449321411066526
australian_credit_approval,2026082821,tabm,iid_cross32,0.16054066125547853,0.16053510192762552,-5.5593278530108314e-06,0.0010545508367481625,5.0002310813451745e-05
australian_credit_approval,2026082821,mlp,strength2_cross32,0.14956376826279857,0.14958313204329865,1.93637805000757e-05,0.0005248105590109495,3.69456413742697e-05
australian_credit_approval,2026082821,resnet,strength2_cross32,0.19038977344732672,0.1905813320830787,0.00019155863575198717,0.001872520276475875,0.000509566070472256
australian_credit_approval,2026082821,ft_transformer,strength2_cross32,0.18731419356460374,0.1873920971003264,7.790353572265096e-05,0.003001377233227664,0.0007273263922830397
australian_credit_approval,2026082821,tabm,strength2_cross32,0.16054066125547853,0.16053143843853931,-9.222816939213896e-06,0.0006761921911015944,1.9473432993410977e-05
bank_marketing_subscription,2026082801,mlp,iid_cross32,0.17270892275366784,0.17267911081676507,-2.9811936902768288e-05,0.00016599415303684287,-1.9694364089772876e-05
bank_marketing_subscription,2026082801,resnet,iid_cross32,0.19944395707849935,0.1994364822482116,-7.474830287762524e-06,0.001520658086679016,0.0004930647145060807
bank_marketing_subscription,2026082801,ft_transformer,iid_cross32,0.1880756703989801,0.18804616567982557,-2.9504719154527237e-05,0.0017938087576241022,0.000910782518576625
bank_marketing_subscription,2026082801,tabm,iid_cross32,0.17166609141968328,0.17168144704634702,1.535562666374335e-05,0.000255701945745428,3.461659304107578e-05
bank_marketing_subscription,2026082801,mlp,strength2_cross32,0.17270892275366784,0.1727068521850577,-2.0705686101241128e-06,0.00013741323383288661,3.3943451472340236e-06
bank_marketing_subscription,2026082801,resnet,strength2_cross32,0.19944395707849935,0.19960424173710245,0.00016028465860309926,0.0012846535330407918,0.0004982750796943825
bank_marketing_subscription,2026082801,ft_transformer,strength2_cross32,0.1880756703989801,0.18798101332932998,-9.4657069650117e-05,0.0019101593787999617,0.0007056563485937639
bank_marketing_subscription,2026082801,tabm,strength2_cross32,0.17166609141968328,0.1716817445085289,1.565308884562966e-05,0.00022711764636120822,2.642746565015286e-05
bank_marketing_subscription,2026082811,mlp,iid_cross32,0.1861797683563115,0.18618972478176932,9.956425457813278e-06,0.00016951120111552258,2.250844246287631e-05
bank_marketing_subscription,2026082811,resnet,iid_cross32,0.23778174539084335,0.23771756759157825,-6.417779926509715e-05,0.001959969440489954,0.000698070002583151
bank_marketing_subscription,2026082811,ft_transformer,iid_cross32,0.21953698401701277,0.2194876981127526,-4.928590426017676e-05,0.0028742771324727885,0.0012418980314598538
bank_marketing_subscription,2026082811,tabm,iid_cross32,0.18891344809804844,0.1889035187417627,-9.929356285742763e-06,0.00033231464413969254,1.44918233562219e-05
bank_marketing_subscription,2026082811,mlp,strength2_cross32,0.1861797683563115,0.18617898476922634,-7.835870851624627e-07,0.00013396374053039638,4.481856263505168e-06
bank_marketing_subscription,2026082811,resnet,strength2_cross32,0.23778174539084335,0.23785272123676543,7.097584592208328e-05,0.0016875555112793855,0.000569522011138468
bank_marketing_subscription,2026082811,ft_transformer,strength2_cross32,0.21953698401701277,0.21962250030973784,8.55162927250741e-05,0.001915599977898554,0.0011473645651645659
bank_marketing_subscription,2026082811,tabm,strength2_cross32,0.18891344809804844,0.18888148024218518,-3.1967855863263006e-05,0.00027574476197468113,-1.938356313502254e-05
bank_marketing_subscription,2026082821,mlp,iid_cross32,0.18096444874973852,0.18095835422630796,-6.094523430560939e-06,0.000226081219785886,2.711933586058146e-06
bank_marketing_subscription,2026082821,resnet,iid_cross32,0.19503119359324453,0.1949048510632923,-0.0001263425299522225,0.001293716108083595,0.0003905460979075903
bank_marketing_subscription,2026082821,ft_transformer,iid_cross32,0.18880923298164484,0.18886698526982484,5.775228818000189e-05,0.0017605128827077807,0.001012754990357606
bank_marketing_subscription,2026082821,tabm,iid_cross32,0.1784792571333308,0.17844465668215237,-3.46004511784237e-05,0.00029320056607587565,-1.9850007330790564e-05
bank_marketing_subscription,2026082821,mlp,strength2_cross32,0.18096444874973852,0.18097032925520853,5.880505470012842e-06,0.0001095841790426132,1.0176993455596195e-05
bank_marketing_subscription,2026082821,resnet,strength2_cross32,0.19503119359324453,0.19509343497809417,6.224138484964281e-05,0.0011644951997830542,0.00043406097846263036
bank_marketing_subscription,2026082821,ft_transformer,strength2_cross32,0.18880923298164484,0.18871923719400296,-8.999578764187777e-05,0.0013232727860001906,0.0007027974571194029
bank_marketing_subscription,2026082821,tabm,strength2_cross32,0.1784792571333308,0.17851148487907836,3.222774574757059e-05,0.0003071976259361498,4.055077373116278e-05
credit_card_default,2026082801,mlp,iid_cross32,0.26162795815399253,0.2616240543114491,-3.903842543451219e-06,0.000317979623767918,3.2796691156911084e-05
credit_card_default,2026082801,resnet,iid_cross32,0.28299475573575283,0.28297368787609123,-2.1067859661605404e-05,0.001308951002538575,0.0004108713047537016
credit_card_default,2026082801,ft_transformer,iid_cross32,0.276779959566101,0.27676972167908725,-1.0237887013764269e-05,0.0016961920703289165,0.0008305363153207623
credit_card_default,2026082801,tabm,iid_cross32,0.25952531771930953,0.2595163141283836,-9.00359092592673e-06,0.00026814107951001257,2.910264346867031e-05
credit_card_default,2026082801,mlp,strength2_cross32,0.26162795815399253,0.26163106985735085,3.1117033583161202e-06,0.00018087497195933195,1.551281810774352e-05
credit_card_default,2026082801,resnet,strength2_cross32,0.28299475573575283,0.28290446660117957,-9.02891345732626e-05,0.0012246352350088656,7.527535192208834e-05
credit_card_default,2026082801,ft_transformer,strength2_cross32,0.276779959566101,0.27673482186801923,-4.513769808178747e-05,0.0008041092646784064,0.00042826962336317553
credit_card_default,2026082801,tabm,strength2_cross32,0.25952531771930953,0.25952123202889255,-4.0856904169883634e-06,6.58388273288765e-05,1.7153815931592042e-06
credit_card_default,2026082811,mlp,iid_cross32,0.28652642919303806,0.28652090071342634,-5.528479611716097e-06,0.00032264129302609593,3.527089642352266e-05
credit_card_default,2026082811,resnet,iid_cross32,0.31571082503891906,0.31577716050860455,6.633546968548565e-05,0.0013331588894483575,0.00037922308576576746
credit_card_default,2026082811,ft_transformer,iid_cross32,0.3164692796291153,0.3164679316316088,-1.3479975065067151e-06,0.001553236887316075,0.0008393170957612384
credit_card_default,2026082811,tabm,iid_cross32,0.2885472037090162,0.28857299906845596,2.5795359439750865e-05,0.0002541024498761497,6.446995924186405e-05
credit_card_default,2026082811,mlp,strength2_cross32,0.28652642919303806,0.2865260541301089,-3.7506292915878703e-07,0.00014760757368317777,7.875767458420668e-06
credit_card_default,2026082811,resnet,strength2_cross32,0.31571082503891906,0.315688436390986,-2.2388647933080374e-05,0.000959213073269924,0.00011065880250155091
credit_card_default,2026082811,ft_transformer,strength2_cross32,0.3164692796291153,0.3164318483835019,-3.743124561339517e-05,0.000670443503746133,0.0004912385387274565
credit_card_default,2026082811,tabm,strength2_cross32,0.2885472037090162,0.28854357076721104,-3.6329418051650464e-06,5.0372107209743746e-05,1.944106502504983e-06
credit_card_default,2026082821,mlp,iid_cross32,0.2848812311079705,0.28485392136896254,-2.7309739007941314e-05,0.0003617748687632406,1.2346560438636356e-05
credit_card_default,2026082821,resnet,iid_cross32,0.306096574045088,0.3061008068425403,4.2327974523193035e-06,0.0008049444854557672,0.00029949737206202975
credit_card_default,2026082821,ft_transformer,iid_cross32,0.2958918880554291,0.2959042107808497,1.2322725420621516e-05,0.0015621311113233718,0.0008464375119707213
credit_card_default,2026082821,tabm,iid_cross32,0.2887773977334298,0.2887613494371497,-1.6048296280102292e-05,0.0002449392329030404,1.465906874648093e-05
credit_card_default,2026082821,mlp,strength2_cross32,0.2848812311079705,0.2848884490785054,7.217970534934004e-06,0.00012584534125326853,1.8062186999123764e-05
credit_card_default,2026082821,resnet,strength2_cross32,0.306096574045088,0.3060986079908876,2.033945799617687e-06,0.0002176187856649946,9.630018691486608e-05
credit_card_default,2026082821,ft_transformer,strength2_cross32,0.2958918880554291,0.29581751738981305,-7.437066561605254e-05,0.0009507356400210503,0.00037476914135425865
credit_card_default,2026082821,tabm,strength2_cross32,0.2887773977334298,0.2887866193227062,9.221589276409148e-06,0.00013190465419142135,1.5333477659917882e-05
german_credit_risk,2026082801,mlp,iid_cross32,0.3193015362796369,0.31921273653547166,-8.879974416525771e-05,0.0007055064630477813,-5.1122460103636413e-05
german_credit_risk,2026082801,resnet,iid_cross32,0.386395338343666,0.3855238672644454,-0.0008714710792206426,0.00423140794060413,0.0005753828923751869
german_credit_risk,2026082801,ft_transformer,iid_cross32,0.34540237844797983,0.34564969291730013,0.0002473144693203033,0.005472361264457973,0.0025308496484613974
german_credit_risk,2026082801,tabm,iid_cross32,0.31742377511951625,0.3173804093678276,-4.336575168867318e-05,0.0006418785923022482,3.985675926632126e-06
german_credit_risk,2026082801,mlp,strength2_cross32,0.3193015362796369,0.31931639803875317,1.4861759116246986e-05,0.00034073808935226424,3.3615226410377286e-05
german_credit_risk,2026082801,resnet,strength2_cross32,0.386395338343666,0.3863539362238384,-4.140211982761599e-05,0.0036081504650915595,0.0008862430580988123
german_credit_risk,2026082801,ft_transformer,strength2_cross32,0.34540237844797983,0.34521503860475555,-0.00018733984322427677,0.004234698472926014,0.0015376643409460433
german_credit_risk,2026082801,tabm,strength2_cross32,0.31742377511951625,0.3174242108816735,4.357621572470549e-07,0.00036799162243210875,2.2760748420558308e-05
german_credit_risk,2026082811,mlp,iid_cross32,0.3455075512431091,0.3454769362138784,-3.061502923068504e-05,0.0007447624703523703,7.116233767479052e-06
german_credit_risk,2026082811,resnet,iid_cross32,0.39898821066916457,0.39860108194748267,-0.00038712872168189527,0.0034055925337442058,0.001194235615725514
german_credit_risk,2026082811,ft_transformer,iid_cross32,0.3648858207343932,0.36534914824474746,0.0004633275103542722,0.005064799329216922,0.0032709206735876406
german_credit_risk,2026082811,tabm,iid_cross32,0.34489148255983443,0.3448860075148823,-5.475044952130137e-06,0.0005592301043156483,4.703827508906189e-05
german_credit_risk,2026082811,mlp,strength2_cross32,0.3455075512431091,0.34554323063726067,3.567939415155541e-05,0.00038284071028771895,5.2199638300109985e-05
german_credit_risk,2026082811,resnet,strength2_cross32,0.39898821066916457,0.3989288660323407,-5.934463682388813e-05,0.0030605680649172153,0.0009975444827493574
german_credit_risk,2026082811,ft_transformer,strength2_cross32,0.3648858207343932,0.36458711545469624,-0.0002987052796969425,0.004949536427351565,0.0017899575536224899
german_credit_risk,2026082811,tabm,strength2_cross32,0.34489148255983443,0.34493403618616375,4.255362632932247e-05,0.0004120184730596062,6.760493210805629e-05
german_credit_risk,2026082821,mlp,iid_cross32,0.30420906482387156,0.3041939446008401,-1.5120223031461766e-05,0.0008133155516174478,2.9386658928487464e-05
german_credit_risk,2026082821,resnet,iid_cross32,0.3525700894476082,0.3528605339138313,0.0002904444662231165,0.0033705655005030425,0.001603420329766625
german_credit_risk,2026082821,ft_transformer,iid_cross32,0.336111283434217,0.33576615093951645,-0.00034513249470052854,0.004580442195966194,0.0016976924796027748
german_credit_risk,2026082821,tabm,iid_cross32,0.29889292851170457,0.2989108691241552,1.7940612450639826e-05,0.0010250043911690506,0.00010425646392514532
german_credit_risk,2026082821,mlp,strength2_cross32,0.30420906482387156,0.30418557660156553,-2.3488222306022877e-05,0.000430969768983023,-5.129400380998739e-06
german_credit_risk,2026082821,resnet,strength2_cross32,0.3525700894476082,0.3525021673561287,-6.792209147948869e-05,0.0026417420639091955,0.0007700989641515887
german_credit_risk,2026082821,ft_transformer,strength2_cross32,0.336111283434217,0.33667527545256226,0.0005639920183452829,0.004656911287662852,0.0020986454347546313
german_credit_risk,2026082821,tabm,strength2_cross32,0.29889292851170457,0.2988913417790512,-1.586732653380274e-06,0.00042459148141880585,2.5149728771434177e-05
heloc_credit_risk,2026082801,mlp,iid_cross32,0.39698746521354933,0.39700828770457736,2.0822491028027468e-05,0.00024245378208457,4.8909099762739494e-05
heloc_credit_risk,2026082801,resnet,iid_cross32,0.4427601767807177,0.4425764694919182,-0.00018370728879951725,0.0018059729410477474,0.000535142283297263
heloc_credit_risk,2026082801,ft_transformer,iid_cross32,0.42837393110489425,0.42821886074883025,-0.000155070356063991,0.002635471104519715,0.0018418930383695131
heloc_credit_risk,2026082801,tabm,iid_cross32,0.40041369116196235,0.40039326489176086,-2.0426270201490127e-05,0.0002824601103539324,1.6583794656299666e-05
heloc_credit_risk,2026082801,mlp,strength2_cross32,0.39698746521354933,0.39698077899831846,-6.6862152308666545e-06,0.00013480384632901988,-1.6524583457133701e-06
heloc_credit_risk,2026082801,resnet,strength2_cross32,0.4427601767807177,0.442821292119596,6.111533887825926e-05,0.0010770990762716947,0.0003668915064490297
heloc_credit_risk,2026082801,ft_transformer,strength2_cross32,0.42837393110489425,0.4283426620354506,-3.126906944361796e-05,0.0030129403449950256,0.0011442522734699812
heloc_credit_risk,2026082801,tabm,strength2_cross32,0.40041369116196235,0.4004136226969667,-6.846499567281228e-08,0.0001765683982239947,5.784703458244778e-06
heloc_credit_risk,2026082811,mlp,iid_cross32,0.3767206075405172,0.3767123963452967,-8.211195220542145e-06,0.00033511267913468776,2.571945770341033e-05
heloc_credit_risk,2026082811,resnet,iid_cross32,0.4740201810993244,0.4736920748738408,-0.00032810622548362645,0.002415761557199922,0.00039802355284224156
heloc_credit_risk,2026082811,ft_transformer,iid_cross32,0.44774342562269676,0.44742802414951954,-0.00031540147317721257,0.002912126479787754,0.0016292938104198185
heloc_credit_risk,2026082811,tabm,iid_cross32,0.3777993523365699,0.3777178560324187,-8.149630415121845e-05,0.0004908128466504361,-3.9031387532140194e-05
heloc_credit_risk,2026082811,mlp,strength2_cross32,0.3767206075405172,0.37672570649855264,5.0989580354099395e-06,0.00013500243145163923,1.1431247192328353e-05
heloc_credit_risk,2026082811,resnet,strength2_cross32,0.4740201810993244,0.47389432896216627,-0.00012585213715815557,0.0014294804721676753,0.00017891550218024355
heloc_credit_risk,2026082811,ft_transformer,strength2_cross32,0.44774342562269676,0.44769750790124185,-4.591772145490225e-05,0.002828803759015654,0.001187555534591822
heloc_credit_risk,2026082811,tabm,strength2_cross32,0.3777993523365699,0.37779559441028376,-3.7579262861520135e-06,0.00017667038090696683,1.6599596138755501e-06
heloc_credit_risk,2026082821,mlp,iid_cross32,0.3664586028357787,0.3664467617499402,-1.1841085838515397e-05,0.0002700023644256485,1.6469658117246322e-05
heloc_credit_risk,2026082821,resnet,iid_cross32,0.408316409874389,0.4082973600262595,-1.9049848129504277e-05,0.001914428375816335,0.0007525185765081543
heloc_credit_risk,2026082821,ft_transformer,iid_cross32,0.39177455675205497,0.39188240848909495,0.00010785173703997675,0.0030215913556632694,0.0021906231964256007
