panel,dataset,model,exact_quotient_score,exhaustive128_score,absolute_error,score_rmse
confirmation,compustat_kor_direction,onehot_linear,0.5008093155876953,0.5008093155876953,0.0,0.0
confirmation,compustat_kor_direction,ordinal_forest,0.5161188638224092,0.5161188638224092,0.0,0.0
confirmation,compustat_kor_direction,native_histgb,0.4974284343507416,0.4974284343507416,0.0,0.0
confirmation,compustat_kor_direction,catboost_native,0.49578111233802974,0.49578111233802974,0.0,0.0
confirmation,compustat_kor_direction,onehot_adam_mlp,0.49359736842965185,0.49359736842965185,0.0,0.0
confirmation,kdd17_stock_direction,onehot_linear,0.500538396239319,0.500538396239319,0.0,0.0
confirmation,kdd17_stock_direction,ordinal_forest,0.49787308080543696,0.49787308080543696,0.0,0.0
confirmation,kdd17_stock_direction,native_histgb,0.4983079387088369,0.4983079387088369,0.0,0.0
confirmation,kdd17_stock_direction,catboost_native,0.4980525131100746,0.4980525131100746,0.0,0.0
confirmation,kdd17_stock_direction,onehot_adam_mlp,0.5103242078161577,0.5103242078161577,0.0,0.0
menu_repeat,compustat_kor_direction,onehot_linear,0.5008093117198901,0.5008093117198901,0.0,0.0
menu_repeat,compustat_kor_direction,ordinal_forest,0.5163699788257612,0.5163699788257612,0.0,0.0
menu_repeat,compustat_kor_direction,native_histgb,0.4982484686814686,0.4982484686814686,0.0,0.0
menu_repeat,compustat_kor_direction,catboost_native,0.49545353570488593,0.49545353570488593,0.0,0.0
menu_repeat,compustat_kor_direction,onehot_adam_mlp,0.4929715445517939,0.4929715445517939,0.0,0.0
subsample_repeat,compustat_kor_direction,onehot_linear,0.5009209993573153,0.5009209993573153,0.0,0.0
subsample_repeat,compustat_kor_direction,ordinal_forest,0.5096438395508305,0.5096438395508305,0.0,0.0
subsample_repeat,compustat_kor_direction,native_histgb,0.4927391075041228,0.4927391075041228,0.0,0.0
subsample_repeat,compustat_kor_direction,catboost_native,0.4934309521167741,0.4934309521167741,0.0,0.0
subsample_repeat,compustat_kor_direction,onehot_adam_mlp,0.49197453130140323,0.49197453130140323,0.0,0.0
openml_taskbalanced,openml-credit-g-31,onehot_linear,0.39859218925981127,0.39859218925981127,0.0,0.0
openml_taskbalanced,openml-credit-g-31,ordinal_forest,0.3550608336731724,0.3550608336731724,0.0,0.0
openml_taskbalanced,openml-credit-g-31,onehot_adam_mlp,0.36057256912673674,0.36057256912673674,0.0,0.0
