dataset,split_seed,tabpfn_calls,forward_ensemble_members,wall_seconds
australian_credit_approval,2026082801,96,320,19.353812464512885
australian_credit_approval,2026082811,96,320,19.084222574485466
australian_credit_approval,2026082821,96,320,19.915952797746286
bank_marketing_subscription,2026082801,96,320,22.206678580259904
bank_marketing_subscription,2026082811,96,320,22.04229021514766
bank_marketing_subscription,2026082821,96,320,22.17103119683452
credit_card_default,2026082801,24,80,6.438992956187576
credit_card_default,2026082811,24,80,6.576645102351904
credit_card_default,2026082821,24,80,6.4461266878061
german_credit_risk,2026082801,96,320,19.9706984332297
german_credit_risk,2026082811,96,320,20.422234660945833
german_credit_risk,2026082821,96,320,20.210113080451265
heloc_credit_risk,2026082801,24,80,8.525977046228945
heloc_credit_risk,2026082811,24,80,8.45391332055442
heloc_credit_risk,2026082821,24,80,7.865968617144972
lendingclub_loan_default,2026082801,96,320,20.431625890545547
lendingclub_loan_default,2026082811,96,320,20.926601987564936
lendingclub_loan_default,2026082821,96,320,20.821839148411527
