panel,dataset,model,task,method,product_cells,probability_count,minimum_probability,at_or_below_clip_count,at_or_below_clip_fraction,exact_zero_count,exact_zero_fraction,quantile_0.001,quantile_0.01,quantile_0.05
confirmation,compustat_kor_direction,onehot_linear,binclass,exact_quotient,128,3000,0.20130462292581797,0,0.0,0,0.0,0.27074429966881874,0.318810250479728,0.3770257308613509
confirmation,compustat_kor_direction,onehot_linear,binclass,disjoint_pair32,128,3072000,0.2013034587725997,0,0.0,0,0.0,0.2707438124008641,0.3188101737108095,0.3770256056450376
confirmation,compustat_kor_direction,onehot_linear,binclass,independent_pair32,128,3072000,0.2013034587725997,0,0.0,0,0.0,0.2707438124008641,0.3188101738318814,0.3770256056450376
confirmation,compustat_kor_direction,onehot_linear,binclass,mutually_disjoint_pack64,128,3072000,0.2013037612196058,0,0.0,0,0.0,0.2707439599230584,0.3188101897854371,0.37702562548220847
confirmation,compustat_kor_direction,onehot_linear,binclass,two_disjoint_pairs64,128,3072000,0.20130374911241233,0,0.0,0,0.0,0.27074399658107906,0.3188101898459731,0.3770256211282754
confirmation,compustat_kor_direction,ordinal_forest,binclass,exact_quotient,128,3000,0.1019850370939821,0,0.0,0,0.0,0.1297130180761451,0.24435646836180241,0.3222778569208458
confirmation,compustat_kor_direction,ordinal_forest,binclass,disjoint_pair32,128,3072000,0.09447350900154561,0,0.0,0,0.0,0.12619479732355104,0.2420411754027009,0.32281472811009737
confirmation,compustat_kor_direction,ordinal_forest,binclass,independent_pair32,128,3072000,0.09376288647763431,0,0.0,0,0.0,0.12610471454262734,0.24196513602510095,0.32288224608637395
confirmation,compustat_kor_direction,ordinal_forest,binclass,mutually_disjoint_pack64,128,3072000,0.09729882888495922,0,0.0,0,0.0,0.1258921138474252,0.24270346207311377,0.32253897583577784
confirmation,compustat_kor_direction,ordinal_forest,binclass,two_disjoint_pairs64,128,3072000,0.09654456458520144,0,0.0,0,0.0,0.12612014906760305,0.24243102123728022,0.32262762596365063
confirmation,compustat_kor_direction,native_histgb,binclass,exact_quotient,128,3000,0.3573046661913395,0,0.0,0,0.0,0.38331327196862547,0.39987695079296826,0.4258358493912965
confirmation,compustat_kor_direction,native_histgb,binclass,disjoint_pair32,128,3072000,0.3510460201650858,0,0.0,0,0.0,0.3779201389597729,0.3996801804751158,0.42609299905598164
confirmation,compustat_kor_direction,native_histgb,binclass,independent_pair32,128,3072000,0.3492064457386732,0,0.0,0,0.0,0.3779092840850353,0.3995773922652006,0.42618529684841633
confirmation,compustat_kor_direction,native_histgb,binclass,mutually_disjoint_pack64,128,3072000,0.35213591530919075,0,0.0,0,0.0,0.37818970981473105,0.3996289065107703,0.42596978414803743
confirmation,compustat_kor_direction,native_histgb,binclass,two_disjoint_pairs64,128,3072000,0.3501262329518795,0,0.0,0,0.0,0.37803435493959114,0.39955464175902305,0.42606156880501656
confirmation,compustat_kor_direction,catboost_native,binclass,exact_quotient,128,3000,0.36145517881959677,0,0.0,0,0.0,0.37938716961629687,0.4077526264172047,0.4367510253097862
confirmation,compustat_kor_direction,catboost_native,binclass,disjoint_pair32,128,3072000,0.34133324958384037,0,0.0,0,0.0,0.3771257260814309,0.40750415343791246,0.4367288145702332
