panel,dataset,task,model,component,cover_minus_iid
confirmation,compustat_kor_direction,binclass,catboost_native,residual_aligned_variance,-2.1428625113734577e-08
confirmation,compustat_kor_direction,binclass,native_histgb,residual_aligned_variance,-1.026708262260763e-07
confirmation,compustat_kor_direction,binclass,onehot_adam_mlp,residual_aligned_variance,-9.14499100930016e-08
confirmation,compustat_kor_direction,binclass,onehot_linear,residual_aligned_variance,-1.6149482288095058e-17
confirmation,compustat_kor_direction,binclass,ordinal_forest,residual_aligned_variance,-9.789784405177e-09
confirmation,credit_card_default,binclass,catboost_native,residual_aligned_variance,-8.797060454717952e-09
confirmation,credit_card_default,binclass,native_histgb,residual_aligned_variance,-8.680081854394034e-09
confirmation,credit_card_default,binclass,onehot_adam_mlp,residual_aligned_variance,-3.245367556249611e-08
confirmation,credit_card_default,binclass,onehot_linear,residual_aligned_variance,-1.5002543281345959e-24
confirmation,credit_card_default,binclass,ordinal_forest,residual_aligned_variance,-2.3046380162012606e-08
confirmation,credit_card_fraud,binclass,catboost_native,residual_aligned_variance,-5.7494706111759044e-11
confirmation,credit_card_fraud,binclass,native_histgb,residual_aligned_variance,-1.1410492396831638e-10
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,residual_aligned_variance,-2.815300612281632e-10
confirmation,credit_card_fraud,binclass,onehot_linear,residual_aligned_variance,-2.0620574674473024e-25
confirmation,credit_card_fraud,binclass,ordinal_forest,residual_aligned_variance,-1.7713489692925846e-11
confirmation,heloc_credit_risk,binclass,catboost_native,residual_aligned_variance,-7.463336431359411e-08
confirmation,heloc_credit_risk,binclass,native_histgb,residual_aligned_variance,-3.0096908196405225e-11
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,residual_aligned_variance,-6.070304609009211e-08
confirmation,heloc_credit_risk,binclass,onehot_linear,residual_aligned_variance,-7.15073586398634e-18
confirmation,heloc_credit_risk,binclass,ordinal_forest,residual_aligned_variance,-4.707369441263606e-08
confirmation,kdd17_stock_direction,binclass,catboost_native,residual_aligned_variance,-1.2620860528923159e-08
confirmation,kdd17_stock_direction,binclass,native_histgb,residual_aligned_variance,-1.5247713562055485e-08
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,residual_aligned_variance,-1.383524332262721e-07
confirmation,kdd17_stock_direction,binclass,onehot_linear,residual_aligned_variance,-7.732144990417479e-18
confirmation,kdd17_stock_direction,binclass,ordinal_forest,residual_aligned_variance,-1.1989404265744688e-08
confirmation,kdd17_stock_return,regression,catboost_native,residual_aligned_variance,-2.4293774342607933e-08
confirmation,kdd17_stock_return,regression,native_histgb,residual_aligned_variance,-5.31242812418425e-08
confirmation,kdd17_stock_return,regression,onehot_adam_mlp,residual_aligned_variance,-2.971792358135886e-07
confirmation,kdd17_stock_return,regression,onehot_linear,residual_aligned_variance,0.0
confirmation,kdd17_stock_return,regression,ordinal_forest,residual_aligned_variance,-3.988368852010949e-08
confirmation,polish_bankruptcy_1year,binclass,catboost_native,residual_aligned_variance,-1.8694584186722996e-08
confirmation,polish_bankruptcy_1year,binclass,native_histgb,residual_aligned_variance,-4.398674497721018e-09
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,residual_aligned_variance,-0.0001629615995590192
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,residual_aligned_variance,-7.142231464830278e-24
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,residual_aligned_variance,-2.7911351146093934e-08
confirmation,polish_bankruptcy_2year,binclass,catboost_native,residual_aligned_variance,-3.768818613333037e-08
confirmation,polish_bankruptcy_2year,binclass,native_histgb,residual_aligned_variance,-5.331944862784324e-10
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,residual_aligned_variance,-1.005424780714648e-05
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,residual_aligned_variance,-5.007926551718409e-18
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,residual_aligned_variance,-1.2513104889668193e-08
confirmation,polish_bankruptcy_3year,binclass,catboost_native,residual_aligned_variance,-2.710298370187372e-08
confirmation,polish_bankruptcy_3year,binclass,native_histgb,residual_aligned_variance,-1.7375269793301327e-09
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,residual_aligned_variance,-7.193915522098084e-06
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,residual_aligned_variance,-1.5771523023788944e-19
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,residual_aligned_variance,-1.3904920055808912e-08
confirmation,polish_bankruptcy_4year,binclass,catboost_native,residual_aligned_variance,-2.0937860438946546e-08
confirmation,polish_bankruptcy_4year,binclass,native_histgb,residual_aligned_variance,-1.529248833762379e-16
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,residual_aligned_variance,-6.894805872835552e-06
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,residual_aligned_variance,-4.503952310677844e-18
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,residual_aligned_variance,-1.641368446645374e-08
confirmation,polish_bankruptcy_5year,binclass,catboost_native,residual_aligned_variance,-4.1047564065310136e-08
confirmation,polish_bankruptcy_5year,binclass,native_histgb,residual_aligned_variance,-3.046517864962474e-09
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,residual_aligned_variance,-2.3711277842026557e-05
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,residual_aligned_variance,-1.499356906166444e-18
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,residual_aligned_variance,-1.3055648572749961e-08
confirmation,compustat_kor_direction,binclass,catboost_native,covariance_self_interaction_variance,-3.4771639611818514e-11
confirmation,compustat_kor_direction,binclass,native_histgb,covariance_self_interaction_variance,-5.446280294317679e-10
confirmation,compustat_kor_direction,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-2.8291894196896407e-09
confirmation,compustat_kor_direction,binclass,onehot_linear,covariance_self_interaction_variance,-2.690539525415536e-28
confirmation,compustat_kor_direction,binclass,ordinal_forest,covariance_self_interaction_variance,-4.0530860511986096e-11
confirmation,credit_card_default,binclass,catboost_native,covariance_self_interaction_variance,-7.089570937577253e-11
confirmation,credit_card_default,binclass,native_histgb,covariance_self_interaction_variance,-5.890968626771575e-10
confirmation,credit_card_default,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-1.6637374111001528e-09
confirmation,credit_card_default,binclass,onehot_linear,covariance_self_interaction_variance,-1.6618853505585223e-39
confirmation,credit_card_default,binclass,ordinal_forest,covariance_self_interaction_variance,-3.7306325452284916e-10
confirmation,credit_card_fraud,binclass,catboost_native,covariance_self_interaction_variance,-1.2006815389956173e-13
confirmation,credit_card_fraud,binclass,native_histgb,covariance_self_interaction_variance,-8.892839829739338e-13
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-1.5147258160761546e-12
confirmation,credit_card_fraud,binclass,onehot_linear,covariance_self_interaction_variance,-3.883038981644747e-40
confirmation,credit_card_fraud,binclass,ordinal_forest,covariance_self_interaction_variance,-1.2873090399023676e-14
confirmation,heloc_credit_risk,binclass,catboost_native,covariance_self_interaction_variance,-6.386105000239312e-10
confirmation,heloc_credit_risk,binclass,native_histgb,covariance_self_interaction_variance,-3.1311419105742405e-15
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-4.117776547270342e-09
confirmation,heloc_credit_risk,binclass,onehot_linear,covariance_self_interaction_variance,-7.385700099290321e-30
confirmation,heloc_credit_risk,binclass,ordinal_forest,covariance_self_interaction_variance,-8.543413626598898e-10
confirmation,kdd17_stock_direction,binclass,catboost_native,covariance_self_interaction_variance,-4.466874804557211e-11
confirmation,kdd17_stock_direction,binclass,native_histgb,covariance_self_interaction_variance,-6.59638374936551e-10
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-3.784361717642181e-09
confirmation,kdd17_stock_direction,binclass,onehot_linear,covariance_self_interaction_variance,-1.8005610149245608e-28
confirmation,kdd17_stock_direction,binclass,ordinal_forest,covariance_self_interaction_variance,9.821465574324346e-11
confirmation,kdd17_stock_return,regression,catboost_native,covariance_self_interaction_variance,-1.2464389324302384e-10
confirmation,kdd17_stock_return,regression,native_histgb,covariance_self_interaction_variance,-1.2302289252636823e-09
confirmation,kdd17_stock_return,regression,onehot_adam_mlp,covariance_self_interaction_variance,-4.9718469095283156e-08
confirmation,kdd17_stock_return,regression,onehot_linear,covariance_self_interaction_variance,0.0
confirmation,kdd17_stock_return,regression,ordinal_forest,covariance_self_interaction_variance,1.2473427327999637e-10
confirmation,polish_bankruptcy_1year,binclass,catboost_native,covariance_self_interaction_variance,-5.329673990731335e-11
confirmation,polish_bankruptcy_1year,binclass,native_histgb,covariance_self_interaction_variance,-1.7392828013731048e-11
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-2.516089832900042e-06
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,covariance_self_interaction_variance,-5.635982244015422e-37
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,covariance_self_interaction_variance,-3.710978836278348e-11
confirmation,polish_bankruptcy_2year,binclass,catboost_native,covariance_self_interaction_variance,-9.714013548981847e-11
confirmation,polish_bankruptcy_2year,binclass,native_histgb,covariance_self_interaction_variance,-1.0471083416261018e-11
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-1.516813666152972e-08
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,covariance_self_interaction_variance,-3.466552008697168e-30
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,covariance_self_interaction_variance,-3.141182834535948e-11
confirmation,polish_bankruptcy_3year,binclass,catboost_native,covariance_self_interaction_variance,-1.2935672736222475e-10
confirmation,polish_bankruptcy_3year,binclass,native_histgb,covariance_self_interaction_variance,-8.002070499211202e-11
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-1.5865992425406428e-08
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,covariance_self_interaction_variance,-2.889398948560557e-31
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,covariance_self_interaction_variance,-4.475205242688566e-11
confirmation,polish_bankruptcy_4year,binclass,catboost_native,covariance_self_interaction_variance,-1.3749481111497454e-10
confirmation,polish_bankruptcy_4year,binclass,native_histgb,covariance_self_interaction_variance,-1.5686673569869685e-19
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-7.530509539332557e-08
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,covariance_self_interaction_variance,-2.0946773572943628e-26
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,covariance_self_interaction_variance,-6.731816684357998e-11
confirmation,polish_bankruptcy_5year,binclass,catboost_native,covariance_self_interaction_variance,-1.950951261769572e-10
confirmation,polish_bankruptcy_5year,binclass,native_histgb,covariance_self_interaction_variance,-7.961317919288706e-11
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-2.252823216993512e-06
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,covariance_self_interaction_variance,-2.0140709622772952e-30
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,covariance_self_interaction_variance,-5.917279156415864e-11
menu_repeat,compustat_kor_direction,binclass,catboost_native,residual_aligned_variance,-1.0266502589142099e-08
menu_repeat,compustat_kor_direction,binclass,native_histgb,residual_aligned_variance,-8.372912632466273e-08
menu_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,residual_aligned_variance,-2.4700453344116272e-08
menu_repeat,compustat_kor_direction,binclass,onehot_linear,residual_aligned_variance,-6.73495302189093e-18
menu_repeat,compustat_kor_direction,binclass,ordinal_forest,residual_aligned_variance,-3.734308716337355e-08
menu_repeat,credit_card_default,binclass,catboost_native,residual_aligned_variance,-6.8078274409780445e-09
menu_repeat,credit_card_default,binclass,native_histgb,residual_aligned_variance,-8.021655005734606e-09
menu_repeat,credit_card_default,binclass,onehot_adam_mlp,residual_aligned_variance,-9.689501026528967e-08
menu_repeat,credit_card_default,binclass,onehot_linear,residual_aligned_variance,-1.2316709934350787e-24
menu_repeat,credit_card_default,binclass,ordinal_forest,residual_aligned_variance,-2.057778067137209e-08
menu_repeat,credit_card_fraud,binclass,catboost_native,residual_aligned_variance,-5.947265538307284e-11
menu_repeat,credit_card_fraud,binclass,native_histgb,residual_aligned_variance,-3.339033314090027e-10
menu_repeat,credit_card_fraud,binclass,onehot_adam_mlp,residual_aligned_variance,-2.7781171027556453e-10
menu_repeat,credit_card_fraud,binclass,onehot_linear,residual_aligned_variance,-1.0760193008074131e-24
menu_repeat,credit_card_fraud,binclass,ordinal_forest,residual_aligned_variance,-1.6064607348429952e-11
menu_repeat,heloc_credit_risk,binclass,catboost_native,residual_aligned_variance,-4.4086476056919093e-08
