dataset,model,control,risk_ratio_q025,risk_ratio_median,risk_ratio_q975,bootstrap_probability_strength3_lower_risk,brier_difference_q025,brier_difference_median,brier_difference_q975,bootstrap_probability_strength3_lower_brier
bank_marketing_subscription,ordinal_forest,four_strength2_oa32,0.29439054316708246,0.9121172611838946,1.6954456121332333,0.67344,-7.302409438178503e-05,7.407695812369774e-05,0.00020429275076819242,0.1639
bank_marketing_subscription,ordinal_forest,four_marginal32,0.30428472743911894,0.9407597697531931,1.7355948693736756,0.60052,-3.73849845644314e-05,6.79333908850388e-05,0.00017360576862443522,0.11304
bank_marketing_subscription,ordinal_forest,iid128,0.11082834519057097,0.3595752215899832,0.9590419993089333,0.9706,-0.00011764341689099456,6.006293172797217e-05,0.00020513919893963561,0.25264
bank_marketing_subscription,catboost_native,four_strength2_oa32,0.0,0.0,0.0,0.98502,-7.644006362822475e-05,-3.9354909094818646e-05,2.5171789390626698e-05,0.94966
bank_marketing_subscription,catboost_native,four_marginal32,0.0,0.0,0.0,0.98504,-4.7505260753921696e-05,1.4538889409831945e-05,7.202930347732783e-05,0.36362
bank_marketing_subscription,catboost_native,iid128,0.0,0.0,0.0,0.98494,-6.865621366761165e-05,8.311667567373338e-06,6.577201373655917e-05,0.36944
bank_marketing_subscription,onehot_adam_mlp,four_strength2_oa32,0.31868505149828913,1.0175630311201704,2.9818906458859535,0.47392,-0.00018596234817508384,-2.23517358172165e-06,0.00016659254287099134,0.51398
bank_marketing_subscription,onehot_adam_mlp,four_marginal32,0.31695795400205684,1.0268515746230698,2.810717333195181,0.45002,-0.00021410161631613134,5.9555067823402474e-06,0.00021026993650907766,0.4719
bank_marketing_subscription,onehot_adam_mlp,iid128,0.31726858086040965,0.9499242399249704,2.1548041995252407,0.54956,-0.00021598096573438585,4.677035758887671e-05,0.0002698416308974938,0.35606
german_credit_risk,ordinal_forest,four_strength2_oa32,0.500181939366388,1.0439300479837674,1.905209835486694,0.41276,-0.0004382346382793001,-0.0001239539495745401,0.00017318491268536462,0.7782
german_credit_risk,ordinal_forest,four_marginal32,0.5002456498432559,1.066170631645221,2.00025658775991,0.38628,-0.00031691383261256423,0.00011587414196279067,0.000617926751528719,0.31936
german_credit_risk,ordinal_forest,iid128,0.36492316861776736,0.7782773181956747,1.5989811056397856,0.77404,-0.0002773698465541874,0.00030314554163879404,0.0007182391524980236,0.14886
german_credit_risk,catboost_native,four_strength2_oa32,0.0,0.0,0.0,0.985,-0.0012059569583361407,6.772020653927902e-05,0.0013413973714146987,0.45072
german_credit_risk,catboost_native,four_marginal32,0.0,0.0,0.0,0.98372,-0.000515127822469541,-3.0169617041053698e-05,0.0003336407811024289,0.53438
german_credit_risk,catboost_native,iid128,0.0,0.0,0.0,0.98444,-0.0012537996039769794,-0.0006382824419548516,1.2110826695110877e-05,0.96628
german_credit_risk,onehot_adam_mlp,four_strength2_oa32,0.1455829864966724,0.9270386361335563,3.5983989605498836,0.54444,-0.001482561863833054,-9.112620925316728e-05,0.0013599783705324775,0.54794
german_credit_risk,onehot_adam_mlp,four_marginal32,0.43285264126124584,2.5106337490128983,7.172442568341518,0.09318,-0.0001717466157724612,0.0006630755518496345,0.0015820440400370894,0.06534
german_credit_risk,onehot_adam_mlp,iid128,0.16193799087571895,1.051256614331474,3.1675173029196184,0.47626,-0.001021889457717251,2.8626821550692405e-05,0.0011404180298452138,0.48424
compustat_kor_direction,ordinal_forest,four_strength2_oa32,0.13735723416864765,0.30210832303558044,0.6308443796809092,0.98384,-0.0003305770261501362,-0.0001522492820297261,3.7831588517223125e-05,0.9414
compustat_kor_direction,ordinal_forest,four_marginal32,0.2670336369995196,0.5917668198068238,1.1679372572369737,0.90846,-0.00015703189433502462,5.0358486281876225e-05,0.00027196956203157097,0.33434
compustat_kor_direction,ordinal_forest,iid128,0.24311218475506458,0.5325415583573065,1.09379381068474,0.94076,-0.0001197984404585073,6.226279375975974e-05,0.00022954099863503608,0.24908
compustat_kor_direction,catboost_native,four_strength2_oa32,0.0,0.0,0.0,0.98468,-0.00028133920394218803,-8.084702233962515e-05,6.910387053299383e-05,0.807
compustat_kor_direction,catboost_native,four_marginal32,0.0,0.0,0.0,0.9852,-0.0002820393531981491,-5.329443136070644e-05,0.00017545049047679173,0.62388
compustat_kor_direction,catboost_native,iid128,0.0,0.0,0.0,0.98448,-0.00015120345220376308,-3.183153532965166e-05,8.022431123505536e-05,0.67924
compustat_kor_direction,onehot_adam_mlp,four_strength2_oa32,0.04970112110325407,0.1371550093768247,0.36457657564070695,0.98416,-0.0005887316555903688,-0.00015772076401843194,0.0002809245404525873,0.75214
compustat_kor_direction,onehot_adam_mlp,four_marginal32,0.04041877523265852,0.11263460899724193,0.37440740621154944,0.98508,-0.0004070822105688432,-2.7955410667912517e-05,0.0003157506901613205,0.55938
compustat_kor_direction,onehot_adam_mlp,iid128,0.051841227928741754,0.14647236209506656,0.3278113567995084,0.98418,-0.0006792222065805653,-0.0003183725261397541,0.00016762045387408442,0.89704
