dataset,model,task,source_group,joint_risk,strength2_residual,iid16_residual,four_strength1_residual,four_seed_blocks_residual,iid_equivalent_fits,strength1_equivalent_fits,seed_block_equivalent_fits,iid_compute_saving_fraction,strength1_compute_saving_fraction,seed_compute_saving_fraction,expected_brier_or_mse_gain_vs_iid16,expected_brier_or_mse_gain_vs_strength1,expected_brier_or_mse_gain_vs_seed
compustat_kor_direction,onehot_adam_mlp,binclass,compustat_korea,0.0029057846436641,0.0001171675138022,0.000181611540229,0.0001505794012054,0.0001439642521085,24.80025861579338,20.562614508947295,19.659272088205302,0.35484543738544605,0.22188883164453577,0.18613466825156277,6.444402642679999e-05,3.3411887403200004e-05,2.6796738306299986e-05
credit_card_default,onehot_adam_mlp,binclass,credit_card_default,0.0029516665981415,7.048944334094666e-05,0.0001844791623838,0.000148035200244,0.000166800072703,41.87388150967145,33.60167269938027,37.86100494991025,0.6179002417938126,0.5238332286864072,0.577401603016934,0.00011398971904285333,7.754575690305335e-05,9.631062936205334e-05
credit_card_fraud,native_histgb,binclass,credit_card_fraud,7.620984389249685e-05,8.470257660572784e-08,4.763115243281053e-06,1.9894263275285387e-06,4.265983798195097e-06,899.7346591619895,375.79519438496186,805.8283880647132,0.9822169793760058,0.9574236173344737,0.9801446558138442,4.678412666675325e-06,1.9047237509228108e-06,4.181281221589369e-06
credit_card_fraud,catboost_native,binclass,credit_card_fraud,1.4227853846280084e-05,8.175942473422183e-08,8.892408653925052e-07,7.70417188753822e-07,1.0364525720379014e-06,174.0209632410093,150.76763394717977,202.8297190998363,0.9080570541501893,0.89387642704796,0.9211160964428269,8.074814406582834e-07,6.886577640196002e-07,9.546931473036795e-07
credit_card_fraud,onehot_adam_mlp,binclass,credit_card_fraud,7.425264908604805e-05,1.946881175620496e-06,4.640790567878003e-06,2.9683263426916952e-06,3.727483173345364e-06,38.13928143939384,24.394514712964146,30.633472407229924,0.5804850171226956,0.344114847609696,0.4776955159603853,2.693909392257507e-06,1.0214451670711992e-06,1.7806019977248678e-06
heloc_credit_risk,ordinal_forest,binclass,heloc,0.0018582723746051,3.3881317890172014e-21,0.0001161420234128,9.061524647634222e-05,9.116008259761274e-05,inf,inf,inf,1.0,1.0,1.0,0.0001161420234128,9.061524647634222e-05,9.116008259761274e-05
heloc_credit_risk,onehot_adam_mlp,binclass,heloc,0.0040707928057711,9.602593828254518e-05,0.0002544245503606,0.000221869088001,0.0002191981365901,42.392637641230486,36.96819288108193,36.52315455770043,0.6225759733232871,0.5671955063784624,0.5619217399547813,0.0001583986120780548,0.0001258431497184548,0.00012317219830755482
kdd17_stock_direction,ordinal_forest,binclass,kdd17_stock,0.0029843315885411,0.0001327638972173,0.0001865207242838,0.0001710952508608,0.0001901340422076,22.478487383181623,20.619491225782447,22.913945274914607,0.28820833327196294,0.22403517017947916,0.30173526173529597,5.3756827066499995e-05,3.833135364349999e-05,5.737014499029999e-05
kdd17_stock_direction,onehot_adam_mlp,binclass,kdd17_stock,0.0167200264338683,0.000780602838146,0.0010450016521167,0.000962620441796,0.0009536032012558,21.419376944080586,19.730811004116926,19.545984813904926,0.2530128191043518,0.18908553750469126,0.18141755699013584,0.0002643988139707001,0.00018201760365000002,0.00017300036310980002
kdd17_stock_return,ordinal_forest,regression,kdd17_stock,0.0041760409851391,0.0001553298462195,0.0002610025615711,0.0002391348830654,0.0002423306076967,26.884987571788656,24.632472265758715,24.961653008193398,0.4048723304306322,0.3504509077539327,0.35901680891292853,0.00010567271535159999,8.38050368459e-05,8.700076147720001e-05
kdd17_stock_return,onehot_adam_mlp,regression,kdd17_stock,0.0243115067287464,0.000482630863086,0.0015194691705466,0.0010842213796078,0.0010994584442388,50.37288036926543,35.943706465024896,36.44884000028444,0.6823687690140059,0.5548594851905762,0.5610285539985597,0.0010368383074606,0.0006015905165218001,0.0006168275811528001
polish_bankruptcy_1year,ordinal_forest,binclass,polish_bankruptcy,0.0003572749613015,0.0,2.232968508134789e-05,1.739296059004474e-05,1.805693040131981e-05,inf,inf,inf,1.0,1.0,1.0,2.232968508134789e-05,1.739296059004474e-05,1.805693040131981e-05
polish_bankruptcy_1year,catboost_native,binclass,polish_bankruptcy,0.0002745865107231,-4.235164736271504e-22,1.716165692019728e-05,1.4719438818936652e-05,9.173612597465856e-06,inf,inf,inf,1.0,1.0,1.0,1.716165692019728e-05,1.4719438818936652e-05,9.173612597465856e-06
polish_bankruptcy_1year,onehot_adam_mlp,binclass,polish_bankruptcy,0.025865426125747,0.0001546420079074,0.0016165891328591,0.0012421366950192,0.0014283119198833,167.26002511061083,128.51738922200175,147.77996630654994,0.90434056201164,0.875503228809282,0.8917309267292014,0.0014619471249517,0.0010874946871118,0.0012736699119759
polish_bankruptcy_2year,ordinal_forest,binclass,polish_bankruptcy,0.0003576971757873,0.0,2.235607348670702e-05,1.7402327340784043e-05,1.8730636647000003e-05,inf,inf,inf,1.0,1.0,1.0,2.235607348670702e-05,1.7402327340784043e-05,1.8730636647000003e-05
polish_bankruptcy_2year,catboost_native,binclass,polish_bankruptcy,0.0005351947480618,0.0,3.3449671753863314e-05,2.667171473476429e-05,2.394000572362894e-05,inf,inf,inf,1.0,1.0,1.0,3.3449671753863314e-05,2.667171473476429e-05,2.394000572362894e-05
polish_bankruptcy_2year,onehot_adam_mlp,binclass,polish_bankruptcy,0.0028494928297203,1.3849325852650032e-05,0.0001780933018575,0.0001182329126647,0.0002380711577556,205.7495693319294,136.59340698328816,275.04143989512175,0.9222355601911968,0.8828640389505947,0.9418269479460947,0.00016424397600484997,0.00010438358681204997,0.00022422183190294996
polish_bankruptcy_3year,ordinal_forest,binclass,polish_bankruptcy,0.0004388365207462,4.235164736271504e-22,2.742728254664048e-05,2.1334510675848213e-05,2.147779384407803e-05,inf,inf,inf,1.0,1.0,1.0,2.742728254664048e-05,2.1334510675848213e-05,2.147779384407803e-05
polish_bankruptcy_3year,catboost_native,binclass,polish_bankruptcy,0.0006630676886561,0.0,4.144173054101001e-05,3.266230162410072e-05,3.313884323420055e-05,inf,inf,inf,1.0,1.0,1.0,4.144173054101001e-05,3.266230162410072e-05,3.313884323420055e-05
polish_bankruptcy_3year,onehot_adam_mlp,binclass,polish_bankruptcy,0.0026898906489294,1.3119202818296276e-05,0.000168118165558,9.715019870543822e-05,0.000236956986008,205.03461118674304,118.48305120485011,288.9894933890776,0.9219643946580931,0.8649595884196386,0.944634665390902,0.00015499896273970374,8.403099588714194e-05,0.00022383778318970371
polish_bankruptcy_4year,ordinal_forest,binclass,polish_bankruptcy,0.0004888478977581,8.470329472543003e-22,3.055299360988617e-05,2.400807725773025e-05,2.471013099530067e-05,inf,inf,inf,1.0,1.0,1.0,3.055299360988617e-05,2.400807725773025e-05,2.471013099530067e-05
polish_bankruptcy_4year,catboost_native,binclass,polish_bankruptcy,0.0008152355713707,8.470329472543003e-22,5.0952223210673085e-05,3.958498587526813e-05,4.189968361362123e-05,inf,inf,inf,1.0,1.0,1.0,5.0952223210673085e-05,3.958498587526813e-05,4.189968361362123e-05
polish_bankruptcy_4year,onehot_adam_mlp,binclass,polish_bankruptcy,0.0062571844051064,0.0002219716286748,0.0003910740253191,0.0002727396263814,0.0003713830668408,28.18911787268769,19.659422459325395,26.769768302949785,0.43240508368293673,0.18614089335007689,0.4023108523417087,0.0001691023966443,5.076799770660002e-05,0.00014941143816600002
polish_bankruptcy_5year,catboost_native,binclass,polish_bankruptcy,0.0010302706283803,0.0,6.439191427376892e-05,5.1133205478336575e-05,5.2506580368937474e-05,inf,inf,inf,1.0,1.0,1.0,6.439191427376892e-05,5.1133205478336575e-05,5.2506580368937474e-05
polish_bankruptcy_5year,onehot_adam_mlp,binclass,polish_bankruptcy,0.0255495199053478,0.000254666757769,0.0015968449940842,0.0010505329056642,0.0005220484105163,100.32530405292607,66.00204376055108,32.798841283546444,0.8405187988111226,0.7575832642691123,0.5121778887955286,0.0013421782363152,0.0007958661478951999,0.00026738165274729997
