study,dataset,model,control,median_risk_ratio,risk_ratio_q025,risk_ratio_q975,bootstrap_probability_oa_lower_risk,median_brier_difference,brier_difference_q025,brier_difference_q975,bootstrap_probability_oa_lower_brier
row,bank_marketing_subscription,ordinal_forest,marginal32,0.9499986471203156,0.759564970466896,1.1857184578151172,0.71432,-6.315214241051081e-05,-0.00019088635465830395,6.012787762594288e-05,0.83904
row,bank_marketing_subscription,ordinal_forest,iid32,0.5319394943420817,0.4092401367004621,0.7354935614094422,0.99916,-5.3182506771429217e-05,-0.0002471139794448157,0.00013355913730993057,0.70742
row,bank_marketing_subscription,catboost_native,marginal32,2.104184950541753,1.3092484744514674,2.888999761939565,0.00518,-4.303884313221207e-05,-0.00022317265347504832,0.00015865661989714072,0.66516
row,bank_marketing_subscription,catboost_native,iid32,1.7685414291758144,1.1025342884399254,2.4288873576607655,0.01382,0.00013189808703792383,-4.6656182850210445e-05,0.0003338507824851304,0.08008
row,bank_marketing_subscription,onehot_adam_mlp,marginal32,0.8480953941656415,0.5445188374638759,1.3932596444585144,0.75748,5.72275547533474e-06,-0.0003211234246846245,0.0003216693745061089,0.48594
row,bank_marketing_subscription,onehot_adam_mlp,iid32,0.8737808100369071,0.6018296407242615,1.249685914529886,0.7887,0.00014230062031309054,-0.00014218359344328607,0.0004203024724012483,0.16546
row,german_credit_risk,ordinal_forest,marginal32,0.9165773025245536,0.7151051764446505,1.189489350261958,0.78034,-0.0003325519923679521,-0.0009787733042637497,0.00031151668737162714,0.839
row,german_credit_risk,ordinal_forest,iid32,0.5048582189565164,0.3857106753971803,0.7020705673050265,0.99938,0.0006858535351858264,3.8138146853259053e-06,0.0013687492177634933,0.02444
row,german_credit_risk,catboost_native,marginal32,1.901380020861887,1.279231073023334,2.616250637515683,0.00446,-0.0011866623841934876,-0.002314464080254633,-0.00011306525903903018,0.98548
row,german_credit_risk,catboost_native,iid32,1.1013056626138287,0.7366262890550073,1.5808763309188258,0.27162,-0.0016062947089983959,-0.002615105497216655,-0.0006944282686222464,0.99994
row,german_credit_risk,onehot_adam_mlp,marginal32,0.7018005455867331,0.40369831815558815,1.5737209920138184,0.84422,0.000514838945316981,-0.0014238133070899395,0.0024125181827907975,0.30314
row,german_credit_risk,onehot_adam_mlp,iid32,0.4085984161052526,0.22380493890405548,1.103922301756251,0.96306,0.00037310781281252314,-0.002588562289098975,0.002955537991109892,0.39796
row,compustat_kor_direction,ordinal_forest,marginal32,1.8191788183198074,1.4305421242659433,2.2964718603669914,0.00056,-0.00026077510801153503,-0.0007282445700359768,0.00021645241670334724,0.85458
row,compustat_kor_direction,ordinal_forest,iid32,1.6089904269106252,1.273395319792179,2.01854097033557,0.00134,-0.00024233302731085926,-0.0007081190063515097,0.0002268215292556748,0.84134
row,compustat_kor_direction,catboost_native,marginal32,1.7808467431261668,1.17133333603114,2.42856834912868,0.0075,0.00010857192744354038,-0.0001233827259918302,0.00036506355867403363,0.19022
row,compustat_kor_direction,catboost_native,iid32,1.5029876204747485,0.9911823172597409,2.035961034855987,0.02708,9.162345848817699e-05,-0.00019153621122627168,0.0004096010782965234,0.27358
row,compustat_kor_direction,onehot_adam_mlp,marginal32,1.0033586102780245,0.6206302359083711,1.5979867462928745,0.49398,8.763024012353737e-05,-0.0007125368618764005,0.0008610825993998737,0.41326
row,compustat_kor_direction,onehot_adam_mlp,iid32,1.3305531423392585,0.819607734688109,2.0780131734371374,0.11454,0.0003801711090122284,-0.0003422459781888015,0.001076080755471065,0.14998
