dataset,task,model,ttt_mean_member_squared_loss,ttt_ensemble_squared_loss,ttt_ambiguity,heterobag_mean_member_squared_loss,heterobag_ensemble_squared_loss,heterobag_ambiguity,heterobag_member_quality_gain,heterobag_diversity_gain,heterobag_ensemble_squared_loss_gain,heterobag_reconstruction_error,coordinate_placebo_mean_member_squared_loss,coordinate_placebo_ensemble_squared_loss,coordinate_placebo_ambiguity,coordinate_placebo_member_quality_gain,coordinate_placebo_diversity_gain,coordinate_placebo_ensemble_squared_loss_gain,coordinate_placebo_reconstruction_error,primary_relative_gain_pct
openml-credit-g-31,classification,mlp,0.17516230590898066,0.17362297101903984,0.0015393348899408214,0.1747070980981529,0.1730414424448363,0.0016656556533166445,0.0004552078108277513,0.00012632076337582314,0.0005815285742035436,3.0791341698588326e-17,0.17524256570448413,0.17369270899361772,0.001549856710866385,-8.025979550346785e-05,1.052182092556352e-05,-6.9737974577877e-05,2.7321894746634712e-17,0.3173208147039531
openml-credit-g-31,classification,resnet,0.177626255853141,0.17302216949442598,0.004604086358714997,0.17696678610638497,0.172838477388092,0.004128308718292937,0.0006594697467560418,-0.00047577764042206015,0.00018369210633398247,8.673617379884035e-19,0.17784651935390344,0.17254948059168626,0.00529703876221719,-0.00022026350076242984,0.0006929524035021927,0.0004726889027397152,4.7704895589362195e-17,0.4690295411018652
openml-credit-g-31,classification,ft_transformer,0.18055610194475744,0.17036028613841434,0.010195815806343078,0.17879651029659582,0.16908847135088834,0.009708038945707488,0.0017595916481616125,-0.00048777686063558937,0.0012718147875259989,2.42861286636753e-17,0.17769449487283276,0.1686036159510677,0.009090878921765052,0.0028616070719246767,-0.0011049368845780262,0.0017566701873466262,2.42861286636753e-17,0.5174517978167791
openml-spambase-44,classification,mlp,0.04336641571878149,0.04286980975038074,0.00049660596840076,0.0424607125014705,0.041139780921947616,0.001320931579522886,0.0009057032173109894,0.0008243256111221261,0.0017300288284331222,6.7220534694101275e-18,0.043546038704754424,0.043129625803902914,0.00041641290085150376,-0.00017962298597293258,-8.019306754925622e-05,-0.0002598160535221758,1.3010426069826053e-17,1.914550564843904
openml-spambase-44,classification,resnet,0.04231490983945511,0.039288476973146746,0.003026432866308373,0.04187164775875534,0.038781864861909085,0.0030897828968462606,0.00044326208069976614,6.335003053788753e-05,0.0005066121112376615,7.806255641895632e-18,0.042820540570525076,0.040315974982100364,0.0025045655884247263,-0.0005056307310699684,-0.0005218672778836467,-0.0010274980089536173,2.168404344971009e-18,2.764736565147452
openml-spambase-44,classification,ft_transformer,0.04655102944305501,0.04277896546792606,0.0037720639751289598,0.046248667053485036,0.042795967791735195,0.003452699261749846,0.00030236238956997397,-0.00031936471337911396,-1.7002323809134356e-05,5.637851296924623e-18,0.04670424283258861,0.04316341334214895,0.0035408294904396695,-0.0001532133895335991,-0.0002312344846892903,-0.00038444787422289156,2.168404344971009e-18,0.3989594929972525
openml-banknote-1462,classification,mlp,0.006327640824492228,0.006051084344299498,0.0002765564801927295,0.005829967952138472,0.00547396686866114,0.00035600108347733366,0.0004976728723537554,7.944460328460415e-05,0.000577117475638358,1.6263032587282567e-18,0.005697479516298679,0.005415260349435097,0.00028221916686358225,0.0006301613081935485,5.662686670852748e-06,0.0006358239948644007,5.963111948670274e-19,7.006812801652056
openml-banknote-1462,classification,resnet,5.8107484206904394e-06,3.949929499405807e-06,1.86081892128465e-06,1.2962654792857045e-05,7.206104588326784e-06,5.756550204530248e-06,-7.151906372166605e-06,3.895731283245598e-06,-3.256175088920977e-06,3.049318610115481e-20,0.0011528683645255547,0.0003864438639002155,0.0007664245006253395,-0.0011470576161048643,0.0007645636817040549,-0.0003824939344008097,2.168404344971009e-19,-13.793728701501738
openml-banknote-1462,classification,ft_transformer,0.0054680083304998,0.004280019886389518,0.0011879884441102814,0.004407512808343989,0.0032588429527531963,0.001148669855590792,0.0010604955221558115,-3.931858851948943e-05,0.0010211769336363214,6.505213034913027e-19,0.00440084223463918,0.0032268995700333765,0.001173942664605805,0.0010671660958606203,-1.4045779504476448e-05,0.0010531203163561412,2.6020852139652106e-18,5.777317969401609
openml-qsar-biodeg-1494,classification,mlp,0.12820855107445853,0.12589631544077273,0.0023122356336857885,0.13073504120057894,0.1281949796395963,0.0025400615609826346,-0.002526490126120412,0.00022782592729684616,-0.0022986641988235745,8.673617379884035e-18,0.12747343856851845,0.12533990753461563,0.002133531033902793,0.0007351125059400776,-0.00017870459978299542,0.0005564079061571026,2.0383000842727483e-17,-0.5099638609493393
openml-qsar-biodeg-1494,classification,resnet,0.1307487303174714,0.12617547420535943,0.004573256112111973,0.13174267643328932,0.12612263939626886,0.005620037037020489,-0.0009939461158179341,0.0010467809249085159,5.283480909057392e-05,7.806255641895632e-18,0.12436187509438765,0.11962471336275222,0.004737161731635412,0.006386855223083743,0.00016390561952343927,0.006550760842607209,2.688821387764051e-17,-0.8123791023785536
openml-qsar-biodeg-1494,classification,ft_transformer,0.12727691032155947,0.12139418963604359,0.005882720685515891,0.12937590525644163,0.12270060210398254,0.006675303152459098,-0.0020989949348821646,0.0007925824669432072,-0.0013064124679389444,1.3010426069826053e-17,0.12873535956932738,0.12115134426263266,0.007584015306694717,-0.0014584492477679178,0.0017012946211788262,0.0002428453734109326,2.42861286636753e-17,-0.4885665728832146
openml-abalone-183,regression,mlp,0.45385034658045587,0.4519385068389061,0.001911839741549732,0.44926530694859923,0.44510155080163155,0.004163756146967649,0.0045850396318566355,0.002251916405417917,0.006836956037274522,3.0791341698588326e-17,0.4533632346825482,0.45179708755588577,0.0015661471266624769,0.00048711189790767717,-0.00034569261488725514,0.00014141928302030538,1.1666015375944028e-16,0.7592854375641791
openml-abalone-183,regression,resnet,0.4569194088506071,0.4506383316354045,0.0062810772152026,0.45375810633972724,0.44433162828967027,0.009426478050056981,0.003161302510879871,0.0031454008348543814,0.006306703345734244,8.673617379884035e-18,0.46094112111646646,0.4515564067468016,0.009384714369664855,-0.004021712265859345,0.003103637154462255,-0.0009180751113970764,1.3877787807814457e-17,0.7022182724690609
openml-abalone-183,regression,ft_transformer,0.45972144194226233,0.4490063478779043,0.010715094064358053,0.4684589077701388,0.4541896687458991,0.014269239024239747,-0.00873746582787649,0.0035541449598816936,-0.005183320867994834,3.8163916471489756e-17,0.46592473141010565,0.45460508140094213,0.011319650009163606,-0.00620328946784332,0.0006045559448055529,-0.005598733523037858,9.020562075079397e-17,-0.5755414973163566
openml-kin8nm-189,regression,mlp,0.1260596484809203,0.12172503427011522,0.00433461421080508,0.12336865492685221,0.1156430751823055,0.0077255797445466975,0.0026909935540680857,0.003390965533741618,0.006081959087809716,1.214306433183765e-17,0.1268362948733016,0.12199724673761511,0.0048390481356865,-0.0007766463923813138,0.00050443392488142,-0.0002722124674998938,0.0,2.5302484463964787
openml-kin8nm-189,regression,resnet,0.09686569197079611,0.08361410451028821,0.013251587460507924,0.09545179387547896,0.08033767828685405,0.015114115588624898,0.0014138980953171537,0.001862528128116974,0.003276426223434159,3.122502256758253e-17,0.09740160956754129,0.08464313587906896,0.01275847368847233,-0.0005359175967451779,-0.0004931137720355933,-0.0010290313687807556,1.5612511283791264e-17,1.978831242010056
openml-kin8nm-189,regression,ft_transformer,0.1496869272412794,0.130335521955899,0.019351405285380395,0.14565899196845639,0.1260818111235113,0.019577180844945093,0.0040279352728230244,0.00022577555956469764,0.004253710832387708,1.3877787807814457e-17,0.14696336205930882,0.13055654932582952,0.016406812733479322,0.0027235651819705886,-0.002944592551901073,-0.00022102736993051542,3.122502256758253e-17,1.645368836995865
openml-pol-201,regression,mlp,0.011475730370682613,0.01097242583850111,0.0005033045321815061,0.011096172756040806,0.009020733748355322,0.0020754390076854856,0.00037955761464180705,0.0015721344755039795,0.001951692090145788,1.5178830414797062e-18,0.011769686058366535,0.01125836867848608,0.0005113173798804551,-0.0002939556876839222,8.012847698948963e-06,-0.00028594283998496957,3.686287386450715e-18,9.328747160246277
openml-pol-201,regression,resnet,0.008388963002026928,0.0069799195486938805,0.0014090434533330456,0.008502758968537425,0.006452558289265864,0.0020502006792715594,-0.0001137959665104965,0.0006411572259385138,0.0005273612594280169,4.336808689942018e-19,0.009106694984754748,0.007627865338461399,0.0014788296462933499,-0.0007177319827278202,6.978619296030427e-05,-0.0006479457897675183,2.3852447794681098e-18,3.8518858685827753
openml-pol-201,regression,ft_transformer,0.01154139149701303,0.008974192310970528,0.002567199186042503,0.012152953907279064,0.008806505008963635,0.003346448898315429,-0.0006115624102660342,0.0007792497122729261,0.00016768730200689315,1.3010426069826053e-18,0.012439858989951763,0.00905400327988684,0.0033858557100649236,-0.0008984674929387333,0.0008186565240224206,-7.98109689163131e-05,4.336808689942018e-19,0.9386866684502422
openml-puma32h-308,regression,mlp,0.06856966588096003,0.06747920527325928,0.0010904606077007499,0.06820944029917483,0.06581056841054425,0.0023988718886305818,0.00036022558178519515,0.001308411280929832,0.0016686368627150255,1.5178830414797062e-18,0.06840602908099004,0.0672554288050664,0.0011506002759236423,0.0001636367999699878,6.013966822289245e-05,0.00022377646819288222,1.951563910473908e-18,1.2441496357116977
openml-puma32h-308,regression,resnet,0.07488725665549026,0.06969396017581203,0.0051932964796782295,0.07357668639135678,0.06794295522269353,0.005633731168663242,0.001310570264133476,0.00044043468898501224,0.0017510049531185012,1.3010426069826053e-17,0.07458582880918813,0.07033522423416198,0.004250604575026133,0.0003014278463021325,-0.0009426919046520961,-0.0006412640583499524,1.1275702593849246e-17,1.264206773561891
openml-puma32h-308,regression,ft_transformer,0.06923105719535809,0.06564466061886876,0.0035863965764893297,0.06990438956603015,0.06504195157444931,0.0048624379915808355,-0.0006733323706720612,0.0012760414150915058,0.0006027090444194472,2.6020852139652106e-18,0.06994935124045426,0.06579648117880635,0.004152870061647916,-0.0007182940450961711,0.0005664734851585865,-0.00015182055993759325,8.673617379884035e-18,0.4601265972919383
