factor_shape,strength,design_count,component,component_order,coefficient
4x4x2x4,1,3456,feature,1,8.673617379884035e-18
4x4x2x4,1,3456,category,1,7.632783294297951e-17
4x4x2x4,1,3456,class,1,-4.0766001685454967e-17
4x4x2x4,1,3456,seed,1,7.401486830834377e-17
4x4x2x4,1,3456,feature:category,2,0.33333333333333326
4x4x2x4,1,3456,feature:class,2,0.3333333333333331
4x4x2x4,1,3456,feature:seed,2,0.33333333333333326
4x4x2x4,1,3456,category:class,2,0.3333333333333331
4x4x2x4,1,3456,category:seed,2,0.33333333333333326
4x4x2x4,1,3456,class:seed,2,0.3333333333333331
4x4x2x4,1,3456,feature:category:class,3,0.22222222222222182
4x4x2x4,1,3456,feature:category:seed,3,0.22222222222222227
4x4x2x4,1,3456,feature:class:seed,3,0.22222222222222182
4x4x2x4,1,3456,category:class:seed,3,0.22222222222222185
4x4x2x4,1,3456,feature:category:class:seed,4,0.25925925925925897
4x4x2x4,2,27648,feature,1,2.7466455036299444e-18
4x4x2x4,2,27648,category,1,2.0961242001386418e-18
4x4x2x4,2,27648,class,1,9.974659986866641e-18
4x4x2x4,2,27648,seed,1,-1.6028122116577375e-17
4x4x2x4,2,27648,feature:category,2,2.3852447794681098e-18
4x4x2x4,2,27648,feature:class,2,1.1095002231768328e-17
4x4x2x4,2,27648,feature:seed,2,4.318738653733926e-18
4x4x2x4,2,27648,category:class,2,5.7010964236529444e-18
4x4x2x4,2,27648,category:seed,2,9.053088140253962e-18
4x4x2x4,2,27648,class:seed,2,1.4736114527698813e-17
4x4x2x4,2,27648,feature:category:class,3,0.1111111111111111
4x4x2x4,2,27648,feature:category:seed,3,0.11111111111111113
4x4x2x4,2,27648,feature:class:seed,3,0.1111111111111111
4x4x2x4,2,27648,category:class:seed,3,0.11111111111111109
4x4x2x4,2,27648,feature:category:class:seed,4,0.0370370370370369
4x4x2x4,3,27648,feature,1,3.706616177184818e-18
4x4x2x4,3,27648,category,1,3.8398826942194946e-18
4x4x2x4,3,27648,class,1,2.4340338772299575e-17
4x4x2x4,3,27648,seed,1,4.007030529144344e-18
4x4x2x4,3,27648,feature:category,2,-3.362532571055738e-18
4x4x2x4,3,27648,feature:class,2,3.674993613820658e-18
4x4x2x4,3,27648,feature:seed,2,-3.751791267705047e-18
4x4x2x4,3,27648,category:class,2,3.8060013763293226e-18
4x4x2x4,3,27648,category:seed,2,-3.72468621339291e-18
4x4x2x4,3,27648,class:seed,2,1.1040792123144053e-17
4x4x2x4,3,27648,feature:category:class,3,-3.371567589159784e-18
4x4x2x4,3,27648,feature:category:seed,3,3.094744673360823e-18
4x4x2x4,3,27648,feature:class:seed,3,-4.120721173620254e-18
4x4x2x4,3,27648,category:class:seed,3,-3.4084605797513046e-18
4x4x2x4,3,27648,feature:category:class:seed,4,0.037037037037037014
4x1x2x4,1,144,feature,1,9.25185853854297e-18
4x1x2x4,1,144,category,1,0.0
4x1x2x4,1,144,class,1,3.9898639947466563e-17
4x1x2x4,1,144,seed,1,-4.915049848600953e-17
4x1x2x4,1,144,feature:category,2,0.0
4x1x2x4,1,144,feature:class,2,0.3333333333333333
4x1x2x4,1,144,feature:seed,2,0.3333333333333332
4x1x2x4,1,144,category:class,2,0.0
4x1x2x4,1,144,category:seed,2,0.0
4x1x2x4,1,144,class:seed,2,0.3333333333333333
4x1x2x4,1,144,feature:category:class,3,0.0
