dataset,model,method,metric,exact_metric,bias,rmse
openml-kr-vs-kp-3,onehot_adam_mlp,mutually_disjoint_pack64,roc_auc,0.9995582605281241,4.6397982722553395e-06,2.2471344080431247e-05
openml-kr-vs-kp-3,onehot_adam_mlp,mutually_disjoint_pack64,accuracy,0.9906103286384976,0.0,0.0
openml-kr-vs-kp-3,onehot_adam_mlp,two_disjoint_pairs64,brier,0.019746570430650756,4.0176071660461246e-05,0.0004729396563631988
openml-kr-vs-kp-3,onehot_adam_mlp,two_disjoint_pairs64,log_loss,0.04521215268609733,3.3951018865904784e-05,0.001143546027179503
openml-kr-vs-kp-3,onehot_adam_mlp,two_disjoint_pairs64,roc_auc,0.9995582605281241,5.119116275591087e-06,2.657712478805164e-05
openml-kr-vs-kp-3,onehot_adam_mlp,two_disjoint_pairs64,accuracy,0.9906103286384976,1.5282668231612114e-06,4.8904538341158765e-05
openml-credit-approval-29,onehot_linear,disjoint_pair32,brier,0.18258900690090732,3.328885561301731e-14,4.997339970958632e-13
openml-credit-approval-29,onehot_linear,disjoint_pair32,log_loss,0.3191058265662377,8.867880930442384e-13,1.3309960236402568e-11
openml-credit-approval-29,onehot_linear,disjoint_pair32,roc_auc,0.9291036832020438,0.0,0.0
openml-credit-approval-29,onehot_linear,disjoint_pair32,accuracy,0.8840579710144928,0.0,0.0
openml-credit-approval-29,onehot_linear,independent_pair32,brier,0.18258900690090732,4.0223900599212215e-15,5.480033607474739e-13
openml-credit-approval-29,onehot_linear,independent_pair32,log_loss,0.3191058265662377,1.0737179374775696e-13,1.459555046621297e-11
openml-credit-approval-29,onehot_linear,independent_pair32,roc_auc,0.9291036832020438,0.0,0.0
openml-credit-approval-29,onehot_linear,independent_pair32,accuracy,0.8840579710144928,0.0,0.0
openml-credit-approval-29,onehot_linear,mutually_disjoint_pack64,brier,0.18258900690090732,1.1841222447017685e-14,2.8163331085654603e-13
openml-credit-approval-29,onehot_linear,mutually_disjoint_pack64,log_loss,0.3191058265662377,3.1566492041806837e-13,7.50082048749231e-12
openml-credit-approval-29,onehot_linear,mutually_disjoint_pack64,roc_auc,0.9291036832020438,0.0,0.0
openml-credit-approval-29,onehot_linear,mutually_disjoint_pack64,accuracy,0.8840579710144928,0.0,0.0
openml-credit-approval-29,onehot_linear,two_disjoint_pairs64,brier,0.18258900690090732,1.1585594679799915e-14,3.390666972773838e-13
openml-credit-approval-29,onehot_linear,two_disjoint_pairs64,log_loss,0.3191058265662377,3.089523537176675e-13,9.030522279995266e-12
openml-credit-approval-29,onehot_linear,two_disjoint_pairs64,roc_auc,0.9291036832020438,0.0,0.0
openml-credit-approval-29,onehot_linear,two_disjoint_pairs64,accuracy,0.8840579710144928,0.0,0.0
openml-credit-approval-29,ordinal_forest,disjoint_pair32,brier,0.20658467340549097,2.0463437773027163e-05,0.0003893299933905561
openml-credit-approval-29,ordinal_forest,disjoint_pair32,log_loss,0.3604870604498831,4.543812740627327e-05,0.0007790166827026947
