component,resolvable_pack64_coefficient,graph_pack64_coefficient,resolvable_minus_graph,preferred_operator
feature:category:class,0.015873015873015876,0.0149657249450683,0.0009072909279475763,graph
feature:category:seed,0.015873015873015883,0.0146508998870849,0.001222115985930982,graph
feature:class:seed,0.01587301587301588,0.0149041175842285,0.0009688982887873787,graph
category:class:seed,0.015873015873015872,0.014951057434082,0.0009219584389338724,graph
feature:category:class:seed,0.005291005291005291,0.0073852462768554,-0.0020942409858501097,resolvable
