panel,dataset,task,model,method,product_cells,score_bias,score_rmse,prediction_residual,max_absolute_score_error,mean_pack_sampling_attempts
confirmation,credit_card_fraud,binclass,onehot_linear,two_disjoint_pairs64,32,-4.336808689942018e-19,6.134672304182065e-19,0.0,0.0,1.0
confirmation,credit_card_fraud,binclass,onehot_linear,independent_four64,32,-4.336808689942018e-19,6.134672304182065e-19,0.0,0.0,1.0
confirmation,credit_card_fraud,binclass,ordinal_forest,mutually_disjoint_pack64,32,-4.336808689942018e-19,6.134672304182065e-19,0.0,0.0,1.0
confirmation,credit_card_fraud,binclass,ordinal_forest,two_disjoint_pairs64,32,-4.336808689942018e-19,6.134672304182065e-19,0.0,0.0,1.0
confirmation,credit_card_fraud,binclass,ordinal_forest,independent_four64,32,-4.336808689942018e-19,6.134672304182065e-19,0.0,0.0,1.0
confirmation,credit_card_fraud,binclass,native_histgb,mutually_disjoint_pack64,32,-4.336808689942018e-19,6.134672304182065e-19,0.0,0.0,1.0
confirmation,credit_card_fraud,binclass,native_histgb,two_disjoint_pairs64,32,-4.336808689942018e-19,6.134672304182065e-19,0.0,0.0,1.0
confirmation,credit_card_fraud,binclass,native_histgb,independent_four64,32,-1.4033016461963838e-08,3.777433323764295e-07,4.641177358360613e-09,1.3226441557729913e-06,1.0
confirmation,credit_card_fraud,binclass,catboost_native,mutually_disjoint_pack64,32,-6.505213034913027e-19,9.202008456273099e-19,0.0,0.0,1.0
confirmation,credit_card_fraud,binclass,catboost_native,two_disjoint_pairs64,32,-6.505213034913027e-19,9.202008456273099e-19,0.0,0.0,1.0
confirmation,credit_card_fraud,binclass,catboost_native,independent_four64,32,5.202535740341137e-08,2.85949734398769e-06,1.9996502432276346e-08,1.0199654423178857e-05,1.0
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,mutually_disjoint_pack64,32,0.0,0.0,2.3926116382661256e-57,0.0,1.0
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,two_disjoint_pairs64,32,0.0,0.0,2.3926116382661256e-57,0.0,1.0
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,independent_four64,32,1.8205764657961386e-07,3.5947833746810318e-06,1.4396220547937425e-07,1.1838293412363326e-05,1.0
confirmation,heloc_credit_risk,binclass,onehot_linear,mutually_disjoint_pack64,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,heloc_credit_risk,binclass,onehot_linear,two_disjoint_pairs64,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,heloc_credit_risk,binclass,onehot_linear,independent_four64,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,heloc_credit_risk,binclass,ordinal_forest,mutually_disjoint_pack64,32,1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,heloc_credit_risk,binclass,ordinal_forest,two_disjoint_pairs64,32,1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,heloc_credit_risk,binclass,ordinal_forest,independent_four64,32,1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,heloc_credit_risk,binclass,native_histgb,mutually_disjoint_pack64,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,heloc_credit_risk,binclass,native_histgb,two_disjoint_pairs64,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,heloc_credit_risk,binclass,native_histgb,independent_four64,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,heloc_credit_risk,binclass,catboost_native,mutually_disjoint_pack64,32,1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,heloc_credit_risk,binclass,catboost_native,two_disjoint_pairs64,32,1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,heloc_credit_risk,binclass,catboost_native,independent_four64,32,-9.704554615463934e-08,9.702893476347285e-05,2.2918054732245506e-06,0.00027606981807309916,1.0
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,mutually_disjoint_pack64,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,two_disjoint_pairs64,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,independent_four64,32,3.0737091567478725e-05,0.00017506832640418207,2.2834185426824704e-05,0.0007165625683273058,1.0
confirmation,kdd17_stock_direction,binclass,onehot_linear,mutually_disjoint_pack64,128,-9.006018153456807e-12,2.1834935637089013e-09,2.7860665291740857e-15,9.32018484611774e-09,1.0
confirmation,kdd17_stock_direction,binclass,onehot_linear,two_disjoint_pairs64,128,-7.54633022737039e-11,2.7882853752911393e-09,4.2520875359327646e-15,1.0249895932012976e-08,1.0
confirmation,kdd17_stock_direction,binclass,onehot_linear,independent_four64,128,-1.386456505159117e-10,3.020988093567715e-09,5.146192387737398e-15,9.195178729548559e-09,1.0
confirmation,kdd17_stock_direction,binclass,ordinal_forest,mutually_disjoint_pack64,128,1.228829341304305e-05,0.00011311673281284917,1.760462942207516e-05,0.0003271466981930593,1.0
confirmation,kdd17_stock_direction,binclass,ordinal_forest,two_disjoint_pairs64,128,2.7574186311718485e-05,0.00014724422792574118,2.833338279144332e-05,0.0005400879864217445,1.0
confirmation,kdd17_stock_direction,binclass,ordinal_forest,independent_four64,128,2.669193977250517e-05,0.00016011171025962008,3.336134545753695e-05,0.0005055927931208459,1.0
confirmation,kdd17_stock_direction,binclass,native_histgb,mutually_disjoint_pack64,128,2.149169731069378e-11,3.9320773557908606e-10,6.262933852611032e-16,1.073509947602247e-09,1.0
confirmation,kdd17_stock_direction,binclass,native_histgb,two_disjoint_pairs64,128,1.8871182394519792e-11,4.961258469766869e-10,9.970499430204085e-16,1.073509947602247e-09,1.0
confirmation,kdd17_stock_direction,binclass,native_histgb,independent_four64,128,1.7298995569348108e-11,5.653717960578528e-10,1.2947959786363427e-15,1.073509947602247e-09,1.0
confirmation,kdd17_stock_direction,binclass,catboost_native,mutually_disjoint_pack64,128,4.031111482893923e-06,6.274718047832703e-05,3.562362985925409e-06,0.00024364428097767288,1.0
confirmation,kdd17_stock_direction,binclass,catboost_native,two_disjoint_pairs64,128,7.663565004811801e-06,7.919417047275989e-05,5.548069648595428e-06,0.0002581750612628553,1.0
confirmation,kdd17_stock_direction,binclass,catboost_native,independent_four64,128,5.630063912409611e-06,8.395508724522899e-05,6.618889048534768e-06,0.00026602098747674496,1.0
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,mutually_disjoint_pack64,128,0.00012359102931736032,0.0008638051570372112,9.979633155492706e-05,0.0036315203116124017,1.0
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,two_disjoint_pairs64,128,0.0001702447464361212,0.0010878379064430607,0.00015075395268962223,0.0038950350732884775,1.0
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,independent_four64,128,0.00014615175529264501,0.001176309600963369,0.00017461991906783832,0.004613069307396023,1.0
confirmation,kdd17_stock_return,regression,onehot_linear,mutually_disjoint_pack64,64,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0,1.0
confirmation,kdd17_stock_return,regression,onehot_linear,two_disjoint_pairs64,64,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0,1.0
confirmation,kdd17_stock_return,regression,onehot_linear,independent_four64,64,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0,1.0
confirmation,kdd17_stock_return,regression,ordinal_forest,mutually_disjoint_pack64,64,0.0,0.0,0.0,0.0,1.0
confirmation,kdd17_stock_return,regression,ordinal_forest,two_disjoint_pairs64,64,2.4746199149883186e-05,0.00012126921991887049,1.926434058484152e-05,0.0003955542975553339,1.0
confirmation,kdd17_stock_return,regression,ordinal_forest,independent_four64,64,2.2555994949935432e-05,0.00014553347208331777,2.8872118178008443e-05,0.0004917986619381032,1.0
confirmation,kdd17_stock_return,regression,native_histgb,mutually_disjoint_pack64,64,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,kdd17_stock_return,regression,native_histgb,two_disjoint_pairs64,64,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,kdd17_stock_return,regression,native_histgb,independent_four64,64,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0,1.0
confirmation,kdd17_stock_return,regression,catboost_native,mutually_disjoint_pack64,64,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0,1.0
confirmation,kdd17_stock_return,regression,catboost_native,two_disjoint_pairs64,64,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0,1.0
confirmation,kdd17_stock_return,regression,catboost_native,independent_four64,64,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0,1.0
confirmation,kdd17_stock_return,regression,onehot_adam_mlp,mutually_disjoint_pack64,64,0.0,0.0,0.0,0.0,1.0
confirmation,kdd17_stock_return,regression,onehot_adam_mlp,two_disjoint_pairs64,64,4.39771996734728e-05,0.0003450691310077279,5.7622849425551346e-05,0.0011568793370455577,1.0
confirmation,kdd17_stock_return,regression,onehot_adam_mlp,independent_four64,64,8.056120838800807e-05,0.0004218739571036624,8.68414762096998e-05,0.0016948492831131423,1.0
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1.0
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1.0
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,independent_four64,32,0.0,0.0,0.0,0.0,1.0
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,mutually_disjoint_pack64,32,-2.0816681711721685e-17,2.9446427060073916e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,two_disjoint_pairs64,32,-2.0816681711721685e-17,2.9446427060073916e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,independent_four64,32,-2.0816681711721685e-17,2.9446427060073916e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_1year,binclass,native_histgb,mutually_disjoint_pack64,32,-6.938893903907228e-18,9.815475686691304e-18,0.0,0.0,1.0
confirmation,polish_bankruptcy_1year,binclass,native_histgb,two_disjoint_pairs64,32,-6.938893903907228e-18,9.815475686691304e-18,0.0,0.0,1.0
confirmation,polish_bankruptcy_1year,binclass,native_histgb,independent_four64,32,-6.938893903907228e-18,9.815475686691304e-18,0.0,0.0,1.0
confirmation,polish_bankruptcy_1year,binclass,catboost_native,mutually_disjoint_pack64,32,6.938893903907228e-18,9.815475686691304e-18,0.0,0.0,1.0
confirmation,polish_bankruptcy_1year,binclass,catboost_native,two_disjoint_pairs64,32,6.938893903907228e-18,9.815475686691304e-18,0.0,0.0,1.0
confirmation,polish_bankruptcy_1year,binclass,catboost_native,independent_four64,32,6.938893903907228e-18,9.815475686691304e-18,0.0,0.0,1.0
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,mutually_disjoint_pack64,32,2.7755575615628914e-17,3.421981192611827e-17,1.161352797571487e-35,2.7755575615628914e-17,1.0
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,two_disjoint_pairs64,32,2.7755575615628914e-17,3.421981192611827e-17,1.161352797571487e-35,2.7755575615628914e-17,1.0
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,independent_four64,32,0.00010167290554780051,0.002869325571806887,4.2012739229356293e-05,0.008400210558106996,1.0
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1.0
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1.0
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,independent_four64,32,0.0,0.0,0.0,0.0,1.0
