optimizer,seed,chart_schema_risk,mean_member_brier,quotient_brier,reference_brier,hard_flip_fraction,max_training_curve_range,identity_error
adamw,31,9.240530088647323e-05,0.20583685527852857,0.20574444997764207,0.20586149685495178,0.006572077882193968,0.0007564511140968899,2.677979366039196e-17
adamw,47,4.487697218015992e-05,0.2044297889203759,0.20438491194819572,0.20436868339510847,0.0068791843252871444,0.0008576979508270743,9.032759349519859e-18
adamw,59,0.00011195292238228159,0.20470279921541762,0.20459084629303534,0.20460939945415585,0.006756341748049874,0.0011477254386030311,1.4230153513872246e-18
adamw,71,0.00016492905560438586,0.2059075728964304,0.205742643840826,0.2062062853634694,0.0068177630366685095,0.0009113061047303361,3.220080452281948e-17
adamw,83,9.32353914908566e-05,0.2038710836401781,0.2037778482486873,0.2037654701471739,0.006326392727719427,0.0009518483932832722,4.754226526348937e-17
field_vector_adam,31,4.344207294910467e-12,0.20570370517343656,0.2057037051690923,0.205703691368494,0.0,7.014895536672228e-08,3.9889296539358787e-17
field_vector_adam,47,4.463728061245542e-12,0.2041659645170041,0.20416596451254038,0.20416599175823846,0.0,1.434465591310108e-07,6.875986746428943e-18
field_vector_adam,59,2.554480860637898e-13,0.20456417977493654,0.2045641797746811,0.20456416825979368,0.0,1.0427151614367247e-07,1.3523673156891576e-17
field_vector_adam,71,1.5737168566744278e-12,0.20586768633828495,0.2058676863367112,0.20586768437451922,0.0,1.3143776089741266e-07,2.4280731731644684e-17
field_vector_adam,83,1.66625594454353e-12,0.20380209042476558,0.20380209042309932,0.20380208053828722,0.0,6.333908808553446e-08,5.473610479479725e-18
sgd,31,7.829163489060802e-16,0.20111228844101717,0.20111228844101633,0.20111228806901565,0.0,7.029540449732252e-09,4.975091956278716e-17
sgd,47,6.202209268226857e-16,0.19833962832503788,0.1983396283250373,0.1983396281674296,0.0,6.3705209996101075e-09,3.73538388944785e-17
sgd,59,6.256650409969763e-16,0.19865797876200145,0.19865797876200084,0.19865797953240436,0.0,9.226271802109665e-09,1.5042377453140193e-17
sgd,71,6.410072947283085e-16,0.19929731331785547,0.19929731331785486,0.19929731375339388,0.0,7.615335473332152e-09,3.038463118447245e-17
sgd,83,6.499218110774033e-16,0.19919107295926267,0.19919107295926206,0.19919107365447267,0.0,7.029540394221101e-09,3.929914753356724e-17
