panel,dataset,method,regret_upper_bound,candidates,validation_quotient_regret,bound_covers_observed_regret,bound_to_observed_regret_ratio
confirmation,compustat_kor_direction,iid_u32,0.002583988941307431,5,0.0,True,inf
confirmation,compustat_kor_direction,strength2_cross32,0.0018762828048768797,5,0.0,True,inf
confirmation,credit_card_default,iid_u32,0.0011911880836270282,5,0.0,True,inf
confirmation,credit_card_default,strength2_cross32,0.00037086439905086185,5,0.0,True,inf
confirmation,credit_card_fraud,iid_u32,8.40375583137356e-05,5,0.0,True,inf
confirmation,credit_card_fraud,strength2_cross32,1.951380820043062e-05,5,0.0,True,inf
confirmation,heloc_credit_risk,iid_u32,0.001795498173456235,5,0.0,True,inf
confirmation,heloc_credit_risk,strength2_cross32,0.000809257282656002,5,0.0,True,inf
confirmation,kdd17_stock_direction,iid_u32,0.004359701748850386,5,5.062817219745507e-05,True,86.1121695613877
confirmation,kdd17_stock_direction,strength2_cross32,0.0040486371430039775,5,4.353047348071911e-05,True,93.00696315185348
confirmation,kdd17_stock_return,iid_u32,0.0029289785751645397,5,2.4907318522355366e-05,True,117.59509850631486
confirmation,kdd17_stock_return,strength2_cross32,0.0015742389463172229,5,0.0,True,inf
confirmation,polish_bankruptcy_1year,iid_u32,0.027328737198335427,5,0.0,True,inf
confirmation,polish_bankruptcy_1year,strength2_cross32,0.008192580648908869,5,0.0,True,inf
confirmation,polish_bankruptcy_2year,iid_u32,0.0071060305417857544,5,0.0,True,inf
confirmation,polish_bankruptcy_2year,strength2_cross32,0.000473795415300662,5,0.0,True,inf
confirmation,polish_bankruptcy_3year,iid_u32,0.006035378050926533,5,5.883052794471768e-07,True,10258.922130697014
confirmation,polish_bankruptcy_3year,strength2_cross32,0.0006011571915547094,5,0.0,True,inf
confirmation,polish_bankruptcy_4year,iid_u32,0.009581594767152334,5,0.0,True,inf
confirmation,polish_bankruptcy_4year,strength2_cross32,0.0070152924038593386,5,0.0,True,inf
confirmation,polish_bankruptcy_5year,iid_u32,0.011514279938790024,5,0.0,True,inf
confirmation,polish_bankruptcy_5year,strength2_cross32,0.003476843646276565,5,0.0,True,inf
menu_repeat,compustat_kor_direction,iid_u32,0.002033061648759427,5,0.0,True,inf
menu_repeat,compustat_kor_direction,strength2_cross32,0.001334827771260824,5,0.0,True,inf
menu_repeat,credit_card_default,iid_u32,0.001369227014112422,5,0.0,True,inf
menu_repeat,credit_card_default,strength2_cross32,0.0004104808315549291,5,0.0,True,inf
menu_repeat,credit_card_fraud,iid_u32,9.733910675502638e-05,5,0.0,True,inf
menu_repeat,credit_card_fraud,strength2_cross32,1.983623836492725e-05,5,0.0,True,inf
menu_repeat,heloc_credit_risk,iid_u32,0.001529819650499972,5,0.0,True,inf
menu_repeat,heloc_credit_risk,strength2_cross32,0.0005455638030793992,5,0.0,True,inf
menu_repeat,kdd17_stock_return,iid_u32,0.0035835299084586115,5,3.992331736249065e-06,True,897.603241714944
menu_repeat,kdd17_stock_return,strength2_cross32,0.001477119713388991,5,0.0,True,inf
menu_repeat,polish_bankruptcy_3year,iid_u32,0.007262817929558565,5,7.119816657697193e-06,True,1020.0849654894938
menu_repeat,polish_bankruptcy_3year,strength2_cross32,0.0006561461111019014,5,0.0,True,inf
openml_external,openml-blood-transfusion-1464,iid_u32,0.02999941728762724,4,0.0,True,inf
openml_external,openml-blood-transfusion-1464,strength2_cross32,0.006319679934278913,4,0.0,True,inf
openml_external,openml-breast-w-15,iid_u32,0.04066101811413274,4,3.167045245073246e-05,True,1283.8786618974352
openml_external,openml-breast-w-15,strength2_cross32,0.00855273516922887,4,0.0,True,inf
openml_external,openml-ilpd-1480,iid_u32,0.012053195062018138,4,7.94857318287517e-05,True,151.63973187019508
openml_external,openml-ilpd-1480,strength2_cross32,0.00913933082742614,4,0.0,True,inf
openml_external,openml-kc1-1067,iid_u32,0.0019484079959960804,4,0.0,True,inf
openml_external,openml-kc1-1067,strength2_cross32,0.0006792823689422929,4,0.0,True,inf
openml_external,openml-mammography-310,iid_u32,0.0006790780711927308,4,0.0,True,inf
openml_external,openml-mammography-310,strength2_cross32,0.00031102679572293026,4,0.0,True,inf
openml_external,openml-pc4-1049,iid_u32,0.002338246957393297,4,9.90398059916547e-06,True,236.09163345799794
openml_external,openml-pc4-1049,strength2_cross32,0.0006273316094133966,4,0.0,True,inf
openml_external,openml-sonar-40,iid_u32,0.0290389289070786,4,0.0002853643058225,True,101.7609011168382
openml_external,openml-sonar-40,strength2_cross32,0.013241702720499533,4,0.0002819467692258,True,46.96525786360324
openml_external,openml-wdbc-1510,iid_u32,0.024585313980209723,4,0.0,True,inf
openml_external,openml-wdbc-1510,strength2_cross32,0.010327672430905656,4,0.0,True,inf
openml_taskbalanced,openml-abalone-183,iid_u32,0.004867635125132991,3,0.0,True,inf
openml_taskbalanced,openml-abalone-183,strength2_cross32,0.0024762609332697545,3,0.0,True,inf
openml_taskbalanced,openml-banknote-1462,iid_u32,0.016611223747149087,3,2.1862852660650692e-05,True,759.7921462941742
openml_taskbalanced,openml-banknote-1462,strength2_cross32,0.007844362345913614,3,0.0,True,inf
openml_taskbalanced,openml-credit-g-31,iid_u32,0.006897280874358848,3,5.382554153871401e-05,True,128.14141162700574
openml_taskbalanced,openml-credit-g-31,strength2_cross32,0.004126794551295787,3,0.0,True,inf
openml_taskbalanced,openml-kin8nm-189,iid_u32,0.001859947068302241,3,0.0,True,inf
openml_taskbalanced,openml-kin8nm-189,strength2_cross32,2.776913807703718e-17,3,0.0,True,inf
openml_taskbalanced,openml-pol-201,iid_u32,0.0005070327091681782,3,0.0,True,inf
openml_taskbalanced,openml-pol-201,strength2_cross32,0.0,3,0.0,True,inf
openml_taskbalanced,openml-puma32h-308,iid_u32,0.03127157908256022,3,0.0,True,inf
openml_taskbalanced,openml-puma32h-308,strength2_cross32,2.7769138077037176e-16,3,0.0,True,inf
openml_taskbalanced,openml-qsar-biodeg-1494,iid_u32,0.0085604463635949,3,0.0007248098392635,True,11.810610038480457
openml_taskbalanced,openml-qsar-biodeg-1494,strength2_cross32,0.003957764646232342,3,0.0001806083533902,True,21.91351934692459
openml_taskbalanced,openml-spambase-44,iid_u32,0.004243094040069959,3,0.0002539594155061,True,16.707764237109142
openml_taskbalanced,openml-spambase-44,strength2_cross32,0.0016456730874123227,3,2.152198436492731e-06,True,764.647469075457
subsample_repeat,compustat_kor_direction,iid_u32,0.0017060279093003075,5,2.165303699108186e-05,True,78.78931301890638
subsample_repeat,compustat_kor_direction,strength2_cross32,0.0014070572912246965,5,0.0,True,inf
subsample_repeat,credit_card_default,iid_u32,0.0013564961632985305,5,1.4345596786561276e-05,True,94.5583640388718
subsample_repeat,credit_card_default,strength2_cross32,0.0006405346474047203,5,0.0,True,inf
subsample_repeat,credit_card_fraud,iid_u32,0.00019347354599333002,5,0.0,True,inf
subsample_repeat,credit_card_fraud,strength2_cross32,7.505046260967494e-05,5,0.0,True,inf
subsample_repeat,heloc_credit_risk,iid_u32,0.001809742301931575,5,0.0,True,inf
subsample_repeat,heloc_credit_risk,strength2_cross32,0.0007556274453182775,5,0.0,True,inf
subsample_repeat,kdd17_stock_return,iid_u32,0.007440664009241653,5,0.0,True,inf
subsample_repeat,kdd17_stock_return,strength2_cross32,0.002886717942943773,5,0.0,True,inf
subsample_repeat,polish_bankruptcy_3year,iid_u32,0.006194897939967869,5,0.0,True,inf
subsample_repeat,polish_bankruptcy_3year,strength2_cross32,0.000607854416981839,5,0.0,True,inf
