panel,dataset,task,model,method,score_bias,score_rmse,mc_standard_error
confirmation,compustat_kor_direction,binclass,onehot_linear,strength2_jackknife64,-1.6051904250247162e-10,1.8430882311668547e-09,8.114425648839481e-11
confirmation,compustat_kor_direction,binclass,onehot_linear,iid_jackknife64,-2.993039149856713e-11,3.6319947689647445e-09,1.6050755782835728e-10
confirmation,compustat_kor_direction,binclass,ordinal_forest,strength2_jackknife64,-4.850425023628091e-06,0.00017917006061144024,7.915370726842436e-06
confirmation,compustat_kor_direction,binclass,ordinal_forest,iid_jackknife64,1.53087071784741e-05,0.00020682124217713825,9.115220540844784e-06
confirmation,compustat_kor_direction,binclass,native_histgb,strength2_jackknife64,-1.4733719675419366e-06,0.00010962155484283052,4.844196443378503e-06
confirmation,compustat_kor_direction,binclass,native_histgb,iid_jackknife64,7.239414372306463e-06,0.00024707341869053385,1.0914517380729477e-05
confirmation,compustat_kor_direction,binclass,catboost_native,strength2_jackknife64,-4.153788417116111e-06,7.957441195263488e-05,3.5119308589706567e-06
confirmation,compustat_kor_direction,binclass,catboost_native,iid_jackknife64,-2.369313030992082e-06,0.00013333884801960375,5.8918698530389086e-06
confirmation,compustat_kor_direction,binclass,onehot_adam_mlp,strength2_jackknife64,8.653048761853022e-06,0.0002914080442251341,1.2872858816663657e-05
confirmation,compustat_kor_direction,binclass,onehot_adam_mlp,iid_jackknife64,1.772928902021853e-06,0.0003726710837886268,1.6469704278287877e-05
confirmation,credit_card_default,binclass,onehot_linear,strength2_jackknife64,-2.220446049250313e-16,3.1417208357364093e-16,9.822675011235321e-18
confirmation,credit_card_default,binclass,onehot_linear,iid_jackknife64,-2.8410607200157756e-13,1.9672463536563952e-12,8.602940490014493e-14
confirmation,credit_card_default,binclass,ordinal_forest,strength2_jackknife64,0.0,0.0,0.0
confirmation,credit_card_default,binclass,ordinal_forest,iid_jackknife64,1.6809520940186395e-06,0.00015911004756196257,7.03134467092205e-06
confirmation,credit_card_default,binclass,native_histgb,strength2_jackknife64,4.3899984819573135e-07,1.4814036568036899e-05,6.544065754267411e-07
confirmation,credit_card_default,binclass,native_histgb,iid_jackknife64,-4.306174980428512e-06,0.00012671521493492726,5.596839676229042e-06
confirmation,credit_card_default,binclass,catboost_native,strength2_jackknife64,4.761758037874486e-08,1.184342453255979e-05,5.234061319415913e-07
confirmation,credit_card_default,binclass,catboost_native,iid_jackknife64,7.262496348969805e-06,0.00010365333336502327,4.569615526868977e-06
confirmation,credit_card_default,binclass,onehot_adam_mlp,strength2_jackknife64,-5.100105877509087e-06,0.000292775408313628,1.2937003963411154e-05
confirmation,credit_card_default,binclass,onehot_adam_mlp,iid_jackknife64,-1.904245946143801e-05,0.00037980989790008165,1.6764274659071444e-05
confirmation,credit_card_fraud,binclass,onehot_linear,strength2_jackknife64,0.0,0.0,0.0
confirmation,credit_card_fraud,binclass,onehot_linear,iid_jackknife64,5.054203583432226e-14,2.5947205954189276e-12,1.146497764159882e-13
confirmation,credit_card_fraud,binclass,ordinal_forest,strength2_jackknife64,-3.469446951953614e-18,4.9089388058381395e-18,1.534792970505519e-19
confirmation,credit_card_fraud,binclass,ordinal_forest,iid_jackknife64,-0.0005681425553121979,0.0010158076604774651,3.721451854430509e-05
confirmation,credit_card_fraud,binclass,native_histgb,strength2_jackknife64,7.182235902368495e-08,1.119005021617547e-05,4.945248378124436e-07
confirmation,credit_card_fraud,binclass,native_histgb,iid_jackknife64,1.8250889909183707e-06,4.1887606712078086e-05,1.8494301520169317e-06
confirmation,credit_card_fraud,binclass,catboost_native,strength2_jackknife64,-3.577690429320754e-07,1.0468553034466982e-05,4.6237879312821183e-07
confirmation,credit_card_fraud,binclass,catboost_native,iid_jackknife64,9.249119540793299e-07,4.4184199901731814e-05,1.952256336245059e-06
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,strength2_jackknife64,9.849640633368545e-07,4.511722082315385e-05,1.9934430899157216e-06
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,iid_jackknife64,-1.8140677133507074e-06,8.929368377625639e-05,3.945446129089803e-06
confirmation,heloc_credit_risk,binclass,onehot_linear,strength2_jackknife64,0.0,0.0,0.0
confirmation,heloc_credit_risk,binclass,onehot_linear,iid_jackknife64,4.184874669022065e-12,2.6812930492615313e-09,1.1849738676280451e-10
confirmation,heloc_credit_risk,binclass,ordinal_forest,strength2_jackknife64,-1.1102230246251565e-16,1.5708604178682046e-16,4.911337505617661e-18
confirmation,heloc_credit_risk,binclass,ordinal_forest,iid_jackknife64,-5.631796574756542e-06,0.00022186730302970508,9.802082748728505e-06
confirmation,heloc_credit_risk,binclass,native_histgb,strength2_jackknife64,0.0,0.0,0.0
confirmation,heloc_credit_risk,binclass,native_histgb,iid_jackknife64,1.0755440393861448e-07,6.46193235915789e-06,2.855402016645833e-07
confirmation,heloc_credit_risk,binclass,catboost_native,strength2_jackknife64,8.358720537393616e-06,0.00012593236267030458,5.5532035656201685e-06
confirmation,heloc_credit_risk,binclass,catboost_native,iid_jackknife64,-2.130557790658294e-05,0.0002646457556525206,1.1657837386463197e-05
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,strength2_jackknife64,-3.7818389407862085e-06,0.00021378093818499253,9.446393494332566e-06
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,iid_jackknife64,2.3093104619786864e-05,0.0003116377865084599,1.3734708720270973e-05
confirmation,kdd17_stock_direction,binclass,onehot_linear,strength2_jackknife64,-3.8837433269378607e-10,3.0957350125634776e-09,1.3573253690130512e-10
confirmation,kdd17_stock_direction,binclass,onehot_linear,iid_jackknife64,-1.3075873717127706e-10,3.5034063822165827e-09,1.54722271544005e-10
