dataset,model,menu_size,reference_states,within_menu_budget,menu_target_movement,within_menu_sampling_error
australian_credit_approval,mlp,4,256,4,0.0002512136763837819,0.0
australian_credit_approval,mlp,8,256,8,0.00013654144940046574,0.0
australian_credit_approval,mlp,16,256,16,6.589924348358274e-05,0.0
australian_credit_approval,mlp,32,256,16,5.1978491683426866e-05,3.925983339045894e-05
australian_credit_approval,mlp,64,256,16,1.41288903767218e-05,5.913099692701903e-05
australian_credit_approval,resnet,4,256,4,0.0020410139660411945,0.0
australian_credit_approval,resnet,8,256,8,0.0010545407788874204,0.0
australian_credit_approval,resnet,16,256,16,0.0006940863276635824,0.0
australian_credit_approval,resnet,32,256,16,0.00027858122713301457,0.0003367092114881735
australian_credit_approval,resnet,64,256,16,9.654140722648041e-05,0.0005381192437659042
australian_credit_approval,ft_transformer,4,256,4,0.007175865841180135,0.0
australian_credit_approval,ft_transformer,8,256,8,0.002651045319262559,0.0
australian_credit_approval,ft_transformer,16,256,16,0.0014418098300135586,0.0
australian_credit_approval,ft_transformer,32,256,16,0.0010224095797982963,0.0005962672877837516
australian_credit_approval,ft_transformer,64,256,16,0.00032646358785016376,0.000956919135291306
australian_credit_approval,tabm,4,256,4,0.00029275232840017323,0.0
australian_credit_approval,tabm,8,256,8,0.00014189834286379037,0.0
australian_credit_approval,tabm,16,256,16,7.634138258747087e-05,0.0
australian_credit_approval,tabm,32,256,16,3.60207425318262e-05,6.221088083748231e-05
australian_credit_approval,tabm,64,256,16,1.7568136376721007e-05,9.74512683232691e-05
fremtpl_claim_count,mlp,4,256,4,0.00023744098777919847,0.0
fremtpl_claim_count,mlp,8,256,8,8.066324246405178e-05,0.0
fremtpl_claim_count,mlp,16,256,16,3.687228280500219e-05,0.0
fremtpl_claim_count,mlp,32,256,16,1.5967154626626334e-05,2.2859768164732323e-05
fremtpl_claim_count,mlp,64,256,16,6.215743500032738e-06,3.3903066426372585e-05
fremtpl_claim_count,resnet,4,256,4,0.018333525531113698,0.0
fremtpl_claim_count,resnet,8,256,8,0.011012532371403053,0.0
fremtpl_claim_count,resnet,16,256,16,0.004299816626256337,0.0
fremtpl_claim_count,resnet,32,256,16,0.002287447673957917,0.0030585302847873216
fremtpl_claim_count,resnet,64,256,16,0.0009790394186240446,0.004568729704328575
fremtpl_claim_count,ft_transformer,4,256,4,0.03229698026999607,0.0
fremtpl_claim_count,ft_transformer,8,256,8,0.013736971147191595,0.0
fremtpl_claim_count,ft_transformer,16,256,16,0.00688074932594117,0.0
fremtpl_claim_count,ft_transformer,32,256,16,0.0043793671110350695,0.004561328084480835
fremtpl_claim_count,ft_transformer,64,256,16,0.0017907805662681236,0.006956922123956558
fremtpl_claim_count,tabm,4,256,4,0.0012792892809233491,0.0
fremtpl_claim_count,tabm,8,256,8,0.000609956459208417,0.0
fremtpl_claim_count,tabm,16,256,16,0.00028853824930814126,0.0
fremtpl_claim_count,tabm,32,256,16,0.0001124157578606099,0.00012326973082820683
fremtpl_claim_count,tabm,64,256,16,4.349520872957627e-05,0.00018933198722579465
