dataset,method,selection_agreement,validation_quotient_regret,selected_realized_test_loss,selected_quotient_test_loss
openml-segment-36,four_seed_blocks,1.0,0.0,0.052511694787620355,0.052478139105077364
openml-segment-36,four_strength1,1.0,0.0,0.05251676506807761,0.052478139105077364
openml-segment-36,iid16,1.0,0.0,0.05251334660755507,0.052478139105077364
openml-segment-36,lhs16,1.0,0.0,0.05250889994106585,0.052478139105077364
openml-segment-36,sobol16,1.0,0.0,0.05251803586439994,0.052478139105077364
openml-segment-36,srswor16,1.0,0.0,0.052511382592784414,0.052478139105077364
openml-segment-36,strength2,1.0,0.0,0.052478139105077364,0.052478139105077364
openml-vehicle-54,four_seed_blocks,1.0,0.0,0.2948616619129837,0.29486166177148304
openml-vehicle-54,four_strength1,1.0,0.0,0.29486166180283185,0.29486166177148304
openml-vehicle-54,iid16,1.0,0.0,0.2948616619038417,0.29486166177148304
openml-vehicle-54,lhs16,1.0,0.0,0.2948616617945913,0.29486166177148304
openml-vehicle-54,sobol16,1.0,0.0,0.29486166177148304,0.29486166177148304
openml-vehicle-54,srswor16,1.0,0.0,0.2948616617537415,0.29486166177148304
openml-vehicle-54,strength2,1.0,0.0,0.29486166177148304,0.29486166177148304
