dataset,family,seed,identity_candidate,full_quotient_candidate,development_quotient_candidate,development_minimax_candidate,per_schema_choice_entropy_bits,per_schema_fraction_different_from_identity,validation_quotient_identity_error_max,identity_frozen_risk,per_schema_risk,risk_change,switch_dispersion,twice_baseline_switch_covariance,reconstruction_error
australian_credit_approval,ordinal_forest,511,1,1,1,1,0.9544340029249649,0.375,2.7755575615628914e-17,0.0018185261921825231,0.004506783626882936,0.0026882574347004123,0.004039341975690347,-0.0013510845409899345,4.336808689942018e-19
australian_credit_approval,ordinal_forest,733,0,3,3,3,1.4197367178034825,0.8125,3.664603343001005e-17,0.0027374319445010345,0.0045739135297214835,0.001836481585220449,0.005013129587054532,-0.0031766480018340826,0.0
australian_credit_approval,catboost_native,511,0,0,0,0,0.8112781244591328,0.25,6.1257422745431e-17,0.0007765237761523322,0.0009330912068084692,0.00015656743065613698,0.00045967970737582523,-0.0003031122767196883,5.421010862427522e-20
australian_credit_approval,catboost_native,733,0,0,0,0,0.5435644431995964,0.125,1.723881454251952e-17,0.0004604421155100007,0.0006130403560092989,0.0001525982404992982,0.00036577948521503286,-0.00021318124471573458,8.131516293641283e-20
bank_marketing_subscription,ordinal_forest,511,1,1,1,1,0.6685644431995964,0.125,2.688821387764051e-17,0.0013600582181114236,0.0016484695496549525,0.0002884113315435289,0.00045950839316429487,-0.0001710970616207657,2.981555974335137e-19
bank_marketing_subscription,ordinal_forest,733,1,1,1,1,0.3372900666170139,0.0625,3.5344990823027445e-17,0.0013645262463334463,0.001638023008811975,0.0002734967624785287,0.00037499340383859994,-0.00010149664136007103,2.168404344971009e-19
bank_marketing_subscription,catboost_native,511,2,2,2,2,0.5435644431995964,0.125,2.995108501491206e-17,0.0002997684487499017,0.00028340571483882114,-1.636273391108058e-05,7.038566320967737e-05,-8.674839712075797e-05,1.3552527156068805e-20
bank_marketing_subscription,catboost_native,733,2,2,2,2,-0.0,0.0,1.8675382421062814e-17,0.00030154667163155005,0.00030154667163155005,0.0,0.0,0.0,0.0
german_credit_risk,ordinal_forest,511,3,3,3,3,-0.0,0.0,8.066464163292153e-17,0.007195686665145678,0.007195686665145678,0.0,0.0,0.0,0.0
german_credit_risk,ordinal_forest,733,3,3,3,3,0.6685644431995964,0.125,5.724587470723463e-17,0.007674523201322915,0.007987479623355661,0.0003129564220327461,0.0010516636852410284,-0.0007387072632082814,9.75781955236954e-19
german_credit_risk,catboost_native,511,3,3,3,0,0.9544340029249649,0.375,1.1188966420050406e-16,0.0033845069853760544,0.003126589052879919,-0.0002579179324961353,0.002763607648941938,-0.0030215255814380745,1.3010426069826053e-18
german_credit_risk,catboost_native,733,0,3,3,3,1.75,0.5,8.847089727481716e-17,0.004782166294104823,0.006035343142950758,0.0012531768488459353,0.006291512362538968,-0.0050383355136930305,1.734723475976807e-18
lendingclub_loan_default,ordinal_forest,511,1,2,2,2,0.3372900666170139,0.9375,3.63207727782644e-17,0.0012417063972787754,0.0006282263057497134,-0.000613480091529062,0.001464943707516652,-0.0020784237990457144,4.336808689942018e-19
lendingclub_loan_default,ordinal_forest,733,2,2,2,2,-0.0,0.0,3.979021973021801e-17,0.0005618277264544769,0.0005618277264544769,0.0,0.0,0.0,0.0
lendingclub_loan_default,catboost_native,511,0,0,3,3,1.2987949406953985,0.375,5.117434254131581e-17,0.0002963202526277846,0.0003677532979855728,7.14330453577882e-05,0.0002612886661024123,-0.00018985562074462416,5.421010862427522e-20
lendingclub_loan_default,catboost_native,733,0,0,0,0,1.4056390622295665,0.5,9.535558107010011e-17,0.000280866545735512,0.0003645305748421207,8.366402910660867e-05,0.0003638160101789398,-0.00028015198107233114,0.0
