dataset,split_seed,method,validation_winner,test_winner,winner_agreement,pairwise_accuracy,spearman,validation_regret,selected_test_regret,exact_validation_test_winner_agreement
australian_credit_approval,2026082801,iid4,tabm,mlp,0.998046875,0.9755859375,0.9703125000000001,4.10781704620246e-05,0.0008488895829570557,False
australian_credit_approval,2026082801,iid16,tabm,mlp,1.0,0.99609375,0.9953125,0.0,0.0008119471346382245,False
australian_credit_approval,2026082801,iid64,tabm,mlp,1.0,0.9996744791666666,0.999609375,0.0,0.0008119471346382245,False
australian_credit_approval,2026082801,srswor16,tabm,mlp,1.0,0.9977213541666666,0.9972656249999999,0.0,0.0008119471346382245,False
australian_credit_approval,2026082801,strength1_4,tabm,mlp,0.998046875,0.9720052083333334,0.966015625,4.10781704620246e-05,0.0008488895829570557,False
australian_credit_approval,2026082801,strength1_16,tabm,mlp,1.0,0.9967447916666666,0.99609375,0.0,0.0008119471346382245,False
australian_credit_approval,2026082801,strength2_16,tabm,mlp,1.0,0.9986979166666666,0.9984375,0.0,0.0008119471346382245,False
australian_credit_approval,2026082801,strength3_64,tabm,mlp,1.0,1.0,1.0,0.0,0.0008119471346382245,False
australian_credit_approval,2026082801,lhs16,tabm,mlp,1.0,0.99609375,0.9953125,0.0,0.0008119471346382245,False
australian_credit_approval,2026082801,sobol16,tabm,mlp,1.0,0.9947916666666666,0.99375,0.0,0.0008119471346382245,False
australian_credit_approval,2026082801,seed_only16,tabm,mlp,1.0,0.9934895833333334,0.9921875,0.0,0.0008119471346382245,False
australian_credit_approval,2026082801,schema_only16,tabm,mlp,1.0,0.9915364583333334,0.9898437499999999,0.0,0.0008119471346382245,False
australian_credit_approval,2026082811,iid4,tabm,tabm,0.970703125,0.8251953125,0.7429687500000002,0.0002494972181219443,0.0018144934455010414,True
australian_credit_approval,2026082811,iid16,tabm,tabm,0.99609375,0.9029947916666666,0.8750000000000001,3.326629574959257e-05,0.00024193245940013885,True
australian_credit_approval,2026082811,iid64,tabm,tabm,1.0,0.9544270833333334,0.9453125,0.0,0.0,True
australian_credit_approval,2026082811,srswor16,tabm,tabm,0.998046875,0.908203125,0.8867187500000001,1.6633147874796285e-05,0.00012096622970006942,True
australian_credit_approval,2026082811,strength1_4,tabm,tabm,0.9765625,0.83984375,0.7632812500000001,0.00019959777449755542,0.001451594756400833,True
australian_credit_approval,2026082811,strength1_16,tabm,tabm,1.0,0.9134114583333334,0.890625,0.0,0.0,True
australian_credit_approval,2026082811,strength2_16,tabm,tabm,0.998046875,0.9134114583333334,0.8933593750000002,1.6633147874796285e-05,0.00012096622970006942,True
australian_credit_approval,2026082811,strength3_64,tabm,tabm,1.0,0.9514973958333334,0.9417968750000001,0.0,0.0,True
australian_credit_approval,2026082811,lhs16,tabm,tabm,0.9921875,0.9143880208333334,0.8925781250000001,6.653259149918514e-05,0.0004838649188002777,True
australian_credit_approval,2026082811,sobol16,tabm,tabm,1.0,0.9261067708333334,0.9078125000000001,0.0,0.0,True
australian_credit_approval,2026082811,seed_only16,tabm,tabm,0.998046875,0.8994140625,0.8687500000000001,1.6633147874796285e-05,0.00012096622970006942,True
australian_credit_approval,2026082811,schema_only16,tabm,tabm,1.0,0.9098307291666666,0.8914062500000001,0.0,0.0,True
australian_credit_approval,2026082821,iid4,mlp,tabm,1.0,0.9095052083333334,0.8914062500000002,0.0,0.013828146217095244,False
