family,dataset,method,draw,selection_agreement,validation_quotient_regret,selected_quotient_test_loss,selected_realized_test_loss,mean_prediction_residual
pack64,openml-credit-approval-29,independent_four64,511.5,1.0,0.0,0.2059472904360114,0.20594729043600762,
pack64,openml-credit-approval-29,mutually_disjoint_pack64,511.5,1.0,0.0,0.2059472904360114,0.20594729043601318,
pack64,openml-credit-approval-29,two_disjoint_pairs64,511.5,1.0,0.0,0.2059472904360114,0.20594729043600324,
pack64,openml-kr-vs-kp-3,independent_four64,511.5,1.0,0.0,0.02143365113742477,0.021480373901264248,
pack64,openml-kr-vs-kp-3,mutually_disjoint_pack64,511.5,1.0,0.0,0.02143365113742477,0.021435173172809796,
pack64,openml-kr-vs-kp-3,two_disjoint_pairs64,511.5,1.0,0.0,0.02143365113742477,0.021439420967853232,
pack64,openml-sick-38,independent_four64,511.5,1.0,0.0,0.033563878080260096,0.033566452258090865,
pack64,openml-sick-38,mutually_disjoint_pack64,511.5,1.0,0.0,0.033563878080260096,0.0335611961586564,
pack64,openml-sick-38,two_disjoint_pairs64,511.5,1.0,0.0,0.033563878080260096,0.033569054668138656,
pack64,openml-tic-tac-toe-50,independent_four64,511.5,1.0,0.0,0.10060496125199969,0.10060496125199969,
pack64,openml-tic-tac-toe-50,mutually_disjoint_pack64,511.5,1.0,0.0,0.10060496125199969,0.10060496125199969,
pack64,openml-tic-tac-toe-50,two_disjoint_pairs64,511.5,1.0,0.0,0.10060496125199969,0.10060496125199969,
pair32,openml-credit-approval-29,disjoint_pair_mean32,511.5,1.0,0.0,0.2059472904360114,0.20594729043600346,
pair32,openml-credit-approval-29,independent_pair_mean32,511.5,1.0,0.0,0.2059472904360114,0.20594729043600513,
pair32,openml-kr-vs-kp-3,disjoint_pair_mean32,511.5,1.0,0.0,0.02143365113742477,0.02148481744840737,
pair32,openml-kr-vs-kp-3,independent_pair_mean32,511.5,1.0,0.0,0.02143365113742477,0.02146922290812485,
pair32,openml-sick-38,disjoint_pair_mean32,511.5,1.0,0.0,0.033563878080260096,0.033567202745788456,
pair32,openml-sick-38,independent_pair_mean32,511.5,1.0,0.0,0.033563878080260096,0.03357004096557209,
pair32,openml-tic-tac-toe-50,disjoint_pair_mean32,511.5,1.0,0.0,0.10060496125199969,0.10060496125199969,
pair32,openml-tic-tac-toe-50,independent_pair_mean32,511.5,1.0,0.0,0.10060496125199969,0.10060496125199969,
pair_cross64,openml-credit-approval-29,disjoint_pair_cross64,511.5,1.0,0.0,0.2059472904360114,0.20594729043600762,0.00012528696801806486
pair_cross64,openml-credit-approval-29,independent_block_u64,511.5,1.0,0.0,0.2059472904360114,0.20594729043601306,5.488978580618192e-05
pair_cross64,openml-kr-vs-kp-3,disjoint_pair_cross64,511.5,1.0,0.0,0.02143365113742477,0.02146785824755213,1.8048479064952598e-05
pair_cross64,openml-kr-vs-kp-3,independent_block_u64,511.5,1.0,0.0,0.02143365113742477,0.021492125287446148,2.6225456301608715e-05
pair_cross64,openml-sick-38,disjoint_pair_cross64,511.5,1.0,0.0,0.033563878080260096,0.0335660291414542,2.134835031702901e-06
pair_cross64,openml-sick-38,independent_block_u64,511.5,1.0,0.0,0.033563878080260096,0.03356625759552631,1.0872096824608705e-05
pair_cross64,openml-tic-tac-toe-50,disjoint_pair_cross64,511.5,1.0,0.0,0.10060496125199969,0.10060496125199969,0.0002518568675227927
pair_cross64,openml-tic-tac-toe-50,independent_block_u64,511.5,1.0,0.0,0.10060496125199969,0.10060496125199969,0.00030582732614952736
