dataset,model,task,split,strength3_design_count,joint_risk,through_triple_fraction,mean_member_loss,quotient_loss,iid64_residual,four_strength2_residual,sixteen_strength1_residual,sixteen_seed_blocks_residual,strength3_residual,strength3_expected_loss,component_reconstruction_error,ambiguity_error
openml-credit-g-31,onehot_linear,binclass,validation,27648,5.733930792320814e-15,1.0000000000000002,0.39859218925981693,0.39859218925981127,8.959266863001272e-17,3.7411885158765443e-17,8.204331855756725e-17,3.583706745200509e-16,-2.0192171760684926e-33,0.39859218925981127,5.6470255823443096e-33,7.179336673251576e-17
openml-credit-g-31,onehot_linear,binclass,test,27648,4.124060835948803e-15,1.0,0.37057239474475623,0.3705723947447521,6.443845056170005e-17,2.6840895205546403e-17,5.935080649860152e-17,2.577538022468002e-16,2.100467345597329e-33,0.3705723947447521,1.3539859227718758e-34,1.6235644835724093e-17
openml-credit-g-31,ordinal_forest,binclass,validation,27648,0.005131665552552423,0.9999999999999998,0.36019249922572477,0.3550608336731724,8.01822742586316e-05,1.6810126507009902e-05,2.2858394417602406e-05,0.0002430660617827436,1.42341239808125e-20,0.3550608336731724,1.434573049497066e-22,7.806255641895632e-17
openml-credit-g-31,ordinal_forest,binclass,test,27648,0.004924908828830817,1.0,0.34815525605894193,0.34323034723011114,7.695170045048151e-05,1.7919721703886393e-05,2.3433638521818024e-05,0.000228557258971029,1.0415858273267724e-20,0.34323034723011114,2.840482386143786e-21,2.949029909160572e-17
openml-credit-g-31,onehot_adam_mlp,binclass,validation,27648,0.023867765072990807,0.8274681822607863,0.38444033419972756,0.36057256912673674,0.00037293382926548136,0.0002600552342543241,0.00035308113240269004,0.0003280968916656616,0.00015251662568205996,0.3607250857524188,2.710505431213761e-20,1.3877787807814457e-17
openml-credit-g-31,onehot_adam_mlp,binclass,test,27648,0.02312777628805298,0.8293649485054402,0.3723736460535578,0.3492458697655049,0.0003613715045008278,0.00024963591880134296,0.00034278800572722085,0.00031807204920625916,0.00014616330732839205,0.34939203307283334,1.0842021724855044e-19,7.632783294297951e-17
openml-spambase-44,onehot_linear,binclass,validation,1152,7.738095424654255e-23,1.0,0.11609077875285156,0.11609077875285158,1.2090774101022274e-24,9.327042578545982e-41,4.031007520080916e-25,4.8363096404089095e-24,0.0,0.11609077875285158,0.0,1.3877865188768704e-17
openml-spambase-44,onehot_linear,binclass,test,1152,1.38537051598683e-23,1.0,0.11068947441782423,0.11068947441782423,2.1646414312294217e-25,4.1254226789722615e-42,5.832721817903167e-26,8.658565724917687e-25,2.0662986635548023e-40,0.11068947441782423,2.0662986635548023e-40,1.38537051598683e-23
openml-spambase-44,ordinal_forest,binclass,validation,1152,0.0007112453023810279,1.0,0.08898409250552683,0.0882728472031458,1.111320784970356e-05,0.0,8.436020228586281e-06,9.300452751411464e-06,3.9651729843341935e-20,0.0882728472031458,3.9651729843341935e-20,8.239936510889834e-18
openml-spambase-44,ordinal_forest,binclass,test,1152,0.0007276784493483763,0.9999999999999999,0.09535088712203381,0.09462320867268545,1.1369975771068379e-05,0.0,8.96283540050346e-06,8.944715798613988e-06,4.08164001458166e-20,0.09462320867268545,4.08164001458166e-20,1.6696713456276768e-17
