comparison,metric,source,percent_reduction
pair32,brier,openml-colic-25,7.516715975598909
pair32,brier,openml-credit-approval-29,7.916564097225054
pair32,brier,openml-hepatitis-55,7.569362374329625
pair32,brier,openml-kr-vs-kp-3,4.912869567829558
pair32,brier,openml-mushroom-24,10.534922771227407
pair32,brier,openml-sick-38,6.249108662928493
pair32,brier,openml-tic-tac-toe-50,1.9472695523110595
pair32,brier,openml-vote-56,10.410904325393243
pair32,log_loss,openml-colic-25,7.46388607940065
pair32,log_loss,openml-credit-approval-29,6.9270005976680205
pair32,log_loss,openml-hepatitis-55,7.619058795561761
pair32,log_loss,openml-kr-vs-kp-3,4.369266330610722
pair32,log_loss,openml-mushroom-24,10.16095475680805
pair32,log_loss,openml-sick-38,6.141000854776224
pair32,log_loss,openml-tic-tac-toe-50,1.9887088302178113
pair32,log_loss,openml-vote-56,10.880272117513435
pair32,roc_auc,openml-colic-25,5.177244548279014
pair32,roc_auc,openml-credit-approval-29,10.381140672396072
pair32,roc_auc,openml-hepatitis-55,9.244000033084276
pair32,roc_auc,openml-kr-vs-kp-3,9.70542975010421
pair32,roc_auc,openml-mushroom-24,0.0
pair32,roc_auc,openml-sick-38,2.4296405104096364
pair32,roc_auc,openml-tic-tac-toe-50,5.363735574867523
pair32,roc_auc,openml-vote-56,13.316187182412364
pair32,accuracy,openml-colic-25,2.0808166573846876
pair32,accuracy,openml-credit-approval-29,2.378281105073843
pair32,accuracy,openml-hepatitis-55,27.65606549396834
pair32,accuracy,openml-kr-vs-kp-3,1.676033059837323
pair32,accuracy,openml-mushroom-24,0.0
pair32,accuracy,openml-sick-38,5.414113575108104
pair32,accuracy,openml-tic-tac-toe-50,3.6870460818175244
pair32,accuracy,openml-vote-56,7.208290977251231
pack64,brier,openml-colic-25,19.275377808656213
pack64,brier,openml-credit-approval-29,15.979551314123885
pack64,brier,openml-hepatitis-55,20.28064790834866
pack64,brier,openml-kr-vs-kp-3,16.81257367112122
pack64,brier,openml-mushroom-24,19.36559626586829
pack64,brier,openml-sick-38,18.761850338975115
pack64,brier,openml-tic-tac-toe-50,20.28315765493388
pack64,brier,openml-vote-56,23.160898053246413
pack64,log_loss,openml-colic-25,19.33769265332117
pack64,log_loss,openml-credit-approval-29,15.460487931808565
pack64,log_loss,openml-hepatitis-55,20.321339239537217
pack64,log_loss,openml-kr-vs-kp-3,16.757597525437017
pack64,log_loss,openml-mushroom-24,19.038694167973482
pack64,log_loss,openml-sick-38,18.05012896031386
pack64,log_loss,openml-tic-tac-toe-50,19.940217512984294
pack64,log_loss,openml-vote-56,23.323899129590863
pack64,roc_auc,openml-colic-25,19.43015049496031
pack64,roc_auc,openml-credit-approval-29,18.17689534488026
pack64,roc_auc,openml-hepatitis-55,2.1219045600077924
pack64,roc_auc,openml-kr-vs-kp-3,13.235780199186998
pack64,roc_auc,openml-mushroom-24,0.0
pack64,roc_auc,openml-sick-38,16.24079612707976
pack64,roc_auc,openml-tic-tac-toe-50,21.931059388635454
pack64,roc_auc,openml-vote-56,20.48627422378496
pack64,accuracy,openml-colic-25,9.832710223686213
pack64,accuracy,openml-credit-approval-29,5.948211378909396
pack64,accuracy,openml-hepatitis-55,100.0
pack64,accuracy,openml-kr-vs-kp-3,11.306150580098995
pack64,accuracy,openml-mushroom-24,0.0
pack64,accuracy,openml-sick-38,15.418395787974326
pack64,accuracy,openml-tic-tac-toe-50,24.158836174945677
pack64,accuracy,openml-vote-56,18.308438051201236
