source_group,material_cells,beats_all,strength2_residual,iid16_residual,four_strength1_residual,four_seed_blocks_residual
compustat_korea,0,False,,,,
credit_card_default,1,True,7.009196699649087e-05,0.00021992461855830622,0.00017913528215682918,0.00019432364623746178
credit_card_fraud,3,True,5.953375567959342e-07,3.4613897608209076e-06,2.619425688737283e-06,3.656500187112015e-06
heloc,2,True,5.5555856333227844e-05,0.0001870409024569325,0.000148940415262726,0.00013790838566263617
kdd17_stock,3,True,0.00023479121529873517,0.000726598606707833,0.0005049586789744846,0.0005496203710061628
polish_bankruptcy,3,True,4.514855167148216e-06,0.00010012674375481613,9.436443686906538e-05,5.210219108311211e-05
