panel,dataset,validation_winner,test_winner,same_winner,validation_winner_test_loss,test_oracle_loss,validation_winner_test_regret,candidate_rank_spearman,validation_margin
confirmation,compustat_kor_direction,onehot_adam_mlp,onehot_adam_mlp,True,0.4950418397329773,0.4950418397329773,0.0,0.9999999999999999,0.0021837432198090756
confirmation,credit_card_default,native_histgb,native_histgb,True,0.2721779841841809,0.2721779841841809,0.0,0.9999999999999999,0.0011847790433471839
confirmation,credit_card_fraud,onehot_linear,catboost_native,False,0.0025672749205595154,0.0014385992648205707,0.0011286756557389447,-0.9999999999999999,0.00015377139799953614
confirmation,heloc_credit_risk,catboost_native,catboost_native,True,0.35786129421609997,0.35786129421609997,0.0,0.9999999999999999,0.003300667786902911
confirmation,kdd17_stock_direction,ordinal_forest,catboost_native,False,0.5000883094545587,0.4983768849951271,0.0017114244594316208,0.8999999999999998,0.00017942862266212556
confirmation,kdd17_stock_return,native_histgb,native_histgb,True,0.55241124153395,0.55241124153395,0.0,0.7999999999999999,5.2943666515481436e-05
confirmation,polish_bankruptcy_1year,catboost_native,catboost_native,True,0.039606611646001814,0.039606611646001814,0.0,0.9999999999999999,0.003559235666885513
confirmation,polish_bankruptcy_2year,native_histgb,native_histgb,True,0.03898718950734879,0.03898718950734879,0.0,0.9999999999999999,0.005458499254996245
confirmation,polish_bankruptcy_3year,native_histgb,native_histgb,True,0.04718666235909834,0.04718666235909834,0.0,0.9999999999999999,0.0006024263368280339
confirmation,polish_bankruptcy_4year,catboost_native,catboost_native,True,0.04673440600491112,0.04673440600491112,0.0,0.9999999999999999,0.005836027653013338
confirmation,polish_bankruptcy_5year,catboost_native,catboost_native,True,0.059455181569529884,0.059455181569529884,0.0,0.9999999999999999,0.00832724253901275
menu_repeat,compustat_kor_direction,onehot_adam_mlp,onehot_adam_mlp,True,0.49535573326212506,0.49535573326212506,0.0,0.9999999999999999,0.0024819870555085055
menu_repeat,credit_card_default,native_histgb,native_histgb,True,0.2723319958346917,0.2723319958346917,0.0,0.9999999999999999,0.0009956866129770536
menu_repeat,credit_card_fraud,onehot_linear,native_histgb,False,0.00256727486846418,0.0014323347903773904,0.0011349400780867895,-0.8999999999999998,0.00014518808486335103
menu_repeat,heloc_credit_risk,catboost_native,catboost_native,True,0.3584046466000374,0.3584046466000374,0.0,0.8999999999999998,0.004133359623627764
menu_repeat,kdd17_stock_return,native_histgb,ordinal_forest,False,0.5606952422764768,0.555243429005812,0.005451813270664796,0.49999999999999994,0.0008176301610975378
menu_repeat,polish_bankruptcy_3year,native_histgb,native_histgb,True,0.046729409099123695,0.046729409099123695,0.0,0.9999999999999999,0.0003471736987336882
subsample_repeat,compustat_kor_direction,onehot_adam_mlp,onehot_adam_mlp,True,0.49600747952970314,0.49600747952970314,0.0,0.8999999999999998,0.000764576624278035
subsample_repeat,credit_card_default,native_histgb,native_histgb,True,0.2694657947267485,0.2694657947267485,0.0,0.9999999999999999,0.00014989531599624017
subsample_repeat,credit_card_fraud,catboost_native,ordinal_forest,False,0.0023832153934555357,0.0022524017277568385,0.00013081366569869714,0.6,0.00028511764825057517
subsample_repeat,heloc_credit_risk,catboost_native,catboost_native,True,0.35786129421609997,0.35786129421609997,0.0,0.9999999999999999,0.003300667786902911
