dataset,model,task,metric,control,draws,strength2_mean,control_mean,strength2_minus_control,mc_standard_error,normal_ci_low,normal_ci_high,favorable_point_estimate,favorable_95_mc_interval
compustat_kor_direction,onehot_adam_mlp,binclass,brier,iid16,2048,0.49515626948723485,0.49523151942378707,-7.524993655222412e-05,1.2832989547138397e-05,-0.00010040259606461537,-5.009727703983286e-05,True,True
compustat_kor_direction,onehot_adam_mlp,binclass,brier,four_strength1,2048,0.49515626948723485,0.495207258279969,-5.098879273413015e-05,1.2289067637571354e-05,-7.507536530377e-05,-2.6902220164490298e-05,True,True
compustat_kor_direction,onehot_adam_mlp,binclass,brier,four_seed_blocks,2048,0.49515626948723485,0.4951939597385051,-3.769025127026149e-05,1.29462900852561e-05,-6.306497983736345e-05,-1.2315522703159534e-05,True,True
compustat_kor_direction,onehot_adam_mlp,binclass,logloss,iid16,2048,0.6882700795213781,0.6883473295151663,-7.724999378821984e-05,1.3043785378788005e-05,-0.00010281581313064433,-5.168417444579535e-05,True,True
compustat_kor_direction,onehot_adam_mlp,binclass,logloss,four_strength1,2048,0.6882700795213781,0.6883222416857506,-5.2162164372537845e-05,1.2504164474419169e-05,-7.667032674239942e-05,-2.7654002002676274e-05,True,True
compustat_kor_direction,onehot_adam_mlp,binclass,logloss,four_seed_blocks,2048,0.6882700795213781,0.6883088666370618,-3.878711568372495e-05,1.3162598226167278e-05,-6.458580820701281e-05,-1.2988423160437085e-05,True,True
compustat_kor_direction,onehot_adam_mlp,binclass,accuracy,iid16,2048,0.5423943684895833,0.5424249674479167,-3.059895833334991e-05,7.073485849611594e-05,-0.00016923928098573716,0.00010804136431903733,False,False
compustat_kor_direction,onehot_adam_mlp,binclass,accuracy,four_strength1,2048,0.5423943684895833,0.5423103841145833,8.398437500001243e-05,6.813875097823922e-05,-4.956757691733642e-05,0.0002175363269173613,True,False
compustat_kor_direction,onehot_adam_mlp,binclass,accuracy,four_seed_blocks,2048,0.5423943684895833,0.5425867513020834,-0.0001923828125001137,6.627738990711232e-05,-0.0003222864967180538,-6.247912828217354e-05,False,False
compustat_kor_direction,onehot_adam_mlp,binclass,roc_auc,iid16,2048,0.5231387232106962,0.5228317196312878,0.0003070035794083825,5.791638746527462e-05,0.00019348745997644425,0.0004205196988403208,True,True
compustat_kor_direction,onehot_adam_mlp,binclass,roc_auc,four_strength1,2048,0.5231387232106962,0.5230117501345249,0.00012697307617126619,5.4912541339779784e-05,1.9344495145297806e-05,0.00023460165719723457,True,True
compustat_kor_direction,onehot_adam_mlp,binclass,roc_auc,four_seed_blocks,2048,0.5231387232106962,0.523047242247066,9.14809636302083e-05,6.19472439621916e-05,-2.9935634535687236e-05,0.00021289756179610384,True,False
credit_card_default,onehot_adam_mlp,binclass,brier,iid16,2048,0.2781633398009681,0.2782660372050033,-0.00010269740403523464,1.1569039281644019e-05,-0.00012537272102725692,-8.002208704321236e-05,True,True
credit_card_default,onehot_adam_mlp,binclass,brier,four_strength1,2048,0.2781633398009681,0.27822966604410543,-6.632624313734903e-05,1.155638489360194e-05,-8.897675752880883e-05,-4.367572874588923e-05,True,True
credit_card_default,onehot_adam_mlp,binclass,brier,four_seed_blocks,2048,0.2781633398009681,0.2782437583335853,-8.041853261719911e-05,1.0838480849833599e-05,-0.00010166195508287297,-5.917511015152526e-05,True,True
credit_card_default,onehot_adam_mlp,binclass,logloss,iid16,2048,0.43996384654381565,0.44018120998111476,-0.00021736343729911178,1.8791576751879644e-05,-0.00025419492773279587,-0.0001805319468654277,True,True
credit_card_default,onehot_adam_mlp,binclass,logloss,four_strength1,2048,0.43996384654381565,0.44010689646772594,-0.0001430499239102878,1.9681340086255974e-05,-0.00018162535047934952,-0.00010447449734122611,True,True
credit_card_default,onehot_adam_mlp,binclass,logloss,four_seed_blocks,2048,0.43996384654381565,0.44012548819074215,-0.0001616416469265025,1.7583297869160016e-05,-0.00019610491075005616,-0.00012717838310294887,True,True
credit_card_default,onehot_adam_mlp,binclass,accuracy,iid16,2048,0.8145976562499999,0.8140856119791666,0.0005120442708332895,3.199639350744312e-05,0.000449331339558701,0.000574757202107878,True,True
credit_card_default,onehot_adam_mlp,binclass,accuracy,four_strength1,2048,0.8145976562499999,0.8141708984375,0.0004267578124999005,3.11599217540481e-05,0.0003656843658619663,0.00048783125913783477,True,True
credit_card_default,onehot_adam_mlp,binclass,accuracy,four_seed_blocks,2048,0.8145976562499999,0.8142972005208333,0.00030045572916659324,2.9507796164446193e-05,0.0002426204486842787,0.00035829100964890776,True,True
