panel,dataset,task,model,method,product_cells,score_bias,score_rmse,prediction_residual,max_absolute_score_error,family,mean_pack_sampling_attempts
modern_model,openml-kr-vs-kp-3,binclass,native_histgb,disjoint_pair_mean32,128.0,1.734723475976807e-18,2.453868921672826e-18,0.0,0.0,pair32,
modern_model,openml-kr-vs-kp-3,binclass,native_histgb,independent_pair_mean32,128.0,1.734723475976807e-18,2.453868921672826e-18,0.0,0.0,pair32,
modern_model,openml-kr-vs-kp-3,binclass,catboost_native,disjoint_pair_mean32,128.0,8.210346952560246e-06,0.00011360761893715157,3.0090765557541396e-06,0.00035624987556060785,pair32,
modern_model,openml-kr-vs-kp-3,binclass,catboost_native,independent_pair_mean32,128.0,3.8394256016306e-06,0.0001271676107849102,3.6674343966349e-06,0.00035624987556060785,pair32,
modern_model,openml-credit-approval-29,binclass,native_histgb,disjoint_pair_mean32,128.0,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0,pair32,
modern_model,openml-credit-approval-29,binclass,native_histgb,independent_pair_mean32,128.0,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0,pair32,
modern_model,openml-credit-approval-29,binclass,catboost_native,disjoint_pair_mean32,128.0,2.572146340917847e-05,0.0002518602563279271,8.808320122546421e-06,0.0007719791881471427,pair32,
modern_model,openml-credit-approval-29,binclass,catboost_native,independent_pair_mean32,128.0,1.674056902900567e-05,0.0002876005617398662,1.0522308230907966e-05,0.0007719791881471427,pair32,
modern_model,openml-sick-38,binclass,native_histgb,disjoint_pair_mean32,128.0,-5.204170427930421e-18,7.361606765018479e-18,0.0,0.0,pair32,
modern_model,openml-sick-38,binclass,native_histgb,independent_pair_mean32,128.0,-5.204170427930421e-18,7.361606765018479e-18,0.0,0.0,pair32,
modern_model,openml-sick-38,binclass,catboost_native,disjoint_pair_mean32,128.0,4.1302301811464714e-07,5.737779250432706e-05,1.5938232232940339e-06,0.00013618457963692453,pair32,
modern_model,openml-sick-38,binclass,catboost_native,independent_pair_mean32,128.0,1.564430266335487e-06,6.142787874851184e-05,1.9295006292943172e-06,0.00013618457963692453,pair32,
modern_model,openml-tic-tac-toe-50,binclass,native_histgb,disjoint_pair_mean32,128.0,0.0,0.0,0.0,0.0,pair32,
