panel,dataset,model,task,population,full_enumeration_at_b16,strength2_residual,iid16_residual,four_strength1_residual,four_seed_blocks_residual
strength2_openml_taskbalanced,openml-credit-g-31,ordinal_forest,classification,128,False,7.167888681554557e-05,0.0003078068018019,9.37345540872721e-05,0.0009142290358841
strength2_openml_taskbalanced,openml-credit-g-31,onehot_adam_mlp,classification,128,False,0.0009985436752053,0.0014454860180033,0.0013711520229088,0.001272288196825
strength2_openml_taskbalanced,openml-spambase-44,ordinal_forest,classification,32,False,0.0,4.547990308427352e-05,3.585134160201384e-05,3.577886319445595e-05
strength2_openml_taskbalanced,openml-spambase-44,onehot_adam_mlp,classification,32,False,0.0001592249180951,0.0004947497643366,0.0003984307889795,0.0003192969114588
strength2_openml_taskbalanced,openml-banknote-1462,ordinal_forest,classification,32,False,-8.470329472543003e-22,2.229149765245132e-05,1.4788564204971408e-05,1.6644980295378498e-05
strength2_openml_taskbalanced,openml-banknote-1462,onehot_adam_mlp,classification,32,False,0.0001959817623251,0.0008323180039439,0.0003325604022383,0.0007612365300679
strength2_openml_taskbalanced,openml-qsar-biodeg-1494,ordinal_forest,classification,32,False,1.694065894508601e-21,8.172374334872229e-05,6.000495340261288e-05,5.710445370757363e-05
strength2_openml_taskbalanced,openml-qsar-biodeg-1494,onehot_adam_mlp,classification,32,False,0.0004328639707938,0.0010960056324564,0.0009224426594826,0.0009909615358919
strength2_openml_taskbalanced,openml-abalone-183,ordinal_forest,regression,64,False,9.470444195800925e-05,0.0001678033392787,0.0001245118428929,0.0002376205278529
strength2_openml_taskbalanced,openml-abalone-183,onehot_adam_mlp,regression,64,False,0.0001393720919808,0.0003177768121479,0.000210672069369,0.0001893090110526
strength2_openml_taskbalanced,openml-kin8nm-189,ordinal_forest,regression,16,True,0.0,0.0002050241462422,0.0001612564607851,0.0001635083152327
strength2_openml_taskbalanced,openml-kin8nm-189,onehot_adam_mlp,regression,16,True,0.0,0.0007860073259516,0.0005886148222549,0.0005572037432932
strength2_openml_taskbalanced,openml-pol-201,ordinal_forest,regression,16,True,0.0,5.231091910310191e-05,4.056870838771316e-05,4.148285490617438e-05
strength2_openml_taskbalanced,openml-pol-201,onehot_adam_mlp,regression,16,True,0.0,0.0001480444246634,0.0001096170009688,0.0001133949327634
strength2_openml_taskbalanced,openml-puma32h-308,ordinal_forest,regression,16,True,0.0,0.0003046841896325,0.0002494010894,0.0002209099043323
strength2_openml_taskbalanced,openml-puma32h-308,onehot_adam_mlp,regression,16,True,0.0,0.0070788504532971,0.0056994287901798,0.0051986284773684
strength2_openml_multiclass,openml-vehicle-54,ordinal_forest,multiclass,64,False,6.776263578034403e-21,0.0001252280260759,9.673467269333554e-05,8.878920143268406e-05
strength2_openml_multiclass,openml-vehicle-54,onehot_adam_mlp,multiclass,64,False,0.0010082651950526,0.0020336582656947,0.0015288127348589,0.0013969977269051
strength2_openml_multiclass,openml-segment-36,ordinal_forest,multiclass,64,False,4.023406499457927e-21,4.047052712276449e-05,3.1084564206310065e-05,2.9593869893324e-05
strength2_openml_multiclass,openml-segment-36,onehot_adam_mlp,multiclass,64,False,0.0001856899887974,0.0002992765388197,0.0002112591763501,0.0001699020980996
