task,dataset,model,alternate_view,seed_a,seed_b,seed_c,anchor_parameters,t1_parameters,t2_parameters,alternate_parameters,heterobag_val_log_loss,heterobag_val_auc,heterobag_val_accuracy,ttt_val_log_loss,ttt_val_auc,ttt_val_accuracy,relative_val_log_loss_gain_pct,heterobag_test_log_loss,heterobag_test_auc,heterobag_test_accuracy,ttt_test_log_loss,ttt_test_auc,ttt_test_accuracy,relative_test_log_loss_gain_pct
classification,openml-credit-g-31,mlp,qple,20260931,20261032,20261133,62451,62451,62451,62451,0.4525017335685723,0.8314285714285715,0.79,0.453784347911957,0.8300595238095237,0.795,0.2826484318567818,0.5186520155041465,0.7701785714285714,0.71,0.5193187668769429,0.7685714285714285,0.71,0.1283896164211533
classification,openml-credit-g-31,resnet,qple,20260931,20261032,20261133,179191,179191,179191,179191,0.4660471983592008,0.8261904761904761,0.78,0.46854855338804824,0.8214880952380952,0.785,0.5338518304581895,0.5228257855864757,0.7693452380952381,0.72,0.5238682429921464,0.7713095238095239,0.715,0.1989922885412026
classification,openml-credit-g-31,ft_transformer,qple,20260931,20261032,20261133,11251,11251,11251,11251,0.4583166579099823,0.8514880952380952,0.8,0.4599210322314475,0.8457738095238095,0.8,0.34883691091079155,0.5012522594077102,0.8113690476190476,0.77,0.5026058865407873,0.8073809523809523,0.75,0.26932178259858564
classification,openml-spambase-44,mlp,qple,20260931,20261032,20261133,182581,182581,182581,182581,0.15023739051045773,0.9860838828491653,0.9402173913043478,0.15578829043096273,0.9850541594883068,0.9434782608695652,3.563104714192158,0.16085402853277483,0.9844313121439221,0.9435396308360477,0.16657604797191733,0.9837080482241773,0.9446254071661238,3.435079357932154
classification,openml-spambase-44,resnet,qple,20260931,20261032,20261133,298787,298787,298787,298787,0.14411238700906384,0.9864081466959741,0.941304347826087,0.1486253869613557,0.9850219806332798,0.941304347826087,3.0364933236239637,0.14999713807381365,0.9860012638605016,0.9522258414766558,0.14947565848465372,0.9852977477610908,0.9533116178067318,-0.3488725819618807
classification,openml-spambase-44,ft_transformer,qple,20260931,20261032,20261133,34801,34801,34801,34801,0.16927704157340098,0.978645616744886,0.9445652173913044,0.16548121834918153,0.9781183785817542,0.9478260869565217,-2.293809087270493,0.18277750770161472,0.9769641675800034,0.9489685124864278,0.18133354501621868,0.977605971740869,0.9511400651465798,-0.7963020219269903
classification,openml-banknote-1462,mlp,qple,20260931,20261032,20261133,26049,26049,26049,26049,0.022081609850048523,0.9997857066323798,0.9927272727272727,0.025545955752256894,0.9997857066323798,0.9927272727272727,13.561230340353614,0.023812781222823584,0.9998392799742848,0.9890909090909091,0.02775232026285052,0.9997321332904746,0.9927272727272727,14.19535016429035
classification,openml-banknote-1462,resnet,qple,20260931,20261032,20261133,142145,142145,142145,142145,0.0016957586933452739,1.0,1.0,0.002469987875404263,1.0,1.0,31.34546488137197,0.001765610843782199,1.0,1.0,0.0025815321199521677,1.0,1.0,31.606086550845884
classification,openml-banknote-1462,ft_transformer,qple,20260931,20261032,20261133,7713,7713,7713,7713,0.05231995431313189,1.0,1.0,0.05211826674435165,1.0,1.0,-0.38698057586900697,0.05252908908793802,1.0,1.0,0.05252237965877451,1.0,1.0,-0.012774419603796393
classification,openml-qsar-biodeg-1494,mlp,qple,20260931,20261032,20261133,117415,117415,117415,117415,0.2852139346755745,0.9419014084507042,0.8625592417061612,0.2966940618638761,0.93817907444668,0.8672985781990521,3.8693484851640583,0.43695750404456096,0.8847585513078472,0.8104265402843602,0.42907392353611,0.8869718309859155,0.8056872037914692,-1.8373478498717208
classification,openml-qsar-biodeg-1494,resnet,qple,20260931,20261032,20261133,233453,233453,233453,233453,0.2885613663936276,0.9428068410462777,0.8625592417061612,0.3046011470858388,0.9371227364185111,0.8483412322274881,5.265830692256407,0.39142862104724263,0.8888832997987929,0.8199052132701422,0.41126326834242816,0.8763581488933602,0.8151658767772512,4.822858937810779
classification,openml-qsar-biodeg-1494,ft_transformer,qple,20260931,20261032,20261133,23321,23321,23321,23321,0.33610548614867375,0.9379275653923541,0.8720379146919431,0.35181128584101923,0.9285211267605634,0.8530805687203792,4.464268295088978,0.38429360202258595,0.891599597585513,0.8388625592417062,0.3877267326496025,0.8789738430583501,0.8388625592417062,0.8854511020056888
