panel,source_group,strength2_residual,iid16_residual,srswor_b16_residual,four_strength1_residual,four_seed_blocks_residual
strength2_confirmation,compustat_korea,0.0001171675138022,0.000181611540229,0.0001601613583121,0.0001505794012054,0.0001439642521085
strength2_confirmation,credit_card_default,7.048944334094666e-05,0.0001844791623838,9.52150515529516e-05,0.000148035200244,0.000166800072703
strength2_confirmation,credit_card_fraud,7.044477256534819e-07,3.4310488921838538e-06,1.7708639443529566e-06,1.909389952991352e-06,3.0099731811927877e-06
strength2_confirmation,heloc,4.801296914127259e-05,0.0001852832868867,9.56300835544258e-05,0.0001562421672386711,0.00015517910959385637
strength2_confirmation,kdd17_stock,0.0003878318611672,0.00075299852712955,0.000610654217187575,0.0006142679888325,0.000621381573849725
strength2_confirmation,polish_bankruptcy,4.7017780215867594e-05,0.000304341632221571,0.00015707955211436247,0.00021612156148791083,0.0002171718398878252
strength2_openml_external,blood_transfusion,0.0001648981655132,0.001826549798957,0.0009427353801068,0.0015316189249157,0.0004243441181499
strength2_openml_external,breast_w,9.918473982715e-05,0.001124691846915084,0.0005804861145367871,0.0008900667819115366,0.0010072313776955557
strength2_openml_external,ilpd,0.0003628871638273,0.0005007390319438,0.0003815154529095,0.0004806196250181,0.0003477987044789
strength2_openml_external,kc1,9.850671378788592e-05,0.0004558788950795,0.0002352923329443,0.0003615172919097,0.0002967465824054
strength2_openml_external,mammography,1.3887707831103702e-05,9.349248116962996e-05,4.825418382948387e-05,6.840404374623121e-05,3.0220459717047963e-05
strength2_openml_external,pc4,7.241404324835e-05,0.00027000902578613867,0.00013935949717993227,0.00022607426791313896,0.00014650034764980568
strength2_openml_external,sonar,0.00050072280258415,0.00118773807161055,0.0006130261014764162,0.0010151942383173661,0.0011894613467678
strength2_openml_external,wdbc,0.00019767047403415,0.0010740764367468357,0.0005543620318693404,0.001189250157773501,0.0007667983172920408
strength2_openml_taskbalanced,abalone,0.00011703826696940462,0.0002427900757133,0.0001849829148292,0.00016759195613095,0.00021346476945275
strength2_openml_taskbalanced,banknote,9.799088116255e-05,0.0004273047507981756,0.00022054438750872097,0.0001736744832216357,0.0003889407551816393
strength2_openml_taskbalanced,credit_g,0.0005351112810104228,0.0008766464099026,0.00077310549534715,0.000732443288498036,0.00109325861635455
strength2_openml_taskbalanced,kin8nm,0.0,0.0004955157360969,0.0,0.00037493564152,0.00036035602926295
strength2_openml_taskbalanced,pol,0.0,0.00010017767188325095,0.0,7.509285467825657e-05,7.743889383478719e-05
strength2_openml_taskbalanced,puma32h,0.0,0.0036917673214648,0.0,0.0029744149397899003,0.00270976919085035
strength2_openml_taskbalanced,qsar_biodeg,0.0002164319853969,0.0005888646879025611,0.00030393016149809034,0.0004912238064426064,0.0005240329947997367
strength2_openml_taskbalanced,spambase,7.961245904755e-05,0.0002701148337104368,0.0001394141077214871,0.00021714106529075692,0.00017753788732662796
