dataset,model,row_order_risk,canonical_to_permuted_movement
australian_credit_approval,mlp,4.332435011315752e-05,9.136569411861938e-05
australian_credit_approval,resnet,0.001307872968573824,0.003219666606909731
australian_credit_approval,ft_transformer,0.011413505667022948,0.022671288987736342
australian_credit_approval,tabm,7.812642704864667e-05,0.0001316707088375885
bank_marketing_subscription,mlp,9.097016731702271e-05,0.00022306382497386148
bank_marketing_subscription,resnet,0.00975441694232128,0.024854525540933647
bank_marketing_subscription,ft_transformer,0.01591864495839393,0.04927554079983116
bank_marketing_subscription,tabm,0.00010992323901308168,0.0002580536136675042
fremtpl_claim_count,mlp,0.0004102759741053374,0.0012276724664624984
fremtpl_claim_count,resnet,0.03690717995969407,0.08585456322143403
fremtpl_claim_count,ft_transformer,0.07071628016097191,0.20436342587908563
fremtpl_claim_count,tabm,0.0008410999445811343,0.002102714957870459
kdd17_stock_return,mlp,0.002411478634118325,0.006076146813201046
kdd17_stock_return,resnet,0.035465184455792775,0.09059937119427978
kdd17_stock_return,ft_transformer,0.08974785834108702,0.2681253720665971
kdd17_stock_return,tabm,0.004372157309012599,0.008512278459716577
