panel,dataset,model,shape,low_order_1_2_fraction,order3_fraction,order4_fraction,predicted_strength2_vs_iid16_ratio,actual_strength2_vs_iid16_ratio,predicted_strength3_vs_iid64_ratio,actual_strength3_vs_iid64_ratio
strength2_openml_external,openml-pc4-1049,onehot_adam_mlp,4x1x2x4,0.8330337818040889,0.16696621819591098,0.0,0.2968288323482862,0.29682883234825214,0.0,8.124552465691368e-16
strength2_openml_external,openml-kc1-1067,onehot_adam_mlp,4x1x2x4,0.8784545038084931,0.12154549619150695,0.0,0.2160808821182346,0.21608088211828164,0.0,-1.248590682084551e-15
strength2_openml_external,openml-blood-transfusion-1464,onehot_adam_mlp,4x1x2x4,0.9492183469872167,0.05078165301278311,0.0,0.09027849424494785,0.09027849424492039,0.0,-1.4052990204950555e-14
strength2_openml_external,openml-ilpd-1480,onehot_adam_mlp,4x2x2x4,0.5250247592463794,0.40368414016895676,0.07129110058466384,0.7247031700697463,0.7247031700696908,0.0,0.0
strength2_openml_external,openml-wdbc-1510,ordinal_forest,4x1x2x4,1.0,0.0,0.0,1.3042598016126625e-17,2.3053862109594357e-17,0.0,-1.498501037123633e-16
strength2_openml_external,openml-wdbc-1510,onehot_adam_mlp,4x1x2x4,0.8946774258818149,0.10532257411818514,0.0,0.1872401317656625,0.18724013176565854,0.0,-6.932201537654654e-15
strength2_openml_external,openml-mammography-310,onehot_adam_mlp,4x1x2x4,0.916444236399906,0.08355576360009402,0.0,0.14854357973350055,0.1485435797335003,0.0,2.958964797087002e-14
strength2_openml_taskbalanced,openml-credit-g-31,ordinal_forest,4x4x2x4,0.8690107768973542,0.13098922310264574,0.0,0.2328697299602592,0.23286972996027902,1.7226832651920378e-16,1.35355790870019e-16
strength2_openml_taskbalanced,openml-credit-g-31,onehot_adam_mlp,4x4x2x4,0.497667546414275,0.3316974020911649,0.17063505149455996,0.6908013379366246,0.6908013379365807,0.4044682702093272,0.404468270209104
strength2_openml_taskbalanced,openml-spambase-44,ordinal_forest,4x1x2x4,1.0,0.0,0.0,9.465485009406038e-18,0.0,0.0,3.589840556184517e-15
strength2_openml_taskbalanced,openml-spambase-44,onehot_adam_mlp,4x1x2x4,0.8189710781396119,0.18102892186038824,0.0,0.321829194418468,0.32182919441831664,0.0,1.2189747260495888e-15
strength2_openml_taskbalanced,openml-banknote-1462,ordinal_forest,4x1x2x4,1.0,0.0,0.0,-2.440385001564616e-18,-3.7998027788911486e-17,0.0,1.8761526220775047e-16
strength2_openml_taskbalanced,openml-banknote-1462,onehot_adam_mlp,4x1x2x4,0.8675509351167511,0.13244906488324884,0.0,0.23546500423688688,0.23546500423690175,0.0,-1.8334513377614675e-14
strength2_openml_taskbalanced,openml-qsar-biodeg-1494,ordinal_forest,4x1x2x4,1.0,0.0,0.0,4.741136473907596e-18,2.0729176431381457e-17,0.0,7.524691044591467e-15
strength2_openml_taskbalanced,openml-qsar-biodeg-1494,onehot_adam_mlp,4x1x2x4,0.7778423975561186,0.22215760244388139,0.0,0.39494684878912245,0.39494684878913683,0.0,-5.230556136986968e-15
strength2_openml_taskbalanced,openml-abalone-183,ordinal_forest,4x4x1x4,0.6825376131944969,0.31746238680550326,0.0,0.564377576543117,0.5643775765434395,0.0,0.0
strength2_openml_taskbalanced,openml-abalone-183,onehot_adam_mlp,4x4x1x4,0.7532960280854661,0.24670397191453378,0.0,0.4385848389591712,0.43858483895902795,0.0,0.0
strength2_openml_taskbalanced,openml-kin8nm-189,ordinal_forest,4x1x1x4,1.0,0.0,0.0,0.0,0.0,0.0,1.0105358939213226e-14
strength2_openml_taskbalanced,openml-kin8nm-189,onehot_adam_mlp,4x1x1x4,1.0,0.0,0.0,0.0,0.0,0.0,6.707231459106521e-15
strength2_openml_taskbalanced,openml-pol-201,ordinal_forest,4x1x1x4,1.0,0.0,0.0,0.0,0.0,0.0,4.493357159330248e-14
strength2_openml_taskbalanced,openml-pol-201,onehot_adam_mlp,4x1x1x4,1.0,0.0,0.0,0.0,0.0,0.0,5.665407706354232e-14
strength2_openml_taskbalanced,openml-puma32h-308,ordinal_forest,4x1x1x4,1.0,0.0,0.0,0.0,0.0,0.0,4.197854020244191e-15
strength2_openml_taskbalanced,openml-puma32h-308,onehot_adam_mlp,4x1x1x4,1.0,0.0,0.0,0.0,0.0,0.0,-3.3082725903299998e-15
strength2_openml_multiclass,openml-vehicle-54,ordinal_forest,4x1x4x4,1.0,0.0,0.0,3.1974017467589406e-17,5.411139814602961e-17,0.0,0.0
strength2_openml_multiclass,openml-vehicle-54,onehot_adam_mlp,4x1x4x4,0.7211187436039624,0.2788812563960376,0.0,0.4957889002596226,0.4957889002595898,0.0,0.0
strength2_openml_multiclass,openml-segment-36,ordinal_forest,4x1x4x4,1.0,0.0,0.0,3.198555705370429e-17,9.94157176963178e-17,0.0,0.0
strength2_openml_multiclass,openml-segment-36,onehot_adam_mlp,4x1x4x4,0.65098961946535,0.34901038053465,0.0,0.6204628987282669,0.6204628987281541,0.0,0.0
