method,component,energy,observed_mse,predicted_mse,absolute_error
strength1,feature,1.0,6.419766481290786e-35,8.673617379884035e-18,8.673617379884035e-18
strength1,category,1.0,6.419766481290786e-35,7.632783294297951e-17,7.632783294297951e-17
strength1,class,1.0,0.0,-4.0766001685454967e-17,4.0766001685454967e-17
strength1,seed,1.0000000000000002,0.0,7.401486830834378e-17,7.401486830834378e-17
strength1,feature:category,0.9999999999999998,0.3333333333333333,0.3333333333333332,1.1102230246251565e-16
strength1,feature:class,1.0,0.3333333333333333,0.3333333333333331,2.220446049250313e-16
strength1,feature:seed,1.0000000000000002,0.3333333333333335,0.3333333333333333,1.6653345369377348e-16
strength1,category:class,1.0,0.3333333333333333,0.3333333333333331,2.220446049250313e-16
strength1,category:seed,1.0000000000000002,0.3333333333333334,0.3333333333333333,1.1102230246251565e-16
strength1,class:seed,1.0000000000000002,0.3333333333333334,0.33333333333333315,2.7755575615628914e-16
strength1,feature:category:class,0.9999999999999998,0.2222222222222223,0.22222222222222177,5.273559366969494e-16
strength1,feature:category:seed,0.9999999999999999,0.2222222222222222,0.22222222222222224,2.7755575615628914e-17
strength1,feature:class:seed,1.0000000000000002,0.2222222222222223,0.22222222222222188,4.163336342344337e-16
strength1,category:class:seed,1.0000000000000002,0.22222222222222227,0.2222222222222219,3.608224830031759e-16
strength1,feature:category:class:seed,0.9999999999999999,0.25925925925925924,0.2592592592592589,3.3306690738754696e-16
strength2,feature,1.0,0.0,2.7466455036299444e-18,2.7466455036299444e-18
strength2,category,1.0,0.0,2.0961242001386418e-18,2.0961242001386418e-18
strength2,class,1.0,0.0,9.974659986866641e-18,9.974659986866641e-18
strength2,seed,1.0000000000000002,0.0,-1.6028122116577378e-17,1.6028122116577378e-17
strength2,feature:category,0.9999999999999998,0.0,2.3852447794681094e-18,2.3852447794681094e-18
strength2,feature:class,1.0,0.0,1.1095002231768328e-17,1.1095002231768328e-17
strength2,feature:seed,1.0000000000000002,0.0,4.318738653733927e-18,4.318738653733927e-18
strength2,category:class,1.0,0.0,5.7010964236529444e-18,5.7010964236529444e-18
strength2,category:seed,1.0000000000000002,0.0,9.053088140253964e-18,9.053088140253964e-18
strength2,class:seed,1.0000000000000002,0.0,1.4736114527698816e-17,1.4736114527698816e-17
strength2,feature:category:class,0.9999999999999998,0.1111111111111111,0.11111111111111108,2.7755575615628914e-17
strength2,feature:category:seed,0.9999999999999999,0.1111111111111111,0.11111111111111112,1.3877787807814457e-17
strength2,feature:class:seed,1.0000000000000002,0.11111111111111113,0.11111111111111113,0.0
strength2,category:class:seed,1.0000000000000002,0.1111111111111111,0.11111111111111112,1.3877787807814457e-17
strength2,feature:category:class:seed,0.9999999999999999,0.037037037037037035,0.037037037037036896,1.3877787807814457e-16
strength3,feature,1.0,3.2098832406453932e-34,3.706616177184818e-18,3.706616177184818e-18
strength3,category,1.0,6.4197664812907865e-34,3.8398826942194946e-18,3.839882694219494e-18
strength3,class,1.0,0.0,2.4340338772299575e-17,2.4340338772299575e-17
strength3,seed,1.0000000000000002,0.0,4.0070305291443445e-18,4.0070305291443445e-18
strength3,feature:category,0.9999999999999998,6.068685501845197e-35,-3.3625325710557373e-18,3.3625325710557373e-18
strength3,feature:class,1.0,0.0,3.674993613820658e-18,3.674993613820658e-18
strength3,feature:seed,1.0000000000000002,0.0,-3.751791267705048e-18,3.751791267705048e-18
strength3,category:class,1.0,0.0,3.8060013763293226e-18,3.8060013763293226e-18
strength3,category:seed,1.0000000000000002,0.0,-3.7246862133929105e-18,3.7246862133929105e-18
strength3,class:seed,1.0000000000000002,0.0,1.1040792123144056e-17,1.1040792123144056e-17
strength3,feature:category:class,0.9999999999999998,0.0,-3.371567589159783e-18,3.371567589159783e-18
strength3,feature:category:seed,0.9999999999999999,0.0,3.0947446733608225e-18,3.0947446733608225e-18
strength3,feature:class:seed,1.0000000000000002,0.0,-4.1207211736202546e-18,4.1207211736202546e-18
strength3,category:class:seed,1.0000000000000002,1.5898952926321713e-34,-3.4084605797513053e-18,3.4084605797513053e-18
strength3,feature:category:class:seed,0.9999999999999999,0.037037037037037035,0.03703703703703701,2.7755575615628914e-17
