dataset,model,probability_strength2_lower_than_iid16,probability_strength2_lower_than_four_strength1,probability_strength2_lower_than_four_seed_blocks
compustat_kor_direction,onehot_adam_mlp,0.77978515625,0.681396484375,0.638427734375
credit_card_default,onehot_adam_mlp,0.989013671875,0.957275390625,0.93310546875
credit_card_fraud,native_histgb,0.984130859375,0.921630859375,0.7734375
credit_card_fraud,catboost_native,0.981201171875,0.95654296875,0.98095703125
credit_card_fraud,onehot_adam_mlp,0.774169921875,0.68359375,0.6943359375
heloc_credit_risk,ordinal_forest,1.0,0.99951171875,0.95361328125
heloc_credit_risk,onehot_adam_mlp,0.97998046875,0.95263671875,0.86376953125
kdd17_stock_direction,ordinal_forest,0.993408203125,0.94921875,0.98193359375
kdd17_stock_direction,onehot_adam_mlp,0.76806640625,0.706298828125,0.680419921875
kdd17_stock_return,ordinal_forest,1.0,0.998046875,0.990966796875
kdd17_stock_return,onehot_adam_mlp,0.995361328125,0.982666015625,0.933837890625
polish_bankruptcy_1year,ordinal_forest,1.0,0.998779296875,0.94921875
polish_bankruptcy_1year,catboost_native,1.0,0.999267578125,0.963134765625
polish_bankruptcy_1year,onehot_adam_mlp,0.849365234375,0.816650390625,0.83349609375
polish_bankruptcy_2year,ordinal_forest,1.0,0.998779296875,0.951171875
polish_bankruptcy_2year,catboost_native,1.0,0.998779296875,0.95361328125
polish_bankruptcy_2year,onehot_adam_mlp,0.987060546875,0.976806640625,0.935546875
polish_bankruptcy_3year,ordinal_forest,1.0,0.999267578125,0.934814453125
polish_bankruptcy_3year,catboost_native,1.0,0.998779296875,0.951171875
polish_bankruptcy_3year,onehot_adam_mlp,0.98583984375,0.967041015625,0.910888671875
polish_bankruptcy_4year,ordinal_forest,1.0,0.998779296875,0.959716796875
polish_bankruptcy_4year,catboost_native,1.0,0.999267578125,0.954833984375
polish_bankruptcy_4year,onehot_adam_mlp,0.670166015625,0.602783203125,0.64697265625
polish_bankruptcy_5year,catboost_native,1.0,0.999267578125,0.952392578125
polish_bankruptcy_5year,onehot_adam_mlp,0.8017578125,0.73681640625,0.673583984375
