dataset,family,method,selection_agreement,selection_entropy_bits,validation_quotient_regret,selected_quotient_test_loss,selected_realized_test_loss
australian_credit_approval,catboost_native,strength2,1.0,-0.0,0.0,0.2016830252612688,0.2016830252612688
australian_credit_approval,catboost_native,iid16,0.9990234375,0.011173818721219525,5.564551274598348e-06,0.20167462340786632,0.20172501883573168
australian_credit_approval,catboost_native,four_strength1,0.9990234375,0.011173818721219525,5.564551274598348e-06,0.20167462340786632,0.20171455622584405
australian_credit_approval,catboost_native,four_seed_blocks,1.0,-0.0,0.0,0.2016830252612688,0.20172320208745304
australian_credit_approval,ordinal_forest,strength2,1.0,-0.0,0.0,0.20776170384907033,0.2077766967210738
australian_credit_approval,ordinal_forest,iid16,0.7431640625,0.82193412510735,0.0002181845416493509,0.2018702370205761,0.20206359949098832
australian_credit_approval,ordinal_forest,four_strength1,0.837890625,0.639332052560352,0.0001377134369345713,0.20404313543260627,0.2041012018424129
australian_credit_approval,ordinal_forest,four_seed_blocks,0.71484375,0.8623817843585116,0.00024224291316201697,0.20122060759842275,0.2015317990462417
bank_marketing_subscription,catboost_native,strength2,1.0,-0.0,0.0,0.16086263528075984,0.16086263528075984
bank_marketing_subscription,catboost_native,iid16,1.0,-0.0,0.0,0.16086263528075984,0.16087601410605673
bank_marketing_subscription,catboost_native,four_strength1,1.0,-0.0,0.0,0.16086263528075984,0.16088151376286425
bank_marketing_subscription,catboost_native,four_seed_blocks,1.0,-0.0,0.0,0.16086263528075984,0.16088833146484322
bank_marketing_subscription,ordinal_forest,strength2,0.7373046875,0.830786459611206,3.147528207874577e-05,0.16075789127553164,0.16077823123491017
bank_marketing_subscription,ordinal_forest,iid16,0.7890625,0.7432709194035553,2.5273832449847905e-05,0.1607794802819591,0.16089039780366776
bank_marketing_subscription,ordinal_forest,four_strength1,0.8173828125,0.6857691258753654,2.1880586426488696e-05,0.1607912931345326,0.16083618869207553
bank_marketing_subscription,ordinal_forest,four_seed_blocks,0.7890625,0.7432709194035553,2.5273832449847905e-05,0.1607794802819591,0.16094080908670094
german_credit_risk,catboost_native,strength2,1.0,-0.0,0.0,0.323482808301958,0.323482808301958
german_credit_risk,catboost_native,iid16,0.5498046875,1.1887352810360887,0.0003818851021849735,0.3235454307589489,0.32421453309347725
german_credit_risk,catboost_native,four_strength1,0.5869140625,1.1591136405960252,0.00035038041424761377,0.32357214092978565,0.3241127226710785
german_credit_risk,catboost_native,four_seed_blocks,0.6025390625,1.0532954736381561,0.00027817308901069974,0.323800698555669,0.3244936742414827
german_credit_risk,ordinal_forest,strength2,1.0,-0.0,0.0,0.33870438937099256,0.33870919509041825
german_credit_risk,ordinal_forest,iid16,1.0,-0.0,0.0,0.33870438937099256,0.3392147053202417
german_credit_risk,ordinal_forest,four_strength1,1.0,-0.0,0.0,0.33870438937099256,0.338755378082056
german_credit_risk,ordinal_forest,four_seed_blocks,1.0,-0.0,0.0,0.33870438937099256,0.3394575409705083
lendingclub_loan_default,catboost_native,strength2,1.0,-0.0,0.0,0.2572182935583021,0.2572182935583021
lendingclub_loan_default,catboost_native,iid16,0.6123046875,1.240428065791868,3.757573185039618e-05,0.25724027468959987,0.25725581563590594
lendingclub_loan_default,catboost_native,four_strength1,0.712890625,1.0189517878893457,2.4867726311994195e-05,0.25724348995999424,0.257274996806217
lendingclub_loan_default,catboost_native,four_seed_blocks,0.576171875,1.335289621986556,4.498422545748642e-05,0.25723055006796414,0.257207963693495
lendingclub_loan_default,ordinal_forest,strength2,1.0,-0.0,0.0,0.2570799414687444,0.2570955825549239
lendingclub_loan_default,ordinal_forest,iid16,1.0,-0.0,0.0,0.2570799414687444,0.2571107221886054
lendingclub_loan_default,ordinal_forest,four_strength1,1.0,-0.0,0.0,0.2570799414687444,0.2571051523297967
lendingclub_loan_default,ordinal_forest,four_seed_blocks,1.0,-0.0,0.0,0.2570799414687444,0.2571292776432238
