model,extrapolation_multiplier,n,nrmse_mean,nrmse_std,nrmse_ci95_low,nrmse_ci95_high,nrmse_median,rmse_mean,r2_mean,training_seconds_mean
EQL,1.0,8,0.06507926067794503,0.06033365722770825,0.023433623728752375,0.10621108311664476,0.06346232098679729,0.09796967166251677,0.9925795584094503,1.9940490866429172
EQL,2.0,8,0.675020587624569,0.6691601576234638,0.2767338516259052,1.1185571238289622,0.4821862218100481,2.832186765966055,0.15254380430115524,1.9940490866429172
EQL,4.0,8,3.1954134176913733,3.0092578707873208,1.1169752411857727,5.2599967653800395,3.0979263775363566,44.25691543957562,-17.13434572624557,1.9940490866429172
EQL,8.0,8,15.294760368621517,14.129521229488807,5.618264534934393,25.125476934800222,14.836271319380382,812.9295993491282,-407.61764363630834,1.9940490866429172
Linear,1.0,8,0.5513771606142909,0.3865493910564672,0.2941924072876664,0.8015525311044316,0.5953938306971296,0.7756025010140837,0.5652403489925626,0.0010108646529261023
Linear,2.0,8,1.417059752141899,1.0495352037891785,0.7085300621623054,2.0441529920766377,1.654116717940821,7.065514039315321,-1.9718919671341533,0.0010108646529261023
Linear,4.0,8,1.2917992083857364,0.9273244407696868,0.6458997896069205,1.8274036520508201,1.5244733583935357,21.357834664073113,-1.4211844859287255,0.0010108646529261023
Linear,8.0,8,1.161193962556276,0.8017650607943182,0.599957991278738,1.6168259657760238,1.4016103767783836,72.54209219750254,-0.9108452297988482,0.0010108646529261023
MLP,1.0,8,0.02495640406796999,0.021110780688051785,0.010690074363229524,0.03832891339585491,0.022534449586148832,0.03781265834555881,0.9989872209673946,1.1935785494570155
MLP,2.0,8,0.37961497680188466,0.3298717736835754,0.17539907416395012,0.5945046575101288,0.32061049069506264,1.7396896565203548,0.7606790056987002,1.1935785494570155
MLP,4.0,8,0.6953806303471983,0.4988057401191179,0.39403799795060956,1.012790876551825,0.7108714229952137,11.139595134538526,0.29873950835912466,1.1935785494570155
MLP,8.0,8,0.8809672460652428,0.5691261439396677,0.48398758024391664,1.2309776418728238,0.9990432227349846,53.943468639485,-0.05951978539095899,1.1935785494570155
PolynomialSR,1.0,8,0.13266038105055628,0.14184594598945688,0.03362098141812547,0.231699812645495,0.13083893368904573,0.19750320952356137,0.9647959849550828,0.0164642269955948
PolynomialSR,2.0,8,0.16353089381085775,0.1748526228753215,0.04143157783142114,0.28563021062594546,0.1613375845617913,0.6372482107111686,0.9465058870088401,0.0164642269955948
PolynomialSR,4.0,8,0.20636725786366159,0.22065810583442882,0.10174449806882309,0.36042253224754106,0.20348854548836004,2.777599432639195,0.9148088051701997,0.0164642269955948
PolynomialSR,8.0,8,0.34865966591368114,0.375706060015026,0.0949668264365055,0.6023525381974614,0.31745427176820173,18.682242765014102,0.7549257742744477,0.0164642269955948
RandomForest,1.0,8,0.2138897442033127,0.10761082336946526,0.13765831505649093,0.2751522615977935,0.2494272115308137,0.3258309267241116,0.944118599181669,0.38517938362201676
RandomForest,2.0,8,1.3543825882538676,0.802461560482557,0.8189715525526318,1.8934835808787047,1.4298993357455705,6.856272876242219,-1.3978036819108335,0.38517938362201676
RandomForest,4.0,8,1.4141189011143533,0.6568148253875762,0.971231516009664,1.851129981222018,1.4642915478628185,22.42531871842321,-1.377212266981664,0.38517938362201676
RandomForest,8.0,8,1.3596330159910721,0.4843212786571522,1.0284477443953264,1.6964534834232854,1.3843222825408328,76.48141846521737,-1.053848151513065,0.38517938362201676
TabALU-compiled,1.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.091930852504447
TabALU-compiled,2.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.091930852504447
TabALU-compiled,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.091930852504447
TabALU-compiled,8.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.091930852504447
TabALU-hard,1.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.091930852504447
TabALU-hard,2.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.091930852504447
TabALU-hard,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.091930852504447
TabALU-hard,8.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.091930852504447
TabALU-soft,1.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.091930852504447
TabALU-soft,2.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.091930852504447
TabALU-soft,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.091930852504447
TabALU-soft,8.0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.091930852504447
