task,method,selector_improvement_count,selector_improvement_mean,selector_improvement_median,selector_improvement_std,test_improvement_count,test_improvement_mean,test_improvement_median,test_improvement_std
classification,contextual_mean,12,0.11021825974659101,0.1064429246222961,0.07407373591022237,12,0.06757819189142637,0.0517455713554089,0.06027004725771204
classification,contextual_rotating,12,0.11356204806553256,0.1063078735131272,0.07777106251915045,12,0.07029639685259419,0.05464730802178945,0.06769494656581655
classification,random_mean,12,0.11365622830252069,0.1102027565403766,0.07625221486040387,12,0.07265920123280815,0.053743542364969296,0.06856563283302179
classification,random_rotating,12,0.10330914594179041,0.10170076346037575,0.07169268251073975,12,0.07004375287293256,0.0528387056759384,0.061537422958838725
classification,row_mean,12,0.1127668916731588,0.10477774920059049,0.0794340433676109,12,0.07142819001213664,0.0400304013440429,0.07257469742297348
classification,row_rotating,12,0.10743071824216228,0.103030319400881,0.07230239240397143,12,0.06775642153306088,0.05230165453925174,0.06144865582864018
regression,contextual_mean,12,0.24211365596522605,0.21934363385910072,0.11613046150156811,12,0.20863349256614508,0.18038041028093474,0.11150219960586076
regression,contextual_rotating,12,0.23584846894075293,0.21065716801751644,0.12597988727985807,12,0.18824023543085133,0.13162229373058434,0.12377632219967018
regression,random_mean,12,0.22772376584848397,0.20391796415930513,0.12015869810835944,12,0.199008745766708,0.1598922458448191,0.1174265397225875
regression,random_rotating,12,0.2085177113427231,0.18649817534408675,0.1153341080063335,12,0.18002289902357382,0.1372753866036887,0.10671473882119643
regression,row_mean,12,0.23558767946318981,0.20065794691205124,0.11651492856681012,12,0.19385635931085698,0.15681994372487823,0.10186634168160082
regression,row_rotating,12,0.22564127927502933,0.20285194336242246,0.122290154931973,12,0.20001360459832676,0.15257202705997205,0.128548891543448
