dataset,seed,truth_expression,compiled_expression,feature_precision,feature_recall,feature_f1,operator_accuracy,exact_program,depth_error,coefficient_error
program-202608500,0,"safe_divide(safe_divide(x0, x1), x2)","(1 * safe_divide(safe_divide(x0, x1), x2) + -2.0123684e-17)",1.0,1.0,1.0,1.0,True,0.0,2.01236838074041e-17
program-202608500,1,"safe_divide(safe_divide(x0, x1), x2)","(1 * safe_divide(safe_divide(x0, x1), x2) + -2.0123684e-17)",1.0,1.0,1.0,1.0,True,0.0,2.01236838074041e-17
program-202608500,2,"safe_divide(safe_divide(x0, x1), x2)","(1 * safe_divide(safe_divide(x0, x1), x2) + -2.0123684e-17)",1.0,1.0,1.0,1.0,True,0.0,2.01236838074041e-17
program-202608500,3,"safe_divide(safe_divide(x0, x1), x2)","(1 * safe_divide(safe_divide(x0, x1), x2) + -2.0123684e-17)",1.0,1.0,1.0,1.0,True,0.0,2.01236838074041e-17
program-202608500,4,"safe_divide(safe_divide(x0, x1), x2)","(1 * safe_divide(safe_divide(x0, x1), x2) + -2.0123684e-17)",1.0,1.0,1.0,1.0,True,0.0,2.01236838074041e-17
program-202608501,0,"safe_divide(add(x2, x3), x1)","(1 * safe_divide(add(x2, x3), x1) + -1.4549458e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3659406339786395e-16
program-202608501,1,"safe_divide(add(x2, x3), x1)","(1 * safe_divide(add(x2, x3), x1) + -1.4549458e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3659406339786395e-16
program-202608501,2,"safe_divide(add(x2, x3), x1)","(1 * safe_divide(add(x2, x3), x1) + -1.4549458e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3659406339786395e-16
program-202608501,3,"safe_divide(add(x2, x3), x1)","(1 * safe_divide(add(x2, x3), x1) + -1.4549458e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3659406339786395e-16
program-202608501,4,"safe_divide(add(x2, x3), x1)","(1 * safe_divide(add(x2, x3), x1) + -1.4549458e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3659406339786395e-16
