dataset,model,seed,method,representation_id,shape_match,train_relative_error,validation_relative_error,test_relative_error
credit-g,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m0,True,1.6027789804838454e-15,1.6205050758638688e-15,1.5895964167391073e-15
credit-g,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m1,True,1.8861388049254895e-15,1.96624385012156e-15,1.866854535962357e-15
credit-g,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m2,True,1.6961859233595446e-15,1.7183444213102006e-15,1.7050057119510144e-15
credit-g,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m3,True,1.3401156074217738e-15,1.3587116905007467e-15,1.334998307644507e-15
credit-g,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m4,True,1.0043867709677189e-15,1.008226873642142e-15,1.0083501126261926e-15
credit-g,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m5,True,1.1598679422080201e-15,1.178505689982246e-15,1.1593939245844647e-15
credit-g,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m6,True,1.468770250616882e-15,1.4813608280724635e-15,1.4783061110335398e-15
credit-g,tabpfn_2_6,1,PCA,pca__v1__orthogonal_all__m7,True,1.9481662210617142e-15,1.9836639475796892e-15,1.95644590321869e-15
credit-g,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,3.396997075053826e-16,3.482135858609841e-16,3.435453093349389e-16
credit-g,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,2.15523733122213e-16,2.2757194096009654e-16,2.1935110262690768e-16
credit-g,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,3.117998206908115e-16,3.2182323946337464e-16,3.1411707497894003e-16
credit-g,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,3.6211393476357475e-16,3.7569450544104944e-16,3.672261374016631e-16
credit-g,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,3.019355504996323e-16,3.0767282128005093e-16,2.990755166147127e-16
credit-g,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,3.5593059898547645e-16,3.7292212886532423e-16,3.522639799348997e-16
credit-g,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,3.3688599840209165e-16,3.647508541417368e-16,3.543930924906225e-16
credit-g,tabpfn_2_6,1,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,4.1813877158860666e-16,4.3714267355148074e-16,4.342154139890298e-16
credit-g,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,4.048403681775968e-16,4.161713427609988e-16,4.149942699482833e-16
credit-g,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,2.218421078745337e-16,2.413391712643684e-16,2.2694020442655695e-16
credit-g,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,3.7277624542032634e-16,3.8956060957068523e-16,3.7802691386699696e-16
credit-g,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,4.234881122228824e-16,4.458855107869547e-16,4.3697722686901285e-16
credit-g,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,2.7434819409724197e-16,2.828008630925894e-16,2.739837990640895e-16
credit-g,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,4.496500676521796e-16,4.752360043905411e-16,4.456254173648832e-16
credit-g,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,3.61049590137662e-16,3.975264665459289e-16,3.8490965680251856e-16
credit-g,tabpfn_2_6,1,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,5.17426208660665e-16,5.412622626416995e-16,5.413654619697899e-16
credit-g,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m0,True,3.1815102796265634e-16,3.23147919725222e-16,3.2490347597730166e-16
credit-g,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m1,True,2.8838688126341843e-16,2.96818733762145e-16,2.880687050428143e-16
credit-g,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m2,True,3.8575033874518937e-16,3.9578561189948715e-16,3.9459876414140657e-16
credit-g,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m3,True,3.548064357222537e-16,3.573898018722085e-16,3.5757337885369517e-16
credit-g,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m4,True,3.1773929190443865e-16,3.2834486735194795e-16,3.249768692250707e-16
credit-g,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m5,True,3.4302796415198083e-16,3.465566623506526e-16,3.5484751856795614e-16
credit-g,tabpfn_2_6,1,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m6,True,3.4487349176375866e-16,3.5455640113552923e-16,3.4764064392566354e-16
