dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,prediction_reused_due_to_coordinate_identity
house_16H,regression,catboost,1,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m4,4,False,validation,49484.31646518884,0.0,0.0,True
house_16H,regression,catboost,1,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m4,4,False,test,35184.56926953966,0.0,0.0,True
house_16H,regression,catboost,1,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m5,5,False,validation,49484.31646518884,0.0,0.0,True
house_16H,regression,catboost,1,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m5,5,False,test,35184.56926953966,0.0,0.0,True
house_16H,regression,catboost,1,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m6,6,False,validation,49484.31646518884,0.0,0.0,True
house_16H,regression,catboost,1,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m6,6,False,test,35184.56926953966,0.0,0.0,True
house_16H,regression,catboost,1,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m7,7,False,validation,49484.31646518884,0.0,0.0,True
house_16H,regression,catboost,1,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m7,7,False,test,35184.56926953966,0.0,0.0,True
house_16H,regression,catboost,1,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,validation,47991.84418219877,0.0,7.1712718000635505,False
house_16H,regression,catboost,1,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,test,34239.18104746705,0.0,7.1712718000635505,False
house_16H,regression,catboost,1,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,validation,47991.84418219877,0.0,0.0,True
house_16H,regression,catboost,1,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,test,34239.18104746705,0.0,0.0,True
