dataset,model,seed,method,representation_id,shape_match,train_relative_error,validation_relative_error,test_relative_error
california_housing,tabm_d,0,PCA,pca__v1__orthogonal_all__m0,True,3.343342118437393e-15,3.4430903476137688e-15,3.3494371914660017e-15
california_housing,tabm_d,0,PCA,pca__v1__orthogonal_all__m1,True,5.243897091636398e-15,5.397012069920453e-15,5.2330872371988564e-15
california_housing,tabm_d,0,PCA,pca__v1__orthogonal_all__m2,True,3.3139761278767574e-15,3.4493325271576315e-15,3.3289991070566393e-15
california_housing,tabm_d,0,PCA,pca__v1__orthogonal_all__m3,True,3.376010253299657e-15,3.5045215425118752e-15,3.365772723865938e-15
california_housing,tabm_d,0,PCA,pca__v1__orthogonal_all__m4,True,3.16541159175359e-15,3.3155094507802282e-15,3.1740564487950544e-15
california_housing,tabm_d,0,PCA,pca__v1__orthogonal_all__m5,True,4.378831257289814e-15,4.596689470025779e-15,4.366828985251616e-15
california_housing,tabm_d,0,PCA,pca__v1__orthogonal_all__m6,True,4.825736979103142e-15,4.921525446025584e-15,4.8958716411498895e-15
california_housing,tabm_d,0,PCA,pca__v1__orthogonal_all__m7,True,5.011441196863767e-15,5.160902205800637e-15,5.01406775762123e-15
california_housing,tabm_d,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,6.841148714204131e-16,7.055542370140554e-16,7.000271685280109e-16
california_housing,tabm_d,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,7.788581358143192e-16,7.836807030087356e-16,7.911531741318374e-16
california_housing,tabm_d,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,5.818602944694413e-16,5.907570585170699e-16,5.980085692253083e-16
california_housing,tabm_d,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,6.61188638231158e-16,6.76952377414126e-16,6.749047750606908e-16
california_housing,tabm_d,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,7.56987509832678e-16,7.615758915250358e-16,7.814973195187149e-16
california_housing,tabm_d,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,8.01597130697659e-16,8.310288330566965e-16,8.259369456722711e-16
california_housing,tabm_d,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,6.43601826031774e-16,6.402527526563215e-16,6.537278029385602e-16
california_housing,tabm_d,0,GramAnchor,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,6.624626606290732e-16,6.696154500509923e-16,6.693349599097835e-16
california_housing,tabm_d,0,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m0,True,8.447671363136444e-16,8.940942613852977e-16,8.756436903889865e-16
california_housing,tabm_d,0,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m1,True,9.472533769039773e-16,9.696529459802417e-16,9.769362587188362e-16
california_housing,tabm_d,0,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m2,True,6.820331833870614e-16,7.042859819279175e-16,7.119096145191877e-16
california_housing,tabm_d,0,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m3,True,8.26809884109541e-16,8.62435622060898e-16,8.54567098667154e-16
california_housing,tabm_d,0,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m4,True,9.508923748472013e-16,9.734489926296176e-16,9.940266866823761e-16
california_housing,tabm_d,0,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m5,True,1.0458981493347566e-15,1.1059621792392972e-15,1.0921606612714052e-15
california_housing,tabm_d,0,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m6,True,8.211090135441973e-16,8.289273480783876e-16,8.43311131075931e-16
california_housing,tabm_d,0,GramAnchor-m8,gram_anchor__pivot_tie_v2__orthogonal_all__m7,True,8.233722033191825e-16,8.445478460624291e-16,8.402559951432221e-16
california_housing,tabm_d,0,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m0,True,7.070404324725209e-16,7.047426679897193e-16,7.110005004516391e-16
california_housing,tabm_d,0,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m1,True,7.517618789145861e-16,7.44288388080467e-16,7.604360017824746e-16
california_housing,tabm_d,0,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m2,True,7.410636530322326e-16,7.332489273282011e-16,7.534031973885219e-16
california_housing,tabm_d,0,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m3,True,6.80236574630348e-16,6.827207264588262e-16,6.8960915123523e-16
california_housing,tabm_d,0,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m4,True,7.989234159670928e-16,7.995463676868069e-16,8.103014117710478e-16
california_housing,tabm_d,0,GramDistance,gram_distance__pivot_tie_v2__orthogonal_all__m5,True,7.770452477789085e-16,7.747801086971231e-16,7.898262869917438e-16
