dataset,seed,channels,n_test,n_train,n_validation,rows,target,target_mean,target_scale,epochs,fit_wall_seconds,parameters,phase_spread_rms,phase_materiality,method,rmse,mae,quotient_mse,rmse_sd_design
ETTh1,20261121,7,2048,10333,2048,17420,6,17.292530059814453,8.513664245605469,14,5.258422549813986,165528,0.06973977386951447,0.19176472699601127,canonical,0.3636736273765564,0.29057642817497253,0.007503816857933998,
ETTh1,20261121,7,2048,10333,2048,17420,6,17.292530059814453,8.513664245605469,14,5.258422549813986,165528,0.06973977386951447,0.19176472699601127,iid4,0.33233095426112413,0.26447529112920165,0.0010105450323862897,0.006578867718088665
ETTh1,20261121,7,2048,10333,2048,17420,6,17.292530059814453,8.513664245605469,14,5.258422549813986,165528,0.06973977386951447,0.19176472699601127,phasecover4,0.3314574062824249,0.26329007744789124,0.00048228036030195653,
ETTh1,20261121,7,2048,10333,2048,17420,6,17.292530059814453,8.513664245605469,14,5.258422549813986,165528,0.06973977386951447,0.19176472699601127,full16,0.3319055438041687,0.2643970847129822,0.0,
ETTh1,20261122,7,2048,10333,2048,17420,6,17.292530059814453,8.513664245605469,21,8.29550110292621,165528,0.07320471107959747,0.2563268475473849,canonical,0.2855912744998932,0.22453778982162476,0.0075973086059093475,
ETTh1,20261122,7,2048,10333,2048,17420,6,17.292530059814453,8.513664245605469,21,8.29550110292621,165528,0.07320471107959747,0.2563268475473849,iid4,0.26293912529945374,0.20547202741727233,0.001103120848256367,0.0025049785263214957
ETTh1,20261122,7,2048,10333,2048,17420,6,17.292530059814453,8.513664245605469,21,8.29550110292621,165528,0.07320471107959747,0.2563268475473849,phasecover4,0.26655998826026917,0.2081241011619568,0.0005105943419039249,
ETTh1,20261122,7,2048,10333,2048,17420,6,17.292530059814453,8.513664245605469,21,8.29550110292621,165528,0.07320471107959747,0.2563268475473849,full16,0.26108571887016296,0.20382928848266602,0.0,
ETTh1,20261123,7,2048,10333,2048,17420,6,17.292530059814453,8.513664245605469,15,4.40005142102018,165528,0.07899807393550873,0.23886424263603395,canonical,0.33072373270988464,0.26113179326057434,0.011200587265193462,
ETTh1,20261123,7,2048,10333,2048,17420,6,17.292530059814453,8.513664245605469,15,4.40005142102018,165528,0.07899807393550873,0.23886424263603395,iid4,0.2752404944039881,0.21167846699245274,0.0013286631142364058,0.008669148166387456
ETTh1,20261123,7,2048,10333,2048,17420,6,17.292530059814453,8.513664245605469,15,4.40005142102018,165528,0.07899807393550873,0.23886424263603395,phasecover4,0.2843569219112396,0.2197495549917221,0.0005971676437184215,
ETTh1,20261123,7,2048,10333,2048,17420,6,17.292530059814453,8.513664245605469,15,4.40005142102018,165528,0.07899807393550873,0.23886424263603395,full16,0.2732916474342346,0.20967476069927216,0.0,
Exchange,20261121,8,1495,4433,1495,7588,0,0.7025927305221558,0.08939016610383987,7,1.222809226019308,167064,0.01411295123398304,0.011546385876267756,canonical,1.2222830057144165,1.0163086652755737,0.0001241564896190539,
Exchange,20261121,8,1495,4433,1495,7588,0,0.7025927305221558,0.08939016610383987,7,1.222809226019308,167064,0.01411295123398304,0.011546385876267756,iid4,1.2248497679829597,1.016814211383462,3.9747395419453824e-05,0.001344572684519365
Exchange,20261121,8,1495,4433,1495,7588,0,0.7025927305221558,0.08939016610383987,7,1.222809226019308,167064,0.01411295123398304,0.011546385876267756,phasecover4,1.2248358726501465,1.0167711973190308,1.0325953553547151e-05,
Exchange,20261121,8,1495,4433,1495,7588,0,0.7025927305221558,0.08939016610383987,7,1.222809226019308,167064,0.01411295123398304,0.011546385876267756,full16,1.2244430780410767,1.0166692733764648,0.0,
Exchange,20261122,8,1495,4433,1495,7588,0,0.7025927305221558,0.08939016610383987,8,1.3469564118422568,167064,0.02646501734852791,0.024395719305883818,canonical,1.084822177886963,0.9083706736564636,0.00022975585306994617,
Exchange,20261122,8,1495,4433,1495,7588,0,0.7025927305221558,0.08939016610383987,8,1.3469564118422568,167064,0.02646501734852791,0.024395719305883818,iid4,1.0800065826624632,0.9042210029438138,0.00013683946153264515,0.0034598852581421303
