dataset,seed,draw,phases,rmse,mae,quotient_mse
ETTh1,20261121,0,0-3-5-9,0.34475311636924744,0.27692651748657227,0.0007465309463441372
ETTh1,20261121,1,4-6-9-11,0.3269698917865753,0.2597294747829437,0.0009514088742434978
ETTh1,20261121,2,0-3-6-10,0.34605520963668823,0.27782440185546875,0.0006879913271404803
ETTh1,20261121,3,1-3-8-15,0.33190253376960754,0.26400792598724365,0.0010009878315031528
ETTh1,20261121,4,3-4-7-13,0.32907959818840027,0.2619301974773407,0.0007354642148129642
ETTh1,20261121,5,6-9-12-13,0.3305857181549072,0.2626388370990753,0.0009273434989154339
ETTh1,20261121,6,4-5-7-8,0.323718398809433,0.25653982162475586,0.0019004113273695111
ETTh1,20261121,7,2-5-10-11,0.34039223194122314,0.27359411120414734,0.0006632416625507176
ETTh1,20261121,8,4-6-9-13,0.3260129392147064,0.25883719325065613,0.0005657364963553846
ETTh1,20261121,9,11-12-13-14,0.33639007806777954,0.26707446575164795,0.0026185757014900446
ETTh1,20261121,10,1-2-4-15,0.32876166701316833,0.26098939776420593,0.0022986005060374737
ETTh1,20261121,11,1-13-14-15,0.33021050691604614,0.2615146338939667,0.001956871012225747
ETTh1,20261121,12,0-11-13-15,0.3411206305027008,0.2710510790348053,0.0022087895777076483
ETTh1,20261121,13,3-4-7-12,0.32924360036849976,0.26206931471824646,0.0008326393435709178
ETTh1,20261121,14,3-4-5-15,0.3374587893486023,0.2698836028575897,0.0013722344301640987
ETTh1,20261121,15,0-10-11-15,0.3439277708530426,0.27410581707954407,0.001646811026148498
ETTh1,20261121,16,0-1-6-13,0.33081626892089844,0.26287296414375305,0.0007869398104958236
ETTh1,20261121,17,0-3-7-12,0.33822691440582275,0.26989713311195374,0.00039974242099560797
ETTh1,20261121,18,1-3-11-13,0.333042711019516,0.26594921946525574,0.0007202781271189451
ETTh1,20261121,19,1-2-3-7,0.3330131769180298,0.26566585898399353,0.0024104334879666567
ETTh1,20261121,20,0-4-7-14,0.32948997616767883,0.26120343804359436,0.0006399917765520513
ETTh1,20261121,21,3-10-12-15,0.3426855504512787,0.2744278609752655,0.000657376425806433
ETTh1,20261121,22,4-7-9-12,0.3227645754814148,0.2555045783519745,0.0010417926823720336
ETTh1,20261121,23,1-5-14-15,0.3302834630012512,0.26237979531288147,0.0011489760363474488
ETTh1,20261121,24,1-4-5-7,0.3202076256275177,0.25361981987953186,0.002047675894573331
ETTh1,20261121,25,0-1-5-7,0.3284747302532196,0.26087939739227295,0.0009814054938033223
ETTh1,20261121,26,0-8-9-12,0.33574429154396057,0.26667559146881104,0.0009821397252380848
ETTh1,20261121,27,0-4-5-14,0.336291640996933,0.2682962119579315,0.0007774386904202402
ETTh1,20261121,28,2-5-13-15,0.3372694253921509,0.26973360776901245,0.0007139211520552635
ETTh1,20261121,29,5-12-14-15,0.3357171416282654,0.26719826459884644,0.0009920982411131263
ETTh1,20261121,30,1-8-9-10,0.3279847800731659,0.2605019509792328,0.0009215422905981541
ETTh1,20261121,31,1-6-7-14,0.32089608907699585,0.2535460293292999,0.0009249846916645765
ETTh1,20261121,32,7-10-11-13,0.33194661140441895,0.2636735737323761,0.0014401505468413234
ETTh1,20261121,33,5-11-14-15,0.3357105851173401,0.2673203945159912,0.0007592650945298374
ETTh1,20261121,34,3-5-8-14,0.33829158544540405,0.2708003520965576,0.0004885517992079258
ETTh1,20261121,35,2-6-12-13,0.3332291543483734,0.2660023868083954,0.00034812025842256844
ETTh1,20261121,36,4-5-10-14,0.3336917757987976,0.2665241062641144,0.0003494595584925264
ETTh1,20261121,37,1-7-8-11,0.3195304870605469,0.2523025572299957,0.0009582540369592607
ETTh1,20261121,38,6-11-12-14,0.33261874318122864,0.2643229365348816,0.0010360990418121219
ETTh1,20261121,39,7-10-12-15,0.3315459191799164,0.26295366883277893,0.00084541185060516
ETTh1,20261121,40,4-7-11-15,0.3236468732357025,0.2559417486190796,0.000556692888494581
ETTh1,20261121,41,4-7-9-12,0.3227645754814148,0.2555045783519745,0.0010417926823720336
ETTh1,20261121,42,4-7-9-11,0.3234814703464508,0.2561689019203186,0.0012766598956659436
ETTh1,20261121,43,1-4-12-14,0.32349053025245667,0.25630712509155273,0.000740601506549865
ETTh1,20261121,44,1-8-12-13,0.32415637373924255,0.2567419111728668,0.0006293921614997089
ETTh1,20261121,45,3-6-9-14,0.33697232604026794,0.2692694664001465,0.00030710321152582765
ETTh1,20261121,46,3-7-9-10,0.3366689682006836,0.26894763112068176,0.0009426833130419254
