dataset,seed,phase,rmse,mae,quotient_mse
ETTh1,20261121,0,0.3636736273765564,0.29057642817497253,0.007503816857933998
ETTh1,20261121,1,0.3217872679233551,0.2534904181957245,0.009047634899616241
ETTh1,20261121,2,0.35348621010780334,0.2847990095615387,0.0071363733150064945
ETTh1,20261121,3,0.36478981375694275,0.29603028297424316,0.006857261061668396
ETTh1,20261121,4,0.32243582606315613,0.25550276041030884,0.004926107358187437
ETTh1,20261121,5,0.34189116954803467,0.27435293793678284,0.003906165948137641
ETTh1,20261121,6,0.3315396010875702,0.2630831301212311,0.004121778067201376
ETTh1,20261121,7,0.31612855195999146,0.24820661544799805,0.00451780715957284
ETTh1,20261121,8,0.3275158405303955,0.2585924565792084,0.00313545111566782
ETTh1,20261121,9,0.33391955494880676,0.26521047949790955,0.0030219973996281624
ETTh1,20261121,10,0.35012087225914,0.28130021691322327,0.0030854714568704367
ETTh1,20261121,11,0.3384353816509247,0.2690998613834381,0.004022630397230387
ETTh1,20261121,12,0.33619996905326843,0.2669622600078583,0.0034281753469258547
ETTh1,20261121,13,0.33649832010269165,0.2669673264026642,0.003672050079330802
ETTh1,20261121,14,0.34162575006484985,0.2711663842201233,0.004226487595587969
ETTh1,20261121,15,0.34204867482185364,0.27037107944488525,0.005208974238485098
ETTh1,20261122,0,0.2855912744998932,0.22453778982162476,0.0075973086059093475
ETTh1,20261122,1,0.2785000801086426,0.2174350470304489,0.006944764405488968
ETTh1,20261122,2,0.2762763202190399,0.2184666246175766,0.00629175640642643
ETTh1,20261122,3,0.27132755517959595,0.21323604881763458,0.0054154046811163425
ETTh1,20261122,4,0.27578455209732056,0.21613340079784393,0.004474680870771408
ETTh1,20261122,5,0.27684083580970764,0.21665258705615997,0.004991458263248205
ETTh1,20261122,6,0.2698800265789032,0.21058355271816254,0.004442048724740744
ETTh1,20261122,7,0.2635764181613922,0.20509620010852814,0.004038669168949127
ETTh1,20261122,8,0.2714838981628418,0.21125279366970062,0.004607124254107475
ETTh1,20261122,9,0.26630738377571106,0.20817434787750244,0.004520808812230825
ETTh1,20261122,10,0.27036502957344055,0.20914243161678314,0.004754175897687674
ETTh1,20261122,11,0.26637744903564453,0.20872284471988678,0.005085021257400513
ETTh1,20261122,12,0.269412636756897,0.21184776723384857,0.005052483640611172
ETTh1,20261122,13,0.26407352089881897,0.20866841077804565,0.0060632601380348206
ETTh1,20261122,14,0.26561465859413147,0.20861387252807617,0.00522581348195672
ETTh1,20261122,15,0.26602813601493835,0.2104107141494751,0.006238082889467478
ETTh1,20261123,0,0.33072373270988464,0.26113179326057434,0.011200587265193462
ETTh1,20261123,1,0.2905615568161011,0.22429881989955902,0.008045241236686707
ETTh1,20261123,2,0.29883095622062683,0.2328016310930252,0.008145892061293125
ETTh1,20261123,3,0.3026219308376312,0.2356109768152237,0.006772087886929512
ETTh1,20261123,4,0.29993295669555664,0.23348039388656616,0.005925024393945932
ETTh1,20261123,5,0.294121652841568,0.22833259403705597,0.005041745491325855
ETTh1,20261123,6,0.2895324230194092,0.22417998313903809,0.004677854478359222
ETTh1,20261123,7,0.2790680229663849,0.21426363289356232,0.003686223179101944
ETTh1,20261123,8,0.2848726511001587,0.21990065276622772,0.003478088416159153
ETTh1,20261123,9,0.27175039052963257,0.20964521169662476,0.004158207681030035
ETTh1,20261123,10,0.2755018472671509,0.21289245784282684,0.004869148600846529
ETTh1,20261123,11,0.26303526759147644,0.20310361683368683,0.005686377640813589
ETTh1,20261123,12,0.2612396776676178,0.20200733840465546,0.007086077705025673
ETTh1,20261123,13,0.2609192430973053,0.20110370218753815,0.0073700654320418835
ETTh1,20261123,14,0.2631470263004303,0.20258116722106934,0.007510898169130087
ETTh1,20261123,15,0.27630379796028137,0.21284158527851105,0.00619760574772954
Exchange,20261121,0,1.2222830057144165,1.0163086652755737,0.0001241564896190539
Exchange,20261121,1,1.2211107015609741,1.0140949487686157,0.00016326319018844515
Exchange,20261121,2,1.220044732093811,1.0158098936080933,0.000580469670239836
Exchange,20261121,3,1.2282544374465942,1.0171921253204346,0.0002857684448827058
Exchange,20261121,4,1.2311573028564453,1.0186502933502197,0.00041072876774705946
Exchange,20261121,5,1.2304633855819702,1.0188716650009155,0.00036047803587280214
Exchange,20261121,6,1.2266795635223389,1.0170644521713257,0.00011219531734241173
Exchange,20261121,7,1.2245663404464722,1.0178239345550537,0.00010790069063659757
Exchange,20261121,8,1.2236807346343994,1.0157861709594727,4.730054206447676e-05
Exchange,20261121,9,1.223522424697876,1.0164870023727417,8.172047819243744e-05
Exchange,20261121,10,1.2234210968017578,1.0165789127349854,6.34791431366466e-05
Exchange,20261121,11,1.2223435640335083,1.0162190198898315,7.318754069274291e-05
Exchange,20261121,12,1.2224581241607666,1.0164111852645874,9.096457506529987e-05
Exchange,20261121,13,1.2253531217575073,1.0173026323318481,0.0002494313521310687
Exchange,20261121,14,1.2234926223754883,1.0159218311309814,0.0002617843565531075
Exchange,20261121,15,1.2234992980957031,1.0165215730667114,0.00017397810006514192
Exchange,20261122,0,1.084822177886963,0.9083706736564636,0.00022975585306994617
Exchange,20261122,1,1.0647639036178589,0.8955539464950562,0.003515396034345031
Exchange,20261122,2,1.0640941858291626,0.8956520557403564,0.0017294356366619468
Exchange,20261122,3,1.0677733421325684,0.8927972912788391,0.00037997140316292644
Exchange,20261122,4,1.0746721029281616,0.896532416343689,0.0004827996308449656
Exchange,20261122,5,1.082370638847351,0.9034072160720825,0.00038639677222818136
Exchange,20261122,6,1.08298659324646,0.9034457206726074,0.00045867450535297394
Exchange,20261122,7,1.0865134000778198,0.9062427878379822,0.0007122779497876763
Exchange,20261122,8,1.0767852067947388,0.902019202709198,0.0004663826257456094
Exchange,20261122,9,1.0797592401504517,0.9080336093902588,0.0005104058654978871
Exchange,20261122,10,1.0815517902374268,0.9088648557662964,0.00027953466633334756
Exchange,20261122,11,1.0812023878097534,0.90740567445755,0.00023767688253428787
Exchange,20261122,12,1.0758944749832153,0.8994985818862915,0.0004089037829544395
Exchange,20261122,13,1.0868991613388062,0.9120440483093262,0.00036929966881871223
Exchange,20261122,14,1.0900012254714966,0.912241518497467,0.0004075808101333678
Exchange,20261122,15,1.091454029083252,0.912121593952179,0.0006318619707599282
Exchange,20261123,0,1.0157233476638794,0.8703954815864563,0.0006002709269523621
Exchange,20261123,1,1.019518494606018,0.8741421103477478,0.0008884656126610935
Exchange,20261123,2,0.9997754693031311,0.8474349975585938,0.0015341597609221935
Exchange,20261123,3,0.9991443157196045,0.8453981876373291,0.001959932502359152
Exchange,20261123,4,1.0021283626556396,0.8533123731613159,0.00037720997352153063
Exchange,20261123,5,1.0007781982421875,0.852394163608551,0.0004385497304610908
Exchange,20261123,6,1.0053635835647583,0.8584230542182922,0.0001370687095914036
Exchange,20261123,7,0.999289870262146,0.8515306115150452,0.0003749587049242109
Exchange,20261123,8,1.0011193752288818,0.8533875942230225,0.00013336437405087054
Exchange,20261123,9,0.9997960925102234,0.8530737161636353,0.00014222685422282666
Exchange,20261123,10,1.0040295124053955,0.8580584526062012,0.0001827473024604842
Exchange,20261123,11,1.0088684558868408,0.8640882968902588,0.000924103194847703
Exchange,20261123,12,1.016200065612793,0.870641827583313,0.0011523900320753455
Exchange,20261123,13,1.0124317407608032,0.8678717613220215,0.000624444626737386
Exchange,20261123,14,1.0129739046096802,0.8680849075317383,0.00031237691291607916
Exchange,20261123,15,1.0106281042099,0.862160861492157,0.0003859355056192726
Solar,20261121,0,0.4018843472003937,0.23292429745197296,0.01806599274277687
Solar,20261121,1,0.36415085196495056,0.215475395321846,0.022443870082497597
Solar,20261121,2,0.3816937208175659,0.22291786968708038,0.01876104064285755
Solar,20261121,3,0.3878445327281952,0.2267037034034729,0.018751362338662148
Solar,20261121,4,0.40543317794799805,0.23881322145462036,0.02918582409620285
Solar,20261121,5,0.40780186653137207,0.2401018589735031,0.028650566935539246
Solar,20261121,6,0.39368024468421936,0.23264800012111664,0.015241462737321854
Solar,20261121,7,0.3927488625049591,0.23150038719177246,0.01235251035541296
Solar,20261121,8,0.39126822352409363,0.22998197376728058,0.008726222440600395
Solar,20261121,9,0.3937722146511078,0.23029708862304688,0.008296663872897625
Solar,20261121,10,0.3976442515850067,0.23347942531108856,0.012506087310612202
Solar,20261121,11,0.4028056263923645,0.23645220696926117,0.01621612347662449
Solar,20261121,12,0.3991636633872986,0.2335774153470993,0.01728682406246662
Solar,20261121,13,0.3957555592060089,0.23231267929077148,0.018317092210054398
Solar,20261121,14,0.396011620759964,0.2334107607603073,0.021889621391892433
