stage,dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,default_task_error,task_error,task_effect,disagreement,fit_seconds,source,interface_location
dimension,phoneme,classification,controlled_mlp,0,PLE,8,validation,default,-1,0.29511571409791026,0.29511571409791026,0.0,0.0,0.2538799690082669,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,0,0.29511571409791026,0.2927787912196709,-0.002336922878239389,0.04571537923839584,0.26701639988459647,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,1,0.29511571409791026,0.29349812584660656,-0.0016175882513037032,0.04042730018939071,0.3258895818144083,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,2,0.29511571409791026,0.29827000346849486,0.0031542893705845954,0.04561709751281008,0.36462191701866686,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,3,0.29511571409791026,0.2927898540750077,-0.0023258600229025816,0.05373271695342014,0.2867019202094525,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,4,0.29511571409791026,0.29115765719202713,-0.003958056905883134,0.04074063163168909,0.34880634187720716,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,5,0.29511571409791026,0.2973328340131126,0.002217119915202348,0.053118903338070914,0.2834770018234849,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,6,0.29511571409791026,0.29809049973878426,0.0029747856408740003,0.040653331220004855,0.2545111000072211,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,validation,random_orthogonal,7,0.29511571409791026,0.30211843228253543,0.007002718184625167,0.05083436050426702,0.2354410740081221,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,test,default,-1,0.33507949633612333,0.33507949633612333,0.0,0.0,0.2538799690082669,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,0,0.33507949633612333,0.32942557929403804,-0.005653917042085288,0.04730387495475207,0.26701639988459647,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,1,0.33507949633612333,0.3316070786246345,-0.0034724177114888177,0.03548291643924441,0.3258895818144083,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,2,0.33507949633612333,0.3260741180209587,-0.009005378315164625,0.050385254839301855,0.36462191701866686,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,3,0.33507949633612333,0.31474342127461774,-0.020336075061505587,0.05802075582392078,0.2867019202094525,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,4,0.33507949633612333,0.3212451441034442,-0.013834352232679148,0.05045467383594415,0.34880634187720716,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,5,0.33507949633612333,0.3240564685535276,-0.011023027782595729,0.05220433797239119,0.2834770018234849,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,6,0.33507949633612333,0.3335521755034298,-0.001527320832693524,0.047469831395591335,0.2545111000072211,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,phoneme,classification,controlled_mlp,0,PLE,8,test,random_orthogonal,7,0.33507949633612333,0.32636328718294194,-0.008716209153181387,0.05019407059126569,0.2354410740081221,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
