candidate,dataset,family,features,fit_seconds,input_dimension,invariant_dimension_fraction,invariant_feature_fraction,model,predict_seconds,problem_type,raw_input_dimension,seed,selected_blocks,selected_dimensions,selection_key,validation_C,validation_method_loss,validation_raw_loss,stage
very_safe_gram,steel-plates-fault,BlockGuard-Grouped,"[""V4"",""V10"",""V17"",""V1"",""V8"",""V9""]",0.11657652514986694,259,0.25,0.25,controlled_mlp,0.00048472615890204906,classification,211,1,6,48,n6__cf80f3f174c4e812,0.223253986519428,0.1445181886532276,0.00038530863263939785,
very_safe_plus_safe_gram,steel-plates-fault,BlockGuard-Grouped,"[""V4"",""V10"",""V17"",""V1"",""V8"",""V9"",""V27"",""V19"",""V2"",""V7"",""V24"",""V11""]",0.14376597409136593,307,0.5,0.5,controlled_mlp,0.0004986179992556572,classification,211,1,12,96,n12__397cd6106cd4b71a,0.3293185614676919,0.21299352875257438,0.00038530863263939785,
all_except_dangerous_gram,steel-plates-fault,BlockGuard-Grouped,"[""V4"",""V10"",""V17"",""V1"",""V8"",""V9"",""V27"",""V19"",""V2"",""V7"",""V24"",""V11"",""V20"",""V25"",""V23"",""V3"",""V26"",""V18""]",0.17615135293453932,355,0.75,0.75,controlled_mlp,0.0005272501148283482,classification,211,1,18,144,n18__0276e27c862fb15f,0.27967185734397504,0.18094159292629688,0.00038530863263939785,
all_gram,steel-plates-fault,BlockGuard-Grouped,"[""V4"",""V10"",""V17"",""V1"",""V8"",""V9"",""V27"",""V19"",""V2"",""V7"",""V24"",""V11"",""V20"",""V25"",""V23"",""V3"",""V26"",""V18"",""V15"",""V6"",""V5"",""V16"",""V22"",""V14""]",0.0,403,1.0,1.0,controlled_mlp,0.0,classification,211,1,24,192,n24__13a3e3b0860a6402,0.65307867869172,0.42201321462161745,0.00038530863263939785,
stage_0_raw,steel-plates-fault,BlockGuard-Greedy,[],0.0,211,0.0,0.0,controlled_mlp,0.0,classification,211,1,0,0,n0__4f53cda18c2baa0c,0.0,0.00038530863263939785,0.00038530863263939785,0.0
stage_1,steel-plates-fault,BlockGuard-Greedy,"[""V4"",""V10"",""V17""]",0.23693568399176002,235,0.125,0.125,controlled_mlp,0.000455944100394845,classification,211,1,3,24,n3__32b960518acaa9ba,-0.00013525550206541328,0.00029798761609117975,0.00038530863263939785,1.0
stage_2,steel-plates-fault,BlockGuard-Greedy,"[""V4"",""V10"",""V17"",""V1"",""V8"",""V19""]",0.1721564568579197,259,0.25,0.25,controlled_mlp,0.0006743099074810743,classification,211,1,6,48,n6__24ccb15576fee926,0.04896549464931325,0.03199745529781915,0.00038530863263939785,2.0
stage_3,steel-plates-fault,BlockGuard-Greedy,"[""V4"",""V10"",""V17"",""V1"",""V8"",""V19"",""V23"",""V24"",""V9""]",0.2243140551727265,283,0.375,0.375,controlled_mlp,0.0006261381786316633,classification,211,1,9,72,n9__eacf53e26a8ccfb5,0.21759934702614295,0.1408675507033677,0.00038530863263939785,3.0
stage_4,steel-plates-fault,BlockGuard-Greedy,"[""V4"",""V10"",""V17"",""V1"",""V8"",""V19"",""V23"",""V24"",""V9"",""V11"",""V27"",""V2""]",0.15391467092558742,307,0.5,0.5,controlled_mlp,0.0004821529146283865,classification,211,1,12,96,n12__f315e97fc98ff033,0.33595057049112,0.21727515693656219,0.00038530863263939785,4.0
stage_5,steel-plates-fault,BlockGuard-Greedy,"[""V4"",""V10"",""V17"",""V1"",""V8"",""V19"",""V23"",""V24"",""V9"",""V11"",""V27"",""V2"",""V25"",""V7"",""V20""]",0.17348387790843844,331,0.625,0.625,controlled_mlp,0.0006778659299015999,classification,211,1,15,120,n15__0579275507e15491,0.2982381840513819,0.19292802229072326,0.00038530863263939785,5.0
stage_6,steel-plates-fault,BlockGuard-Greedy,"[""V4"",""V10"",""V17"",""V1"",""V8"",""V19"",""V23"",""V24"",""V9"",""V11"",""V27"",""V2"",""V25"",""V7"",""V20"",""V3"",""V16"",""V26""]",0.1913592459168285,355,0.75,0.75,controlled_mlp,0.0005479010287672281,classification,211,1,18,144,n18__2b05af68df4ef1e7,0.30492677381865035,0.1972461790298807,0.00038530863263939785,6.0
stage_7,steel-plates-fault,BlockGuard-Greedy,"[""V4"",""V10"",""V17"",""V1"",""V8"",""V19"",""V23"",""V24"",""V9"",""V11"",""V27"",""V2"",""V25"",""V7"",""V20"",""V3"",""V16"",""V26"",""V6"",""V15"",""V18""]",0.17034227005206048,379,0.875,0.875,controlled_mlp,0.0005518379621207714,classification,211,1,21,168,n21__a9c7db20b41c1c36,0.5494900078549523,0.35513631939579016,0.00038530863263939785,7.0
stage_8,steel-plates-fault,BlockGuard-Greedy,"[""V4"",""V10"",""V17"",""V1"",""V8"",""V19"",""V23"",""V24"",""V9"",""V11"",""V27"",""V2"",""V25"",""V7"",""V20"",""V3"",""V16"",""V26"",""V6"",""V15"",""V18"",""V5"",""V14"",""V22""]",0.0,403,1.0,1.0,controlled_mlp,0.0,classification,211,1,24,192,n24__13a3e3b0860a6402,0.65307867869172,0.42201321462161745,0.00038530863263939785,8.0
raw_only,steel-plates-fault,BlockGuard-Grouped,[],0.0,211,0.0,0.0,tabm_d,0.0,classification,211,0,0,0,n0__4f53cda18c2baa0c,0.0,0.0002218636186270856,0.0002218636186270856,
very_safe_gram,steel-plates-fault,BlockGuard-Grouped,"[""V10"",""V6"",""V8"",""V9"",""V4"",""V7""]",0.3170015001669526,259,0.25,0.25,tabm_d,0.13778126309625804,classification,211,0,6,48,n6__a3e66605e5847e7c,0.07757848288273504,0.05031924893032485,0.0002218636186270856,
