ranking,rank,method,family,units,datasets,model_families,median_alpha,median_invariant_feature_fraction,p25_disagreement_reduction,median_disagreement_reduction,p75_disagreement_reduction,median_C,p90_C,p95_C,max_C,wins,ties,losses,fraction_C_lt_0,fraction_C_gt_0p01,fraction_C_gt_0p05,fallback_rate,mean_predictive_rank,inference_multiplier,scope,training_multiplier,parameter_multiplier,paper_score
A — Paper Safety,1,GuardedGram-G2-after-RBF-k16,embedding_G2,36,12,3,0.75,,0.4375000029318835,0.75,0.7500000000510354,-0.0306513146391369,0.0017955198785749,0.002646678853079,0.0064371083928573,29,1,6,0.7777777777777778,0.0,0.0,0.1388888888888889,1.7638888888888888,2.0,RBF-k16 embedding,2.0,2.0,0.7
A — Paper Safety,2,SafeRankGram-t01,safety_reference,60,12,5,0.5,,0.0,0.4999999998494918,1.0,-0.0005096036290019,0.0012571315651165,0.0024879489168754,0.0582738292550998,35,16,9,0.5333333333333333,0.0333333333333333,0.0166666666666666,0.4,3.4833333333333334,1.0,general,2.0,2.0,0.48345234133929216
A — Paper Safety,3,SafeGram-t01,safety_reference,60,12,5,0.5,,0.0,0.4999999996532677,1.0,-0.0004833884691861,0.0026454421627792,0.0077109004544964,0.0353808602323905,32,15,13,0.5166666666666667,0.0333333333333333,0.0,0.3333333333333333,4.2,1.0,general,2.0,2.0,0.4999999996532677
A — Paper Safety,4,Raw,fixed,60,12,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,0,0.0,0.0,0.0,1.0,4.95,1.0,general,1.0,1.0,0.0
B — Strict Safety,1,GuardedGram-G2-after-RBF-k16,embedding_G2,36,12,3,0.75,,0.4375000029318835,0.75,0.7500000000510354,-0.0306513146391369,0.0017955198785749,0.002646678853079,0.0064371083928573,29,1,6,0.7777777777777778,0.0,0.0,0.1388888888888889,1.7638888888888888,2.0,RBF-k16 embedding,2.0,2.0,0.7
B — Strict Safety,2,SafeGram-t01,safety_reference,60,12,5,0.5,,0.0,0.4999999996532677,1.0,-0.0004833884691861,0.0026454421627792,0.0077109004544964,0.0353808602323905,32,15,13,0.5166666666666667,0.0333333333333333,0.0,0.3333333333333333,4.2,1.0,general,2.0,2.0,0.4999999996532677
B — Strict Safety,3,Raw,fixed,60,12,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,0,0.0,0.0,0.0,1.0,4.95,1.0,general,1.0,1.0,0.0
C — Basis Control,1,PureGram,fixed,60,12,5,1.0,,1.0,1.0,1.0,0.0069299635481337,0.1226668083073359,0.1808341690654031,4.503634112751238,24,0,36,0.4,0.4,0.2166666666666666,0.0,6.241666666666666,1.0,general,1.0,1.0,-8.440560623343085
C — Basis Control,2,GuardedGram-G2-after-RBF-k16,embedding_G2,36,12,3,0.75,,0.4375000029318835,0.75,0.7500000000510354,-0.0306513146391369,0.0017955198785749,0.002646678853079,0.0064371083928573,29,1,6,0.7777777777777778,0.0,0.0,0.1388888888888889,1.7638888888888888,2.0,RBF-k16 embedding,2.0,2.0,0.7
C — Basis Control,3,GuardedGram-G2-g0p0-t01,G2,60,12,5,0.75,,0.5000000032847328,0.75,0.75,-0.0025697508931633,0.0106685690721992,0.017501829990038,0.2469469521718461,33,3,24,0.5666666666666667,0.1166666666666666,0.0166666666666666,0.1333333333333333,3.725,2.0,general,2.0,2.0,0.2836006056861938
C — Basis Control,4,Raw+Gram@0.75,fixed,60,12,5,0.75,,0.75,0.75,0.75,-0.0022726814158307,0.0279281975761641,0.087223706675917,2.4582635911653785,30,0,30,0.5166666666666667,0.2333333333333333,0.1,0.0,4.458333333333333,2.0,general,2.0,2.0,-4.348198302358508
C — Basis Control,5,BlockGuard-Greedy-t01,BlockGuard-Greedy,60,12,5,,0.875,0.0908979507602329,0.7219026058640082,1.0,0.0,0.0334918771495189,0.0475669832466446,2.163545391795535,27,6,27,0.45,0.1833333333333333,0.05,0.2666666666666666,5.258333333333334,1.0,general,23.5,1.0,-3.6178891274669964
C — Basis Control,6,Raw+Gram@0.5,fixed,60,12,5,0.5,,0.5,0.5,0.5,-0.003315637545419,0.0092013069575956,0.0413480476918753,1.0075553425851396,36,0,24,0.65,0.1,0.05,0.0,3.683333333333333,2.0,general,2.0,2.0,-1.559154828245905
C — Basis Control,7,SafeRankGram-t01,safety_reference,60,12,5,0.5,,0.0,0.4999999998494918,1.0,-0.0005096036290019,0.0012571315651165,0.0024879489168754,0.0582738292550998,35,16,9,0.5333333333333333,0.0333333333333333,0.0166666666666666,0.4,3.4833333333333334,1.0,general,2.0,2.0,0.48345234133929216
C — Basis Control,8,SafeGram-t01,safety_reference,60,12,5,0.5,,0.0,0.4999999996532677,1.0,-0.0004833884691861,0.0026454421627792,0.0077109004544964,0.0353808602323905,32,15,13,0.5166666666666667,0.0333333333333333,0.0,0.3333333333333333,4.2,1.0,general,2.0,2.0,0.4999999996532677
C — Basis Control,9,Raw,fixed,60,12,5,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60,0,0.0,0.0,0.0,1.0,4.95,1.0,general,1.0,1.0,0.0
