panel,dataset,problem_type,model,seed,method,family,split,alpha,selected_alpha,invariant_feature_fraction,raw_fallback,raw_disagreement,method_disagreement,maximum_method_disagreement,disagreement_reduction,inference_passes,inference_multiplier,raw_task_error,method_task_error,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive,tau,selected_candidate,selection_key,selected_features,selected_blocks,invariant_dimension_fraction,input_dimension,raw_input_dimension,input_dimension_ratio,fit_seconds,predict_seconds
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,Raw,fixed,validation,0.0,0.0,,True,0.16156919285912905,0.16156919285912905,0.21325157399040018,0.0,1,1.0,1042.7602161107814,1042.7602161107814,1042.7602161107814,1042.7602161107814,1105.5698899494796,0.0,0.0,62.809673838698245,0.0,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,Raw,fixed,test,0.0,0.0,,True,0.20090933010924245,0.20090933010924245,0.25004074183448594,0.0,1,1.0,992.364132509308,992.364132509308,992.364132509308,992.364132509308,1148.7614652193272,0.0,0.0,156.3973327100192,0.0,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,Raw+Gram@0.5,fixed,validation,0.5,0.5,,False,0.16156919285912905,0.08078459642956452,0.10662578699520009,0.5,2,2.0,1042.7602161107814,964.26533935692,1042.7602161107814,964.26533935692,1105.5698899494796,-78.49487675386138,-0.07527605631774716,62.809673838698245,-1.2497259093470914,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,Raw+Gram@0.5,fixed,test,0.5,0.5,,False,0.20090933010924245,0.10045466505462122,0.12502037091724297,0.5,2,2.0,992.364132509308,950.6862333110757,992.364132509308,950.6862333110757,1148.7614652193272,-41.67789919823224,-0.04199859490371224,156.3973327100192,-0.2664872761961256,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,Raw+Gram@0.75,fixed,validation,0.75,0.75,,False,0.16156919285912905,0.04039229821478226,0.053312893497600045,0.75,2,2.0,1042.7602161107814,936.5899426822309,1042.7602161107814,936.5899426822309,1105.5698899494796,-106.17027342855044,-0.10181657469109952,62.809673838698245,-1.6903490647190227,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,Raw+Gram@0.75,fixed,test,0.75,0.75,,False,0.20090933010924245,0.05022733252731061,0.06251018545862148,0.75,2,2.0,992.364132509308,943.0486695556199,992.364132509308,943.0486695556199,1148.7614652193272,-49.3154629536881,-0.04969492682992101,156.3973327100192,-0.3153216368793534,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,PureGram,fixed,validation,1.0,1.0,,False,0.16156919285912905,0.0,0.0,1.0,1,1.0,1042.7602161107814,917.6253349562563,1042.7602161107814,917.6253349562563,1105.5698899494796,-125.13488115452503,-0.12000350533245784,62.809673838698245,-1.992286753086545,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,PureGram,fixed,test,1.0,1.0,,False,0.20090933010924245,0.0,0.0,1.0,1,1.0,992.364132509308,944.5787476352873,992.364132509308,944.5787476352873,1148.7614652193272,-47.78538487402068,-0.04815307537686775,156.3973327100192,-0.305538362106347,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,GuardedGram-G2-g0p0-t01,G2,validation,0.75,0.75,,False,0.16156919285912905,0.04039229821478226,0.053312893497600045,0.75,2,2.0,1042.7602161107814,936.5899426822309,1042.7602161107814,936.5899426822309,1105.5698899494796,-106.17027342855044,-0.10181657469109952,62.809673838698245,-1.6903490647190227,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,GuardedGram-G2-g0p0-t01,G2,test,0.75,0.75,,False,0.20090933010924245,0.05022733252731061,0.06251018545862148,0.75,2,2.0,992.364132509308,943.0486695556199,992.364132509308,943.0486695556199,1148.7614652193272,-49.3154629536881,-0.04969492682992101,156.3973327100192,-0.3153216368793534,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,SafeGram-t01,safety_reference,validation,1.0,1.0,,False,0.16156919285912905,0.0,0.0,1.0,1,1.0,1042.7602161107814,917.6253349562563,1042.7602161107814,917.6253349562563,1105.5698899494796,-125.13488115452503,-0.12000350533245784,62.809673838698245,-1.992286753086545,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,SafeGram-t01,safety_reference,test,1.0,1.0,,False,0.20090933010924245,0.0,0.0,1.0,1,1.0,992.364132509308,944.5787476352873,992.364132509308,944.5787476352873,1148.7614652193272,-47.78538487402068,-0.04815307537686775,156.3973327100192,-0.305538362106347,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,SafeRankGram-t01,safety_reference,validation,1.0,1.0,,False,0.16156919285912905,0.0,0.0,1.0,1,1.0,1042.7602161107814,939.6970876219044,1042.7602161107814,939.6970876219044,1105.5698899494796,-103.06312848887694,-0.09883684369286262,62.809673838698245,-1.640879854806343,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,SafeRankGram-t01,safety_reference,test,1.0,1.0,,False,0.20090933010924245,0.0,0.0,1.0,1,1.0,992.364132509308,975.5612477798891,992.364132509308,975.5612477798891,1148.7614652193272,-16.802884729418906,-0.016932176586159822,156.3973327100192,-0.10743715662065426,False,,,,,,,,,,,
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,BlockGuard-Greedy-t01,BlockGuard-Greedy,validation,,,1.0,False,0.16156919285912905,0.0,0.0,1.0,1,1.0,1042.7602161107814,917.6253349562563,1042.7602161107814,917.6253349562563,1105.5698899494796,-125.13488115452503,-0.12000350533245784,62.809673838698245,-1.992286753086545,False,0.01,stage_8,n15__1b235318a204c913,"[""clay_tot_psa"",""db_od"",""hzn_bot"",""hzn_depth"",""hzn_top"",""latitude_decimal_degrees"",""longitude_decimal_degrees"",""oc"",""ph_h2o"",""sand_tot_psa"",""silt_tot_psa"",""w10cld"",""w15bfm"",""w15l2"",""w3cld""]",15.0,1.0,370.0,1854.0,0.19956850053937433,0.0,0.0
guarded_new_untouched_prospective,SoilKsatDB,regression,tabpfn_2_6,0,BlockGuard-Greedy-t01,BlockGuard-Greedy,test,,,1.0,False,0.20090933010924245,0.0,0.0,1.0,1,1.0,992.364132509308,944.5787476352873,992.364132509308,944.5787476352873,1148.7614652193272,-47.78538487402068,-0.04815307537686775,156.3973327100192,-0.305538362106347,False,0.01,stage_8,n15__1b235318a204c913,"[""clay_tot_psa"",""db_od"",""hzn_bot"",""hzn_depth"",""hzn_top"",""latitude_decimal_degrees"",""longitude_decimal_degrees"",""oc"",""ph_h2o"",""sand_tot_psa"",""silt_tot_psa"",""w10cld"",""w15bfm"",""w15l2"",""w3cld""]",15.0,1.0,370.0,1854.0,0.19956850053937433,0.0,0.0
