candidate,stage,features,family,selection_key,selected_blocks,selected_dimensions,invariant_feature_fraction,invariant_dimension_fraction,validation_C,validation_raw_loss,validation_method_loss,input_dimension,raw_input_dimension,fit_seconds,predict_seconds
stage_0_raw,0,[],BlockGuard-Greedy,n0__4f53cda18c2baa0c,0,0,0.0,0.0,0.0,3.1869470492848166,3.1869470492848166,64,64,0.0,0.0
stage_1,1,['theta2'],BlockGuard-Greedy,n1__6d90f40dd9b3764b,1,8,0.125,0.125,-0.06550012859840618,3.1869470492848166,3.0313679096054598,72,64,2.5884515680372715,0.000634429045021534
stage_2,2,"['theta2', 'theta3']",BlockGuard-Greedy,n2__12e2eec815f48604,2,16,0.25,0.25,-0.06995652327507126,3.1869470492848166,3.0207828609238287,80,64,2.034795413026586,0.024188377894461155
stage_3,3,"['theta2', 'theta3', 'thetad3']",BlockGuard-Greedy,n3__0ded083a4569e3da,3,24,0.375,0.375,-0.06932862525623407,3.1869470492848166,3.0222742753022036,88,64,1.6522423878777772,0.0005430800374597311
stage_4,4,"['theta2', 'theta3', 'thetad3', 'theta1']",BlockGuard-Greedy,n4__9b486d3fa3b4b879,4,32,0.5,0.5,-0.05995684961595754,3.1869470492848166,3.0445345795578147,96,64,1.9518237058073282,0.0015611278358846903
stage_5,5,"['theta2', 'theta3', 'thetad3', 'theta1', 'tau1']",BlockGuard-Greedy,n5__9858c1a2cd01fa35,5,40,0.625,0.625,-0.052348081677129836,3.1869470492848166,3.0626073008680366,104,64,1.507134112995118,0.0005103200674057007
stage_6,6,"['theta2', 'theta3', 'thetad3', 'theta1', 'tau1', 'thetad2']",BlockGuard-Greedy,n6__2f783076bc2b8397,6,48,0.75,0.75,-0.014765248742058399,3.1869470492848166,3.1518759014016497,112,64,1.2725222210865468,0.0005901108961552382
stage_7,7,"['theta2', 'theta3', 'thetad3', 'theta1', 'tau1', 'thetad2', 'tau2']",BlockGuard-Greedy,n7__30818af947546cb7,7,56,0.875,0.875,0.009368536017325228,3.1869470492848166,3.2091996586280294,120,64,1.8337392951361835,0.0005472369957715273
stage_8,8,"['theta2', 'theta3', 'thetad3', 'theta1', 'tau1', 'thetad2', 'tau2', 'thetad1']",BlockGuard-Greedy,n8__92e0ed9a7ea6c868,8,64,1.0,1.0,0.04626531587033513,3.1869470492848166,3.296838712005546,128,64,0.0,0.0
