stage,dataset,model,seed,embedding,k,maximum_coordinate_error,passes_1e_minus_6
dimension,steel-plates-fault,controlled_mlp,0,PLE,4,2.601085671887508e-15,True
dimension,steel-plates-fault,controlled_mlp,0,PLE,8,2.1564628234719632e-15,True
dimension,steel-plates-fault,controlled_mlp,0,PLE,16,3.723022678026724e-15,True
dimension,steel-plates-fault,controlled_mlp,0,PLE,32,7.569323390542564e-15,True
dimension,steel-plates-fault,controlled_mlp,0,RBF,4,2.542389328820958e-15,True
dimension,steel-plates-fault,controlled_mlp,0,RBF,8,9.3338706002943e-16,True
dimension,steel-plates-fault,controlled_mlp,0,RBF,16,1.5550870031189595e-15,True
dimension,steel-plates-fault,controlled_mlp,0,RBF,32,1.8048254832882856e-15,True
dimension,steel-plates-fault,controlled_mlp,1,PLE,4,2.601085671887508e-15,True
dimension,steel-plates-fault,controlled_mlp,1,PLE,8,2.1564628234719632e-15,True
dimension,steel-plates-fault,controlled_mlp,1,PLE,16,3.723022678026724e-15,True
dimension,steel-plates-fault,controlled_mlp,1,PLE,32,7.569323390542564e-15,True
dimension,steel-plates-fault,controlled_mlp,1,RBF,4,2.542389328820958e-15,True
dimension,steel-plates-fault,controlled_mlp,1,RBF,8,9.3338706002943e-16,True
dimension,steel-plates-fault,controlled_mlp,1,RBF,16,1.5550870031189595e-15,True
dimension,steel-plates-fault,controlled_mlp,1,RBF,32,1.8048254832882856e-15,True
dimension,steel-plates-fault,tabm_d,0,PLE,4,2.601085671887508e-15,True
dimension,steel-plates-fault,tabm_d,0,PLE,8,2.1564628234719632e-15,True
dimension,steel-plates-fault,tabm_d,0,PLE,16,3.723022678026724e-15,True
dimension,steel-plates-fault,tabm_d,0,PLE,32,7.569323390542564e-15,True
dimension,steel-plates-fault,tabm_d,0,RBF,4,2.542389328820958e-15,True
dimension,steel-plates-fault,tabm_d,0,RBF,8,9.3338706002943e-16,True
dimension,steel-plates-fault,tabm_d,0,RBF,16,1.5550870031189595e-15,True
dimension,steel-plates-fault,tabm_d,0,RBF,32,1.8048254832882856e-15,True
dimension,steel-plates-fault,tabm_d,1,PLE,4,2.601085671887508e-15,True
dimension,steel-plates-fault,tabm_d,1,PLE,8,2.1564628234719632e-15,True
dimension,steel-plates-fault,tabm_d,1,PLE,16,3.723022678026724e-15,True
dimension,steel-plates-fault,tabm_d,1,PLE,32,7.569323390542564e-15,True
dimension,steel-plates-fault,tabm_d,1,RBF,4,2.542389328820958e-15,True
dimension,steel-plates-fault,tabm_d,1,RBF,8,9.3338706002943e-16,True
dimension,steel-plates-fault,tabm_d,1,RBF,16,1.5550870031189595e-15,True
dimension,steel-plates-fault,tabm_d,1,RBF,32,1.8048254832882856e-15,True
dimension,steel-plates-fault,resnet_tabular,0,PLE,4,2.601085671887508e-15,True
dimension,steel-plates-fault,resnet_tabular,0,PLE,8,2.1564628234719632e-15,True
dimension,steel-plates-fault,resnet_tabular,0,PLE,16,3.723022678026724e-15,True
dimension,steel-plates-fault,resnet_tabular,0,PLE,32,7.569323390542564e-15,True
dimension,steel-plates-fault,resnet_tabular,0,RBF,4,2.542389328820958e-15,True
