candidate,stage,features,family,selection_key,selected_blocks,selected_dimensions,invariant_feature_fraction,invariant_dimension_fraction,validation_C,validation_raw_loss,validation_method_loss,input_dimension,raw_input_dimension,fit_seconds,predict_seconds
stage_0_raw,0,[],BlockGuard-Greedy,n0__4f53cda18c2baa0c,0,0,0.0,0.0,0.0,1.0427380550062253,1.0427380550062253,80,80,0.0,0.0
stage_1,1,"['x10', 'x7']",BlockGuard-Greedy,n2__bfbf4b7527180b90,2,16,0.2,0.2,0.0018482621349206754,1.0427380550062253,1.0490324562815665,96,80,0.5354490061290562,0.002716712187975645
stage_2,2,"['x10', 'x7', 'x6', 'x2']",BlockGuard-Greedy,n4__6fa332ee0632e9df,4,32,0.4,0.4,-0.00048739964757028923,1.0427380550062253,1.041078177381021,112,80,0.409327456029132,0.0020629370119422674
stage_3,3,"['x10', 'x7', 'x6', 'x2', 'x5']",BlockGuard-Greedy,n5__3a0e4c011408e4c6,5,40,0.5,0.5,0.00027497395075783067,1.0427380550062253,1.0436745003045595,120,80,0.5743741749320179,0.0051516888197511435
stage_4,4,"['x10', 'x7', 'x6', 'x2', 'x5', 'x9']",BlockGuard-Greedy,n6__cd1e6d70478cc950,6,48,0.6,0.6,-0.001465249379676716,1.0427380550062253,1.0377480336289135,128,80,0.6019274741411209,0.004455830901861191
stage_5,5,"['x10', 'x7', 'x6', 'x2', 'x5', 'x9', 'x8']",BlockGuard-Greedy,n7__b0e1becd93bdb938,7,56,0.7,0.7,-0.0010385208703339649,1.0427380550062253,1.0392012909470627,136,80,0.6035405050497502,0.0169047222007066
stage_6,6,"['x10', 'x7', 'x6', 'x2', 'x5', 'x9', 'x8', 'x4']",BlockGuard-Greedy,n8__a729be792d6ff214,8,64,0.8,0.8,-0.0035892004273652134,1.0427380550062253,1.0305147521961873,144,80,0.48683974309824407,0.0035319700837135315
stage_7,7,"['x10', 'x7', 'x6', 'x2', 'x5', 'x9', 'x8', 'x4', 'x3']",BlockGuard-Greedy,n9__d9708c0b3f2d5db7,9,72,0.9,0.9,-0.003883179522682264,1.0427380550062253,1.029513583391435,152,80,0.5382424851413816,0.005871553905308247
stage_8,8,"['x10', 'x7', 'x6', 'x2', 'x5', 'x9', 'x8', 'x4', 'x3', 'x1']",BlockGuard-Greedy,n10__953aad1954bd4662,10,80,1.0,1.0,-0.0024921225827493065,1.0427380550062253,1.034250936611714,160,80,0.0,0.0
