absolute_task_difference,dataset,denominator_sensitive,disagreement_reduction,family,fit_seconds,inference_passes,input_dimension,input_dimension_ratio,invariant_dimension_fraction,invariant_feature_fraction,maximum_method_disagreement,method,method_disagreement,method_loss,model,normalized_excess_risk,panel,predict_seconds,problem_type,raw_disagreement,raw_fallback,raw_input_dimension,raw_loss,relative_task_difference,safety_denominator,seed,selected_blocks,selected_candidate,selected_features,selection_key,split,tau,trivial_loss
0.0,steel-plates-fault,False,0.0,BlockGuard-Greedy,0.0,1,211,1.0,0.0,0.0,0.007247043570974662,BlockGuard-Greedy-t01,0.004741595162633335,0.001123829696310668,tabm_d,0.0,guarded_development,0.0,classification,0.004741595162633335,True,211,0.001123829696310668,0.0,0.6448619551815559,1,0,stage_0_raw,[],n0__4f53cda18c2baa0c,validation,0.01,0.6459857848778665
0.0,steel-plates-fault,False,0.0,BlockGuard-Greedy,0.0,1,211,1.0,0.0,0.0,0.010734626302215111,BlockGuard-Greedy-t01,0.007253452386201852,0.0008120460940462759,tabm_d,0.0,guarded_development,0.0,classification,0.007253452386201852,True,211,0.0008120460940462759,0.0,0.6447855876500053,1,0,stage_0_raw,[],n0__4f53cda18c2baa0c,test,0.01,0.6455976337440515
0.00020080699744947478,steel-plates-fault,False,1.0,BlockGuard-Grouped,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Grouped-t01,0.0,0.0017065950044898982,catboost,0.00031157987590687435,guarded_development,0.0,classification,0.0017561025860246189,False,211,0.0015057880070404235,0.13335675175428863,0.6444799968708261,0,24,all_gram,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,validation,0.01,0.6459857848778665
0.00020467261506417053,steel-plates-fault,False,1.0,BlockGuard-Grouped,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Grouped-t01,0.0,0.0018995719610287113,catboost,0.0003178626275838014,guarded_development,0.0,classification,0.001793541356191478,False,211,0.0016948993459645408,0.12075797630784649,0.643902734398087,0,24,all_gram,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,test,0.01,0.6455976337440515
0.00020080699744947478,steel-plates-fault,False,1.0,BlockGuard-Greedy,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Greedy-t01,0.0,0.0017065950044898982,catboost,0.00031157987590687435,guarded_development,0.0,classification,0.0017561025860246189,False,211,0.0015057880070404235,0.13335675175428863,0.6444799968708261,0,24,stage_8,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,validation,0.01,0.6459857848778665
0.00020467261506417053,steel-plates-fault,False,1.0,BlockGuard-Greedy,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Greedy-t01,0.0,0.0018995719610287113,catboost,0.0003178626275838014,guarded_development,0.0,classification,0.001793541356191478,False,211,0.0016948993459645408,0.12075797630784649,0.643902734398087,0,24,stage_8,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,test,0.01,0.6455976337440515
0.00027075558309620665,steel-plates-fault,False,1.0,BlockGuard-Grouped,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Grouped-t01,0.0,0.0017391308920011398,catboost,0.00042009041040067755,guarded_development,0.0,classification,0.0019072539141227463,False,211,0.0014683753089049332,0.18439126662932476,0.6445174095689615,1,24,all_gram,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,validation,0.01,0.6459857848778665
0.0003564879609576888,steel-plates-fault,False,1.0,BlockGuard-Grouped,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Grouped-t01,0.0,0.0020033760117295803,catboost,0.0005535950743777656,guarded_development,0.0,classification,0.0031157276562536608,False,211,0.0016468880507718915,0.21646156263663702,0.6439507456932797,1,24,all_gram,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,test,0.01,0.6455976337440515
0.00027075558309620665,steel-plates-fault,False,1.0,BlockGuard-Greedy,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Greedy-t01,0.0,0.0017391308920011398,catboost,0.00042009041040067755,guarded_development,0.0,classification,0.0019072539141227463,False,211,0.0014683753089049332,0.18439126662932476,0.6445174095689615,1,24,stage_8,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,validation,0.01,0.6459857848778665
0.0003564879609576888,steel-plates-fault,False,1.0,BlockGuard-Greedy,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Greedy-t01,0.0,0.0020033760117295803,catboost,0.0005535950743777656,guarded_development,0.0,classification,0.0031157276562536608,False,211,0.0016468880507718915,0.21646156263663702,0.6439507456932797,1,24,stage_8,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,test,0.01,0.6455976337440515
