method,family,units,datasets,model_families,median_alpha,median_disagreement_reduction,median_C,p90_C,p95_C,max_C,fallback_rate,mean_predictive_rank
GuardedGram-G1-t0,G1,40,8,5,0.75,0.7499999999822875,0.0,0.023031708198684428,0.025715883416408132,0.028001455763596195,0.275,4.525
GuardedGram-G2-g0p0-t01,G2,40,8,5,0.75,0.7499999995961522,-0.00010715548960891526,0.005941380414601919,0.010654834844833774,0.028001455763596195,0.1,4.5625
GuardedGram-G3,G3,40,8,5,0.625,0.625,-0.00010715548960891526,0.009980280234108537,0.015050002452548884,0.021741493370545602,0.075,4.5
PureGram,fixed,40,8,5,1.0,1.0,0.0044587378339999845,0.10714398882659644,0.16858278634592222,0.6336289967048432,0.0,8.1
Raw,fixed,40,8,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.975
Raw+Gram@0.5,fixed,40,8,5,0.5,0.5,-7.173525416841317e-05,0.023377228926954256,0.052363415515208483,0.08605379022142964,0.0,4.4125
Raw+Gram@0.75,fixed,40,8,5,0.75,0.75,0.00034348675787269635,0.042963523203920884,0.0872961347924533,0.15975253776842413,0.0,5.975
SafeGram-t01,safety_reference,40,8,5,0.375,0.37500000072564477,0.0,0.003401752154230398,0.004675952798560514,0.0057741240749506545,0.325,4.5875
SafeRankGram-t01,safety_reference,40,8,5,0.5,0.49999999736453926,-0.0016183962122228793,0.003051878340826872,0.004976202478673203,0.006362783462018393,0.225,3.3625
