dataset,problem_type,model,method,family,tau,disagreement_reduction,normalized_excess_risk,absolute_task_difference,method_loss,raw_fallback,invariant_feature_fraction,invariant_dimension_fraction,input_dimension_ratio,fit_seconds,predict_seconds,predictive_rank
california_housing,regression,catboost,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.009314084787551746,0.014794938129408478,770.6101784721104,62392.91026930238,False,0.125,0.125,1.1159420289855073,1.1588414264842868,0.002997660427354276,2.0
california_housing,regression,catboost,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,0.0019163947400576498,101.0404475457035,61723.340538375975,False,1.0,1.0,2.0869565217391304,0.0,0.0,1.0
california_housing,regression,controlled_mlp,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.39602567785593656,-0.015064963134214541,-731.3189297427052,64173.17250476545,False,0.6875,0.6875,1.7173913043478262,0.15266738005448133,0.00019038596656173468,1.0
california_housing,regression,controlled_mlp,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,-0.0016681211657757905,-72.65560920138887,64831.835825306756,False,1.0,1.0,2.0869565217391304,0.0,0.0,2.0
california_housing,regression,tabicl_v2,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.1977202839647777,-0.003734045347319154,-204.99617347582534,58581.47654858871,False,0.5,0.5,1.463768115942029,0.27604075497947633,0.07120220991782844,1.5
california_housing,regression,tabicl_v2,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.1977202839647777,-0.003734045347319154,-204.99617347582534,58581.47654858871,False,0.5,0.5,1.463768115942029,0.27604075497947633,0.07120220991782844,1.5
california_housing,regression,tabm_d,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,1.0,-0.024422280201258292,-1286.1316275909703,59699.48868807398,False,1.0,1.0,2.0869565217391304,0.0,0.0,1.5
california_housing,regression,tabm_d,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,-0.024422280201258292,-1286.1316275909703,59699.48868807398,False,1.0,1.0,2.0869565217391304,0.0,0.0,1.5
california_housing,regression,tabpfn_2_6,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.6122573711809901,0.03239714336688812,1960.6582764453524,55392.78236809652,False,0.75,0.75,1.7753623188405796,0.07786779652815312,0.06431412696838379,2.0
california_housing,regression,tabpfn_2_6,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,0.02182784562120843,1333.1324823237155,54765.25657397489,False,1.0,1.0,2.0869565217391304,0.0,0.0,1.0
cardiotocography,classification,catboost,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,1.0,0.00464048158497366,0.009279802211649512,0.027474752998655053,False,1.0,1.0,1.6940639269406392,0.0,0.0,1.5
cardiotocography,classification,catboost,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,0.00464048158497366,0.009279802211649512,0.027474752998655053,False,1.0,1.0,1.6940639269406392,0.0,0.0,1.5
cardiotocography,classification,controlled_mlp,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,-0.0837291085800902,0.01531333380555695,0.030789778390713077,0.043962553430174786,False,0.23684210526315788,0.23684210526315788,1.1643835616438356,0.49468831496778876,0.0005377820925787091,1.0
cardiotocography,classification,controlled_mlp,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,-0.46802027277309105,0.0426939239372168,0.08559540689241685,0.09876818193187854,False,0.5263157894736842,0.5263157894736842,1.365296803652968,0.4806113524828106,0.0009439163841307163,2.0
cardiotocography,classification,tabicl_v2,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,1.0,4.3637806416850066e-06,8.805923256354717e-06,1.9133386059057533e-05,False,1.0,1.0,1.6940639269406392,0.0,0.0,1.5
cardiotocography,classification,tabicl_v2,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,4.3637806416850066e-06,8.805923256354717e-06,1.9133386059057533e-05,False,1.0,1.0,1.6940639269406392,0.0,0.0,1.5
cardiotocography,classification,tabm_d,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,1.0,0.0030396822863849107,0.006087868719974099,0.021795661313739154,False,1.0,1.0,1.6940639269406392,0.0,0.0,1.5
