dataset,problem_type,model,method,family,selected_alpha,invariant_feature_fraction,disagreement_reduction,normalized_excess_risk,raw_task_error,method_task_error,raw_fallback,inference_multiplier,validation_C,predictive_rank,task_outcome,scope,embedding,k,explanation
OnlineNewsPopularity,regression,tabicl_v2,PureGram,fixed,1.0,,1.0,4.503634112751238,5203.2604179528935,5480.1942526461935,False,1.0,2.3199780553649374,8.0,L,general,,,harm visible on both validation and test; fixed/reference method is unconstrained
OnlineNewsPopularity,regression,tabicl_v2,Raw+Gram@0.75,fixed,0.75,,0.75,2.4582635911653785,5203.2604179528935,5354.421979026617,False,2.0,1.4250622430784512,7.0,L,general,,,harm visible on both validation and test; fixed/reference method is unconstrained
OnlineNewsPopularity,regression,controlled_mlp,BlockGuard-Greedy-t01,BlockGuard-Greedy,,0.7560975609756098,0.7201151281641343,2.163545391795535,5161.020707519959,5396.224620335829,False,1.0,-0.6430190317515488,8.0,L,general,,,validation-safe but test-harmful: validation miss/noise or distribution shift
OnlineNewsPopularity,regression,controlled_mlp,PureGram,fixed,1.0,,1.0,1.9249534671442337,5161.020707519959,5325.190997828433,False,1.0,1.7548621266809548,7.0,L,general,,,harm visible on both validation and test; fixed/reference method is unconstrained
OnlineNewsPopularity,regression,tabicl_v2,Raw+Gram@0.5,fixed,0.5,,0.5,1.0075553425851396,5203.2604179528935,5265.216198041203,False,2.0,0.7363260189205453,6.0,L,general,,,harm visible on both validation and test; fixed/reference method is unconstrained
OnlineNewsPopularity,regression,controlled_mlp,Raw+Gram@0.75,fixed,0.75,,0.75,0.8472679319938436,5161.020707519959,5247.49388755485,False,2.0,0.6547056414598419,6.0,L,general,,,harm visible on both validation and test; fixed/reference method is unconstrained
OnlineNewsPopularity,regression,controlled_mlp,Raw+Gram@0.5,fixed,0.5,,0.5,0.473466161616606,5161.020707519959,5205.256735494668,False,2.0,0.2956338868413634,5.0,L,general,,,harm visible on both validation and test; fixed/reference method is unconstrained
OnlineNewsPopularity,regression,catboost,PureGram,fixed,1.0,,1.0,0.4526652264905023,5254.3235099848525,5253.853217365155,False,1.0,-2.867563454909975,5.0,W,general,,,validation-safe but test-harmful: validation miss/noise or distribution shift
OnlineNewsPopularity,regression,catboost,Raw+Gram@0.75,fixed,0.75,,0.75,0.2469469521718461,5254.3235099848525,5250.599878357612,False,2.0,-2.2286602920259284,1.5,W,general,,,validation-safe but test-harmful: validation miss/noise or distribution shift
OnlineNewsPopularity,regression,catboost,GuardedGram-G2-g0p0-t01,G2,0.75,,0.75,0.2469469521718461,5254.3235099848525,5250.599878357612,False,2.0,-2.2286602920259284,1.5,W,general,,,validation-safe but test-harmful: validation miss/noise or distribution shift
