dataset,problem_type,model,method,family,selected_alpha,invariant_feature_fraction,disagreement_reduction,normalized_excess_risk,raw_task_error,method_task_error,raw_fallback,inference_multiplier,validation_C_actual,predictive_rank,task_outcome
2dplanes,regression,catboost,BlockGuard-Greedy-t01,BlockGuard-Greedy,,1.0,1.0,-0.0023867544610550015,1.052750588487655,1.0448237862256704,False,1.0,-0.004699288333623792,5.0,W
2dplanes,regression,catboost,GuardedGram-G2-g0p0-t01,G2,0.75,,0.75,-0.0024631510563672835,1.052750588487655,1.044570060626992,False,2.0,-0.004182935364352134,2.5,W
2dplanes,regression,catboost,PureGram,fixed,1.0,,1.0,-0.0023867544610550015,1.052750588487655,1.0448237862256704,False,1.0,-0.004699288333623792,5.0,W
2dplanes,regression,catboost,Raw,fixed,0.0,,0.0,0.0,1.052750588487655,1.052750588487655,True,1.0,0.0,8.0,T
2dplanes,regression,catboost,Raw+Gram@0.5,fixed,0.5,,0.4999999999999999,-0.0020894433249447992,1.052750588487655,1.0458112051766713,False,2.0,-0.0032245447808454306,7.0,W
2dplanes,regression,catboost,Raw+Gram@0.75,fixed,0.75,,0.75,-0.0024631510563672835,1.052750588487655,1.044570060626992,False,2.0,-0.004182935364352134,2.5,W
2dplanes,regression,catboost,SafeGram-t01,safety_reference,1.0,,1.0,-0.0023867544610550015,1.052750588487655,1.0448237862256704,False,1.0,-0.004699288333623792,5.0,W
2dplanes,regression,catboost,SafeRankGram-t01,safety_reference,1.0,,1.0,-0.003804930528505453,1.052750588487655,1.0386304342464274,False,1.0,-0.003146216357950611,1.0,W
2dplanes,regression,controlled_mlp,BlockGuard-Greedy-t01,BlockGuard-Greedy,,0.7,0.14288586524595204,0.00834385022915162,0.9825998145996574,1.0041510424264766,False,1.0,0.008222322505589585,5.0,L
2dplanes,regression,controlled_mlp,GuardedGram-G2-g0p0-t01,G2,0.75,,0.75,0.009587127302293599,0.9825998145996574,1.0118121648686933,False,2.0,0.0054125005444746145,6.5,L
2dplanes,regression,controlled_mlp,PureGram,fixed,1.0,,1.0,0.01909650294062029,0.9825998145996574,1.0406898102706368,False,1.0,0.012335593513040215,8.0,L
2dplanes,regression,controlled_mlp,Raw,fixed,0.0,,0.0,0.0,0.9825998145996574,0.9825998145996574,True,1.0,0.0,1.0,T
2dplanes,regression,controlled_mlp,Raw+Gram@0.5,fixed,0.5,,0.5,0.0026159633970454723,0.9825998145996574,0.9914713691149051,False,2.0,0.0009825687074545232,2.5,L
2dplanes,regression,controlled_mlp,Raw+Gram@0.75,fixed,0.75,,0.75,0.009587127302293599,0.9825998145996574,1.0118121648686933,False,2.0,0.0054125005444746145,6.5,L
2dplanes,regression,controlled_mlp,SafeGram-t01,safety_reference,0.5,,0.5,0.0026159633970454723,0.9825998145996574,0.9914713691149051,False,2.0,0.0009825687074545232,2.5,L
2dplanes,regression,controlled_mlp,SafeRankGram-t01,safety_reference,0.5,,0.5,0.001205002448548192,0.9825998145996574,0.9925667768332815,False,2.0,-0.00039200719377576056,4.0,L
2dplanes,regression,tabicl_v2,BlockGuard-Greedy-t01,BlockGuard-Greedy,,1.0,1.0,0.0014267770946350912,0.9847244247204872,0.9895600431785818,False,1.0,0.0002595087547398381,7.0,L
2dplanes,regression,tabicl_v2,GuardedGram-G2-g0p0-t01,G2,0.75,,0.75,0.0006032534890370024,0.9847244247204872,0.9867689653270515,False,2.0,-0.00028984506897572726,4.5,L
2dplanes,regression,tabicl_v2,PureGram,fixed,1.0,,1.0,0.0014267770946350912,0.9847244247204872,0.9895600431785818,False,1.0,0.0002595087547398381,7.0,L
2dplanes,regression,tabicl_v2,Raw,fixed,0.0,,0.0,0.0,0.9847244247204872,0.9847244247204872,True,1.0,0.0,2.0,T
2dplanes,regression,tabicl_v2,Raw+Gram@0.5,fixed,0.5,,0.5,9.001890507494807e-05,0.9847244247204872,0.9850295158805532,False,2.0,-0.0005165414550192282,3.0,L
2dplanes,regression,tabicl_v2,Raw+Gram@0.75,fixed,0.75,,0.75,0.0006032534890370024,0.9847244247204872,0.9867689653270515,False,2.0,-0.00028984506897572726,4.5,L
2dplanes,regression,tabicl_v2,SafeGram-t01,safety_reference,1.0,,1.0,0.0014267770946350912,0.9847244247204872,0.9895600431785818,False,1.0,0.0002595087547398381,7.0,L
2dplanes,regression,tabicl_v2,SafeRankGram-t01,safety_reference,1.0,,1.0,-0.001568858310412428,0.9847244247204872,0.9794072660469343,False,1.0,-0.0039319459249100045,1.0,W
2dplanes,regression,tabm_d,BlockGuard-Greedy-t01,BlockGuard-Greedy,,1.0,1.0,-0.0021910229624748437,1.0377689646176242,1.018286793077321,False,1.0,0.00436208679568757,2.5,W
2dplanes,regression,tabm_d,GuardedGram-G2-g0p0-t01,G2,0.75,,0.75,-0.002850378525225012,1.0377689646176242,1.0194308714514286,False,2.0,0.002297039697081076,5.0,W
2dplanes,regression,tabm_d,PureGram,fixed,1.0,,1.0,-0.0021910229624748437,1.0377689646176242,1.018286793077321,False,1.0,0.00436208679568757,2.5,W
2dplanes,regression,tabm_d,Raw,fixed,0.0,,0.0,0.0,1.0377689646176242,1.0377689646176242,True,1.0,0.0,8.0,T
2dplanes,regression,tabm_d,Raw+Gram@0.5,fixed,0.5,,0.5,-0.0027031843224539624,1.0377689646176242,1.0237216402188993,False,2.0,0.0008339316105618009,7.0,W
2dplanes,regression,tabm_d,Raw+Gram@0.75,fixed,0.75,,0.75,-0.002850378525225012,1.0377689646176242,1.0194308714514286,False,2.0,0.002297039697081076,5.0,W
2dplanes,regression,tabm_d,SafeGram-t01,safety_reference,0.75,,0.75,-0.002850378525225012,1.0377689646176242,1.0194308714514286,False,2.0,0.002297039697081076,5.0,W
2dplanes,regression,tabm_d,SafeRankGram-t01,safety_reference,1.0,,1.0,-0.013984277749503768,1.0377689646176242,0.9842922813660713,False,1.0,-0.002157353871695793,1.0,W
2dplanes,regression,tabpfn_2_6,BlockGuard-Greedy-t01,BlockGuard-Greedy,,1.0,1.0,0.002452007753409835,0.9646361826974531,0.9729957590310897,False,1.0,0.0034920594934261754,7.5,L
2dplanes,regression,tabpfn_2_6,GuardedGram-G2-g0p0-t01,G2,0.75,,0.75,0.0009419393804199582,0.9646361826974531,0.9678475159982263,False,2.0,0.0020909830455340386,3.5,L
2dplanes,regression,tabpfn_2_6,PureGram,fixed,1.0,,1.0,0.002452007753409835,0.9646361826974531,0.9729957590310897,False,1.0,0.0034920594934261754,7.5,L
2dplanes,regression,tabpfn_2_6,Raw,fixed,0.0,,0.0,0.0,0.9646361826974531,0.9646361826974531,True,1.0,0.0,1.0,T
2dplanes,regression,tabpfn_2_6,Raw+Gram@0.5,fixed,0.5,,0.5,2.669225462146072e-05,0.9646361826974531,0.9654275483216906,False,2.0,0.0010395854177262468,2.0,L
2dplanes,regression,tabpfn_2_6,Raw+Gram@0.75,fixed,0.75,,0.75,0.0009419393804199582,0.9646361826974531,0.9678475159982263,False,2.0,0.0020909830455340386,3.5,L
