method,family,units,datasets,model_families,tau,median_disagreement_reduction,median_C,p90_C,p95_C,max_C,fallback_rate,median_invariant_feature_fraction,median_invariant_dimension_fraction,median_input_dimension_ratio,median_fit_seconds,median_predict_seconds,mean_predictive_rank
BlockGuard-Greedy-t01,BlockGuard-Greedy,40,8,5,0.01,0.5329658836921527,0.00034542761834698856,0.021124963583553022,0.03316764512093401,0.07016109138358148,0.1,0.7008928571428572,0.7008928571428572,1.6940639269406392,0.10261896147858351,0.0005596893024630845,1.55
BlockGuard-Grouped-t01,BlockGuard-Grouped,40,8,5,0.01,0.8961104520223152,0.00036061771117313853,0.02186676829406144,0.024744108779114822,0.13066397502139052,0.125,0.9642857142857143,0.9642857142857143,1.9,0.0,0.0,1.45
