dataset,problem_type,model,method,family,alpha,disagreement_reduction,normalized_excess_risk,absolute_task_difference,method_loss,raw_fallback,predictive_rank
cardiotocography,classification,catboost,GuardedGram-G1-t0,G1,0.0,0.0,0.0,0.0,0.018194950787005542,True,1.5
cardiotocography,classification,catboost,GuardedGram-G2-g0p0-t01,G2,0.75,0.75,0.003429708762170014,0.006858562097895605,0.025053512884901145,False,6.0
cardiotocography,classification,catboost,GuardedGram-G3,G3,0.75,0.75,0.003429708762170014,0.006858562097895605,0.025053512884901145,False,6.0
cardiotocography,classification,catboost,PureGram,fixed,1.0,1.0,0.00464048158497366,0.009279802211649512,0.027474752998655053,False,8.5
cardiotocography,classification,catboost,Raw,fixed,0.0,0.0,0.0,0.0,0.018194950787005542,True,1.5
cardiotocography,classification,catboost,Raw+Gram@0.5,fixed,0.5,0.5000000000000003,0.00225592402720087,0.0045112868721099725,0.022706237659115516,False,4.0
cardiotocography,classification,catboost,Raw+Gram@0.75,fixed,0.75,0.75,0.003429708762170014,0.006858562097895605,0.025053512884901145,False,6.0
cardiotocography,classification,catboost,SafeGram-t01,safety_reference,1.0,1.0,0.00464048158497366,0.009279802211649512,0.027474752998655053,False,8.5
cardiotocography,classification,catboost,SafeRankGram-t01,safety_reference,1.0,1.0,0.0003537532480454606,0.0007070750520373602,0.0189020258390429,False,3.0
cardiotocography,classification,controlled_mlp,GuardedGram-G1-t0,G1,0.0,0.0,0.0,0.0,0.01317277503946171,True,2.0
cardiotocography,classification,controlled_mlp,GuardedGram-G2-g0p0-t01,G2,0.125,0.12499999328548517,0.004288291860509536,0.008642280167633961,0.02181505520709567,True,4.0
cardiotocography,classification,controlled_mlp,GuardedGram-G3,G3,0.25,0.24999999104170167,0.009691137793531628,0.01941701299561307,0.03258978803507478,False,6.0
cardiotocography,classification,controlled_mlp,PureGram,fixed,1.0,1.0,0.16734073740251765,0.3356353484803629,0.3488081235198246,False,9.0
cardiotocography,classification,controlled_mlp,Raw,fixed,0.0,0.0,0.0,0.0,0.01317277503946171,True,2.0
cardiotocography,classification,controlled_mlp,Raw+Gram@0.5,fixed,0.5,0.49999999168754045,0.02231681781936476,0.044715833682649815,0.057888608722111524,False,7.0
cardiotocography,classification,controlled_mlp,Raw+Gram@0.75,fixed,0.75,0.749999995772231,0.041454635602625065,0.0830688883275349,0.0962416633669966,False,8.0
cardiotocography,classification,controlled_mlp,SafeGram-t01,safety_reference,0.0,0.0,0.0,0.0,0.01317277503946171,True,2.0
cardiotocography,classification,controlled_mlp,SafeRankGram-t01,safety_reference,0.25,0.2499999920833516,0.004884952088286707,0.009785060988677301,0.02295783602813901,False,5.0
cardiotocography,classification,tabicl_v2,GuardedGram-G1-t0,G1,0.75,0.7500000787447965,3.2724151718490767e-06,6.603594275789881e-06,1.6931057078492697e-05,False,5.5
