stage,dataset,model,seed,embedding,k,maximum_coordinate_error,passes_1e_minus_6
full,steel-plates-fault,tabm_d,0,PLE,8,2.1564628234719632e-15,True
full,steel-plates-fault,tabm_d,0,PLE,16,3.723022678026724e-15,True
full,steel-plates-fault,tabm_d,0,RBF,8,9.3338706002943e-16,True
full,steel-plates-fault,tabm_d,0,RBF,16,1.5550870031189595e-15,True
full,steel-plates-fault,tabm_d,1,PLE,8,2.1564628234719632e-15,True
full,steel-plates-fault,tabm_d,1,PLE,16,3.723022678026724e-15,True
full,steel-plates-fault,tabm_d,1,RBF,8,9.3338706002943e-16,True
full,steel-plates-fault,tabm_d,1,RBF,16,1.5550870031189595e-15,True
full,cardiotocography,tabm_d,0,PLE,8,1.7553569433902088e-15,True
full,cardiotocography,tabm_d,0,PLE,16,1.100863744284972e-15,True
full,cardiotocography,tabm_d,0,RBF,8,1.186261389573777e-15,True
full,cardiotocography,tabm_d,0,RBF,16,3.134465595416298e-15,True
full,cardiotocography,tabm_d,1,PLE,8,1.7553569433902088e-15,True
full,cardiotocography,tabm_d,1,PLE,16,1.100863744284972e-15,True
full,cardiotocography,tabm_d,1,RBF,8,1.186261389573777e-15,True
full,cardiotocography,tabm_d,1,RBF,16,3.134465595416298e-15,True
full,sylvine,tabm_d,0,PLE,8,5.416913325019129e-15,True
full,sylvine,tabm_d,0,PLE,16,2.0461537690295867e-15,True
full,sylvine,tabm_d,0,RBF,8,9.458349797213786e-16,True
full,sylvine,tabm_d,0,RBF,16,1.1487103721761702e-15,True
full,sylvine,tabm_d,1,PLE,8,5.416913325019129e-15,True
full,sylvine,tabm_d,1,PLE,16,2.0461537690295867e-15,True
full,sylvine,tabm_d,1,RBF,8,9.458349797213786e-16,True
full,sylvine,tabm_d,1,RBF,16,1.1487103721761702e-15,True
full,debutanizer,tabm_d,0,PLE,8,1.7351795151947674e-15,True
full,debutanizer,tabm_d,0,PLE,16,4.888255565911666e-15,True
full,debutanizer,tabm_d,0,RBF,8,9.64026172497967e-16,True
full,debutanizer,tabm_d,0,RBF,16,1.3125838792634461e-15,True
full,debutanizer,tabm_d,1,PLE,8,1.7351795151947674e-15,True
full,debutanizer,tabm_d,1,PLE,16,4.888255565911666e-15,True
full,debutanizer,tabm_d,1,RBF,8,9.64026172497967e-16,True
full,debutanizer,tabm_d,1,RBF,16,1.3125838792634461e-15,True
full,wall-robot-navigation,tabm_d,0,PLE,8,4.478283517856647e-15,True
full,wall-robot-navigation,tabm_d,0,PLE,16,6.370025626176797e-15,True
full,wall-robot-navigation,tabm_d,0,RBF,8,1.221085231699213e-15,True
full,wall-robot-navigation,tabm_d,0,RBF,16,1.251224186014419e-15,True
full,wall-robot-navigation,tabm_d,1,PLE,8,4.478283517856647e-15,True
full,wall-robot-navigation,tabm_d,1,PLE,16,6.370025626176797e-15,True
full,wall-robot-navigation,tabm_d,1,RBF,8,1.221085231699213e-15,True
full,wall-robot-navigation,tabm_d,1,RBF,16,1.251224186014419e-15,True
full,california_housing,tabm_d,0,PLE,8,7.546119829130262e-15,True
full,california_housing,tabm_d,0,PLE,16,3.616353515683813e-15,True
full,california_housing,tabm_d,0,RBF,8,8.299772117821142e-16,True
full,california_housing,tabm_d,0,RBF,16,1.3868559405832186e-15,True
full,california_housing,tabm_d,1,PLE,8,7.546119829130262e-15,True
full,california_housing,tabm_d,1,PLE,16,3.616353515683813e-15,True
full,california_housing,tabm_d,1,RBF,8,8.299772117821142e-16,True
full,california_housing,tabm_d,1,RBF,16,1.3868559405832186e-15,True
full,phoneme,tabm_d,0,PLE,8,3.2760839346736568e-15,True
full,phoneme,tabm_d,0,PLE,16,8.464653241923487e-15,True
full,phoneme,tabm_d,0,RBF,8,1.4799970300555038e-15,True
full,phoneme,tabm_d,0,RBF,16,1.6487886045062024e-15,True
full,phoneme,tabm_d,1,PLE,8,3.2760839346736568e-15,True
full,phoneme,tabm_d,1,PLE,16,8.464653241923487e-15,True
full,phoneme,tabm_d,1,RBF,8,1.4799970300555038e-15,True
full,phoneme,tabm_d,1,RBF,16,1.6487886045062024e-15,True
full,space-ga,tabm_d,0,PLE,8,5.981854416070889e-15,True
full,space-ga,tabm_d,0,PLE,16,3.998501376651903e-15,True
full,space-ga,tabm_d,0,RBF,8,1.4361286655076221e-15,True
full,space-ga,tabm_d,0,RBF,16,1.50059223480822e-15,True
full,space-ga,tabm_d,1,PLE,8,5.981854416070889e-15,True
full,space-ga,tabm_d,1,PLE,16,3.998501376651903e-15,True
full,space-ga,tabm_d,1,RBF,8,1.4361286655076221e-15,True
full,space-ga,tabm_d,1,RBF,16,1.50059223480822e-15,True
